Disciplinary Action,Number of Students With and Without Disabilities,Percent of Students With and Without Disabilities,Number of Students With Disabilities Served Only Under Section 504,Percent of Students With Disabilities Served Only Under Section 504,Number of Students Without Disabilities and With Disabilities Served Under IDEA,Percent of Students Without Disabilities and With Disabilities Served Under IDEA,Number of American Indian or Alaska Native,Percent of American Indian or Alaska Native,Number of Asians,Percent of Asians,Number of Hispanic or Latino of any race,Percent of Hispanic or Latino of any race,Number of Black or African American,Percent of Black or African American,Number of Whites,Percent of Whites,Number of Native Hawaiian or Other Pacific Islander,Percent of Native Hawaiian or Other Pacific Islander,Number of Two or more races,Percent of Two or more races,Number of English Language Learners With and Without Disabilities,Percent of English Language Learners With and Without Disabilities,Number of Schools,State_ID,Region_ID,Division_ID
Corporal punishment for males,44,77.2,0,0,44,77.2,0,0,DS,3.5,7,12.3,15,26.3,20,35.1,0,0,0,0,0,0,"2,538",34,1,2
Corporal punishment for females,13,22.8,0,0,13,22.8,0,0,0,0,0,0,DS,3.5,11,19.3,0,0,0,0,0,0,"2,538",34,1,2
Corporal punishment total,57,100,0,0,57,100,0,0,DS,3.5,7,12.3,17,29.8,31,54.4,0,0,0,0,0,0,"2,538",34,1,2
One or more in-school suspensions for males,"10,655",74.6,277,1.9,"10,378",72.7,22,0.2,118,0.8,"2,317",16.7,"3,206",23.1,"4,620",33.2,7,0.1,88,0.6,70,0.5,"2,538",34,1,2
One or more in-school suspensions for females,"3,621",25.4,93,0.7,"3,528",24.7,10,0.1,28,0.2,867,6.2,"1,265",9.1,"1,316",9.5,0,0,42,0.3,23,0.2,"2,538",34,1,2
One or more in-school suspensions total,"14,276",100,370,2.6,"13,906",97.4,32,0.2,146,1,"3,184",22.9,"4,471",32.2,"5,936",42.7,7,0.1,130,0.9,93,0.7,"2,538",34,1,2
Only one out-of-school suspension for males,"7,061",76,166,1.8,"6,895",74.2,9,0.1,87,1,"1,620",17.8,"2,441",26.9,"2,677",29.5,12,0.1,49,0.5,76,0.8,"2,538",34,1,2
Only one out-of-school suspension for females,"2,235",24,44,0.5,"2,191",23.6,DS,0,24,0.3,536,5.9,897,9.9,708,7.8,4,0,20,0.2,24,0.3,"2,538",34,1,2
Only one out-of-school suspension total,"9,296",100,210,2.3,"9,086",97.7,11,0.1,111,1.2,"2,156",23.7,"3,338",36.7,"3,385",37.3,16,0.2,69,0.8,100,1.1,"2,538",34,1,2
More than one out-of-school suspension for males,"7,019",78.3,103,1.1,"6,916",77.1,10,0.1,57,0.6,"1,665",18.8,"2,838",32.1,"2,275",25.8,5,0.1,66,0.7,54,0.6,"2,538",34,1,2
More than one out-of-school suspension for females,"1,946",21.7,28,0.3,"1,918",21.4,5,0.1,7,0.1,464,5.3,918,10.4,505,5.7,DS,0,17,0.2,10,0.1,"2,538",34,1,2
More than one out-of-school suspension total,"8,965",100,131,1.5,"8,834",98.5,15,0.2,64,0.7,"2,129",24.1,"3,756",42.5,"2,780",31.5,7,0.1,83,0.9,64,0.7,"2,538",34,1,2
One or more out-of-school suspensions for males,"14,096",77.1,271,1.5,"13,825",75.6,19,0.1,143,0.8,"3,292",18.4,"5,284",29.5,"4,953",27.6,17,0.1,117,0.7,130,0.7,"2,538",34,1,2
One or more out-of-school suspensions for females,"4,186",22.9,72,0.4,"4,114",22.5,7,0,31,0.2,"1,000",5.6,"1,816",10.1,"1,218",6.8,5,0,37,0.2,34,0.2,"2,538",34,1,2
One or more out-of-school suspensions total,"18,282",100,343,1.9,"17,939",98.1,26,0.1,174,1,"4,292",23.9,"7,100",39.6,"6,171",34.4,22,0.1,154,0.9,164,0.9,"2,538",34,1,2
Expulsions with educational services for males,80,69,DS,1.7,78,67.2,0,0,0,0,13,11.4,52,45.6,11,9.6,0,0,DS,1.8,DS,1.7,"2,538",34,1,2
Expulsions with educational services for females,36,31,0,0,36,31,0,0,0,0,DS,1.8,32,28.1,DS,1.8,0,0,0,0,0,0,"2,538",34,1,2
Expulsions with educational services total,116,100,DS,1.7,114,98.3,0,0,0,0,15,13.2,84,73.7,13,11.4,0,0,DS,1.8,DS,1.7,"2,538",34,1,2
Expulsions without educational services for males,12,100,0,0,12,100,0,0,0,0,DS,16.7,4,33.3,6,50,0,0,0,0,0,0,"2,538",34,1,2
Expulsions without educational services for females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,538",34,1,2
Expulsions without educational services total,12,100,0,0,12,100,0,0,0,0,DS,16.7,4,33.3,6,50,0,0,0,0,0,0,"2,538",34,1,2
Expulsions with or without educational services for males,93,72.7,DS,1.6,91,71.1,0,0,0,0,16,12.7,56,44.4,17,13.5,0,0,DS,1.6,DS,1.6,"2,538",34,1,2
Expulsions with or without educational services for females,35,27.3,0,0,35,27.3,0,0,0,0,DS,1.6,31,24.6,DS,1.6,0,0,0,0,0,0,"2,538",34,1,2
