Types of crimes,2008,2009,2010,2011,2012,2013,2014,State_ID,Region_ID,Division_ID
Total Arrests,"48,014","45,060","39,413","35,352","32,300","27,038","24,765",29,2,4
Violent Crime Index,"1,734","1,747","1,463","1,223","1,142",N/A,N/A,29,2,4
Murder/nonneg. mans.,35,49,25,20,21,14,25,29,2,4
Rape,67,62,52,54,66,N/A,N/A,29,2,4
Robbery,552,507,444,402,377,374,326,29,2,4
Aggravated assault,"1,080","1,129",942,747,678,569,568,29,2,4
Property Crime Index,"12,170","11,893","9,685","8,518","7,766","6,087","5,535",29,2,4
Burglary,"1,940","1,933","1,459","1,322","1,129",829,655,29,2,4
Larceny-theft,"9,286","9,126","7,792","6,783","6,223","4,937","4,570",29,2,4
Motor vehicle theft,792,689,333,273,297,251,227,29,2,4
Arson,152,145,101,140,117,70,83,29,2,4
Other assaults,"6,956","6,469","5,855","5,110","4,551","3,934","3,562",29,2,4
Forgery and counterfeiting,77,60,35,26,34,26,21,29,2,4
Fraud,116,78,67,58,60,44,44,29,2,4
Embezzlement,31,16,10,7,3,13,17,29,2,4
Stolen property,586,667,533,393,411,313,330,29,2,4
Vandalism,"2,592","1,889","1,608","1,386","1,415","1,055",961,29,2,4
Weapons,756,625,476,383,365,351,313,29,2,4
Prostitution/<br>commercialized vice,8,3,3,5,2,5,6,29,2,4
Sex offenses (other),464,464,462,473,487,N/A,N/A,29,2,4
Drug abuse violations,"3,629","3,643","3,287","3,379","2,933","2,720","2,446",29,2,4
Gambling,14,4,6,2,7,1,6,29,2,4
Offenses against family,108,108,84,64,68,59,66,29,2,4
Driving under influence,450,426,326,308,283,234,220,29,2,4
Liquor laws,"3,044","2,652","2,154","2,059","1,836","1,473","1,373",29,2,4
Drunkenness,40,24,20,25,23,29,21,29,2,4
Disorderly conduct,"2,723","2,432","2,377","2,047","1,987","1,695","1,444",29,2,4
Vagrancy,42,36,14,19,6,5,25,29,2,4
All other offenses,"6,959","6,985","6,086","5,436","4,994","4,120","3,917",29,2,4
Curfew and loitering,"1,917","1,860","2,049","1,821","1,637","1,147","1,041",29,2,4
Runaways,"3,598","2,979","2,813","2,610","2,290","2,276","2,032",29,2,4
Population Ages 10 to 17,"652,700","651,600","643,100","639,500","633,200","635,600","637,600",29,2,4
