Advanced Placement Course enrollment by gender	Number of Total Students	Percent of Total Students	Number of American Indian or Alaska Native	Percent of American Indian or Alaska Native	Number of Asians	Percent Asians	Number of Hispanic or Latino of any race	Percent of Hispanic or Latino of any race	Number of Black or African American	Percent of Black or African American	Number of Whites	Percent of Whites	Number of Native Hawaiian or Other Pacific Islander	Percent of Native Hawaiian or Other Pacific Islander	Number of Two or more races	Percent of Two or more races	Number of Students With Disabilities Served Under IDEA	Percent of Students With Disabilities Served Under IDEA	Number of English Language Learners	Percent of English Language Learners	Number of Schools	State_ID	Region_ID	Division_ID
At least one AP course males	"3,982"	41	9	0.1	307	3.2	178	1.8	"1,051"	10.8	"2,401"	24.8	DS	0	34	0.4	31	0.3	16	0.2	111	22	3	7
At least one AP course females	"5,719"	59	15	0.2	324	3.3	220	2.3	"1,792"	18.5	"3,300"	34	DS	0	66	0.7	24	0.2	20	0.2	111	22	3	7
At least one AP course total	"9,701"	100	24	0.2	631	6.5	398	4.1	"2,843"	29.3	"5,701"	58.8	4	0	100	1	55	0.6	36	0.4	111	22	3	7
AP mathematics males	831	50.2	DS	0.1	95	5.7	31	1.9	160	9.7	533	32.2	0	0	10	0.6	DS	0.1	0	0	111	22	3	7
AP mathematics females	824	49.8	0	0	80	4.8	27	1.6	237	14.3	467	28.2	DS	0.1	11	0.7	DS	0.1	5	0.3	111	22	3	7
AP mathematics total	"1,655"	100	DS	0.1	175	10.6	58	3.5	397	24	"1,000"	60.4	DS	0.1	21	1.3	4	0.2	5	0.3	111	22	3	7
AP science males	970	42.9	0	0	119	5.3	33	1.5	245	10.8	560	24.8	DS	0.1	11	0.5	8	0.4	9	0.4	111	22	3	7
AP science females	"1,290"	57.1	DS	0.1	113	5	33	1.5	406	18	723	32	0	0	13	0.6	4	0.2	DS	0.1	111	22	3	7
AP science total	"2,260"	100	DS	0.1	232	10.3	66	2.9	651	28.8	"1,283"	56.8	DS	0.1	24	1.1	12	0.5	11	0.5	111	22	3	7
AP foreign language males	98	36	0	0	14	5.1	12	4.4	8	2.9	62	22.8	0	0	DS	0.7	0	0	DS	0.7	111	22	3	7
AP foreign language females	174	64	DS	0.7	13	4.8	17	6.3	43	15.8	94	34.6	0	0	5	1.8	0	0	4	1.5	111	22	3	7
AP foreign language total	272	100	DS	0.7	27	9.9	29	10.7	51	18.8	156	57.4	0	0	7	2.6	0	0	6	2.2	111	22	3	7
Other AP subjects males	"3,036"	40.6	8	0.1	259	3.5	132	1.8	797	10.7	"1,815"	24.3	0	0	25	0.3	21	0.3	6	0.1	111	22	3	7
Other AP subjects females	"4,443"	59.4	12	0.2	277	3.7	169	2.3	"1,406"	18.8	"2,531"	33.8	DS	0	46	0.6	18	0.2	12	0.2	111	22	3	7
Other AP subjects total	"7,479"	100	20	0.3	536	7.2	301	4	"2,203"	29.5	"4,346"	58.1	DS	0	71	0.9	39	0.5	18	0.2	111	22	3	7
