	"Number and percentage of public school students with disabilities served under IDEA subjected to restraint or seclusion, by race/ethnicity and English proficiency, by gender and whether restrained or secluded, for state: School Year 2011-12"																						
																							
		Restraint or Seclusion	Gender	Total Students		Race/Ethnicity														English Language Learners		Number of Schools	Percent of Schools Reporting 
						"American Indian or
Alaska Native"		Asian		Hispanic or Latino of any race		Black or African American		White		Native Hawaiian or Other Pacific Islander		Two or more races					
				Number	Percent	Number	Percent 	Number	Percent 	Number	Percent 	Number	Percent 	Number	Percent 	Number	Percent 	Number	Percent 	Number	Percent		
with disabilities served under the Individuals with Disabilities Education Act (IDEA) subjected to	Alaska		Male	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	493	100
with disabilities served under the Individuals with Disabilities Education Act (IDEA) subjected to	Alaska	Mechanical restraint	Female	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	493	100
with disabilities served under the Individuals with Disabilities Education Act (IDEA) subjected to	Alaska		Total	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	493	100
with disabilities served under the Individuals with Disabilities Education Act (IDEA) subjected to	Alaska		Male	77	92.8	31	37.3	0	0	3-Jan	2.4	3-Jan	2.4	36	43.4	3-Jan	2.4	4	4.8	3-Jan	2.4	493	100
with disabilities served under the Individuals with Disabilities Education Act (IDEA) subjected to	Alaska	Physical restraint	Female	6	7.2	3-Jan	2.4	0	0	0	0	0	0	4	4.8	0	0	0	0	0	0	493	100
with disabilities served under the Individuals with Disabilities Education Act (IDEA) subjected to	Alaska		Total	83	100	33	39.8	0	0	3-Jan	2.4	3-Jan	2.4	40	48.2	3-Jan	2.4	4	4.8	3-Jan	2.4	493	100
with disabilities served under the Individuals with Disabilities Education Act (IDEA) subjected to	Alaska		Male	35	89.7	8	20.5	0	0	0	0	3-Jan	5.1	19	48.7	3-Jan	5.1	4	10.3	0	0	493	100
with disabilities served under the Individuals with Disabilities Education Act (IDEA) subjected to	Alaska	Seclusion	Female	4	10.3	3-Jan	5.1	0	0	0	0	0	0	3-Jan	5.1	0	0	0	0	3-Jan	5.1	493	100
with disabilities served under the Individuals with Disabilities Education Act (IDEA) subjected to	Alaska		Total	39	100	10	25.6	0	0	0	0	3-Jan	5.1	21	53.8	3-Jan	5.1	4	10.3	3-Jan	5.1	493	100
																							
	"NOTE: Table reads:  Of all 0 public school students with disabilities served under the Individuals with Disabilities Education Act (IDEA) subjected to mechanical restraint, 0 (0.0%) were American Indian or Alaska Native."																						
	"            The ‘1-3’ reference indicates that the data have been suppressed based on the schools’ reported n-size, and that the midpoint was used to calculate the total."																						
	"SOURCE: U.S. Department of Education, Office for Civil Rights, Civil Rights Data Collection, 2011-12, available at http://ocrdata.ed.gov. Data notes are available at http://ocrdata.ed.gov/downloads/DataNotes.docx"																						
