Discipline by gender	Number of Students With Disabilities	Percent of Students With Disabilities	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of Students With Disabilities Served Under IDEA	Percent of Students With Disabilities Served Under IDEA	Number of American Indian or Alaska Native Students With Disabilities Served Under IDEA	Percent of American Indian or Alaska Native Students With Disabilities Served Under IDEA	Number of Asian Students With Disabilities Served Under IDEA	Percent of Asian Students With Disabilities Served Under IDEA	Number of Hispanic or Latino of any race Students With Disabilities Served Under IDEA	Percent of Hispanic or Latino of any race Students With Disabilities Served Under IDEA	Number of Black or African American Students With Disabilities Served Under IDEA	Percent of Black or African American Students With Disabilities Served Under IDEA	Number of White Students With Disabilities Served Under IDEA	Percent of White Students With Disabilities Served Under IDEA	Number of Native Hawaiian or Other Pacific Islander Students With Disabilities Served Under IDEA	Percent of Native Hawaiian or Other Pacific Islander Students With Disabilities Served Under IDEA	Number of Two or more races Students With Disabilities Served Under IDEA	Percent of Two or more races Students With Disabilities Served Under IDEA	Number of English Language Learners With Disabilities 	Percent of English Language Learners With Disabilities 	Number of Schools	State_ID	Region_ID	Division_ID
Corporal punishment on males	"3,843"	83.9	591	12.9	"3,252"	71	13	0.3	5	0.1	958	25.2	743	19.5	"1,448"	38	0	0	85	2.2	206	4.5	"8,472"	48	3	7
Corporal punishment on females	737	16.1	181	4	556	12.1	DS	0.1	DS	0.1	183	4.8	127	3.3	225	5.9	0	0	17	0.4	23	0.5	"8,472"	48	3	7
Corporal punishment total	"4,580"	100	772	16.9	"3,808"	83.1	15	0.4	7	0.2	"1,141"	30	870	22.8	"1,673"	43.9	0	0	102	2.7	229	5	"8,472"	48	3	7
One or more in-school suspensions on males	"72,744"	75.9	"11,544"	12	"61,200"	63.8	260	0.3	275	0.3	"26,934"	33.7	"15,172"	19	"17,476"	21.9	63	0.1	"1,020"	1.3	"7,164"	7.5	"8,472"	48	3	7
One or more in-school suspensions on females	"23,119"	24.1	"4,431"	4.6	"18,688"	19.5	77	0.1	69	0.1	"8,420"	10.5	"5,242"	6.6	"4,536"	5.7	9	0	335	0.4	"1,935"	2	"8,472"	48	3	7
One or more in-school suspensions total	"95,863"	100	"15,975"	16.7	"79,888"	83.3	337	0.4	344	0.4	"35,354"	44.3	"20,414"	25.6	"22,012"	27.6	72	0.1	"1,355"	1.7	"9,099"	9.5	"8,472"	48	3	7
Only one out-of-school suspension on males	"22,469"	76.8	"2,992"	10.2	"19,477"	66.5	82	0.3	94	0.4	"8,863"	35.2	"5,605"	22.3	"4,520"	18	15	0.1	298	1.2	"2,486"	8.5	"8,472"	48	3	7
Only one out-of-school suspension on females	"6,801"	23.2	"1,106"	3.8	"5,695"	19.5	24	0.1	18	0.1	"2,514"	10	"1,967"	7.8	"1,070"	4.3	DS	0	100	0.4	614	2.1	"8,472"	48	3	7
Only one out-of-school suspension total	"29,270"	100	"4,098"	14	"25,172"	86	106	0.4	112	0.4	"11,377"	45.2	"7,572"	30.1	"5,590"	22.2	17	0.1	398	1.6	"3,100"	10.6	"8,472"	48	3	7
More than one out-of-school suspension on males	"20,095"	82.1	"2,332"	9.5	"17,763"	72.6	55	0.3	52	0.2	"7,825"	36.4	"6,248"	29.1	"3,293"	15.3	12	0.1	278	1.3	"2,323"	9.5	"8,472"	48	3	7
More than one out-of-school suspension on females	"4,381"	17.9	642	2.6	"3,739"	15.3	13	0.1	9	0	"1,491"	6.9	"1,648"	7.7	529	2.5	0	0	49	0.2	381	1.6	"8,472"	48	3	7
