,,,,,,,,,,,,,,,,,,,,,,,,
,"Number and percentage of public school students with disabilities served under IDEA subjected to restraint or seclusion, by race/ethnicity and English proficiency, by gender and whether restrained or secluded, for state: School Year 2011-12",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,Restraint or Seclusion,Gender,Total Students,,Race/Ethnicity,,,,,,,,,,,,,,English Language Learners,,Number of Schools,Percent of Schools Reporting ,
,,,,,,"American Indian or
Alaska Native",,Asian,,Hispanic or Latino of any race,,Black or African American,,White,,Native Hawaiian or Other Pacific Islander,,Two or more races,,,,,,
,,,,Number,Percent,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent,,,
with disabilities served under the Individuals with Disabilities Education Act (IDEA) subjected to,Wyoming,,Male,4 ,100.0 ,1-3 ,50.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,1-3 ,50.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,349 ,100.0 ,
with disabilities served under the Individuals with Disabilities Education Act (IDEA) subjected to,Wyoming,Mechanical restraint,Female,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,349 ,100.0 ,
with disabilities served under the Individuals with Disabilities Education Act (IDEA) subjected to,Wyoming,,Total,4 ,100.0 ,1-3 ,50.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,1-3 ,50.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,349 ,100.0 ,
with disabilities served under the Individuals with Disabilities Education Act (IDEA) subjected to,Wyoming,,Male,114 ,80.9 ,10 ,7.1 ,0 ,0.0 ,11 ,7.8 ,1-3 ,1.4 ,89 ,63.1 ,0 ,0.0 ,1-3 ,1.4 ,1-3 ,1.4 ,349 ,100.0 ,
with disabilities served under the Individuals with Disabilities Education Act (IDEA) subjected to,Wyoming,Physical restraint,Female,27 ,19.1 ,1-3 ,1.4 ,0 ,0.0 ,1-3 ,1.4 ,0 ,0.0 ,21 ,14.9 ,0 ,0.0 ,1-3 ,1.4 ,0 ,0.0 ,349 ,100.0 ,
with disabilities served under the Individuals with Disabilities Education Act (IDEA) subjected to,Wyoming,,Total,141 ,100.0 ,12 ,8.5 ,0 ,0.0 ,13 ,9.2 ,1-3 ,1.4 ,110 ,78.0 ,0 ,0.0 ,4 ,2.8 ,1-3 ,1.4 ,349 ,100.0 ,
with disabilities served under the Individuals with Disabilities Education Act (IDEA) subjected to,Wyoming,,Male,119 ,76.8 ,9 ,5.8 ,1-3 ,1.3 ,6 ,3.9 ,7 ,4.5 ,93 ,60.0 ,0 ,0.0 ,1-3 ,1.3 ,0 ,0.0 ,349 ,100.0 ,
with disabilities served under the Individuals with Disabilities Education Act (IDEA) subjected to,Wyoming,Seclusion,Female,36 ,23.2 ,1-3 ,1.3 ,0 ,0.0 ,4 ,2.6 ,0 ,0.0 ,28 ,18.1 ,0 ,0.0 ,1-3 ,1.3 ,0 ,0.0 ,349 ,100.0 ,
with disabilities served under the Individuals with Disabilities Education Act (IDEA) subjected to,Wyoming,,Total,155 ,100.0 ,11 ,7.1 ,1-3 ,1.3 ,10 ,6.5 ,7 ,4.5 ,121 ,78.1 ,0 ,0.0 ,4 ,2.6 ,0 ,0.0 ,349 ,100.0 ,
,,,,,,,,,,,,,,,,,,,,,,,,
,"NOTE: Table reads:  Of all 4 public school students with disabilities served under the Individuals with Disabilities Education Act (IDEA) subjected to mechanical restraint, 1-3 (50.0%) were American Indian or Alaska Native.",,,,,,,,,,,,,,,,,,,,,,,
,"            The ‘1-3’ reference indicates that the data have been suppressed based on the schools’ reported n-size, and that the midpoint was used to calculate the total.",,,,,,,,,,,,,,,,,,,,,,,
,"SOURCE: U.S. Department of Education, Office for Civil Rights, Civil Rights Data Collection, 2011-12, available at http://ocrdata.ed.gov. Data notes are available at http://ocrdata.ed.gov/downloads/DataNotes.docx",,,,,,,,,,,,,,,,,,,,,,,
