,"Number and percentage of public school students not served under IDEA subjected to physical restraint, by race/ethnicity, whether served under Section 504, and English proficiency, by state: School Year 2013-14",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,State,Total Students,Race/Ethnicity,,,,,,,,,,,,,,Students With Disabilities Served Only Under Section 504,,English Language Learners,,Number of Schools,Percent of Schools Reporting ,,
,,,"American Indian or
Alaska Native",,Asian,,Hispanic or Latino of any race,,Black or African American,,White,,Native Hawaiian or Other Pacific Islander,,Two or more races,,,,,,,,,
,,,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent,Number,Percent,,,,
Physical restraint,United States,"11,289 ",222 ,1 to 3,55 ,0.5 ,"1,732 ",15.3 ,"3,359 ",29.8 ,"5,473 ",48.5 ,12 ,0.1 ,436 ,3.9 ,382 ,3.4 ,362 ,3.2 ,"95,507 ",99.4 ,,
Physical restraint,Alabama,252 ,0 ,0.0 ,0 ,0.0 ,7 ,2.8 ,178 ,70.6 ,65 ,25.8 ,0 ,0.0 ,1 to 3,0.8 ,5 ,1 to 3,6 ,2.4 ,"1,397 ",97.0 ,,
Physical restraint,Alaska,19 ,13 ,68.4 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,5 ,26.3 ,0 ,0.0 ,1 to 3,5.3 ,0 ,0.0 ,1 to 3,5.3 ,495 ,100.0 ,,
Physical restraint,Arizona,333 ,22 ,6.6 ,1 to 3,0.3 ,149 ,44.7 ,54 ,16.2 ,97 ,29.1 ,0 ,0.0 ,10 ,1 to 3,8 ,2.4 ,7 ,2.1 ,"1,913 ",99.2 ,,
Physical restraint,Arkansas,75 ,0 ,0.0 ,0 ,0.0 ,5 ,6.7 ,40 ,53.3 ,28 ,37.3 ,0 ,0.0 ,1 to 3,2.7 ,4 ,5.3 ,0 ,0.0 ,"1,085 ",100.0 ,,
Physical restraint,California,289 ,1 to 3,1 to 3,18 ,6.2 ,135 ,46.7 ,84 ,29.1 ,43 ,14.9 ,1 to 3,0.7 ,4 ,1.4 ,10 ,3.5 ,27 ,9.3 ,"9,883 ",99.8 ,,
Physical restraint,Colorado,123 ,1 to 3,2.4 ,1 to 3,0.8 ,49 ,39.8 ,27 ,22.0 ,41 ,33.3 ,0 ,0.0 ,1 to 3,1.6 ,1 to 3,0.8 ,9 ,7.3 ,"1,841 ",100.0 ,,
Physical restraint,Connecticut,183 ,0 ,0.0 ,1 to 3,0.5 ,40 ,21.9 ,57 ,31.1 ,76 ,41.5 ,0 ,0.0 ,9 ,4.9 ,17 ,9.3 ,10 ,5.5 ,"1,140 ",98.2 ,,
Physical restraint,Delaware,14 ,0 ,0.0 ,0 ,0.0 ,1 to 3,14.3 ,8 ,57.1 ,4 ,28.6 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,227 ,100.0 ,,
Physical restraint,District of Columbia,48 ,0 ,0.0 ,0 ,0.0 ,1 to 3,6.3 ,41 ,85.4 ,1 to 3,4.2 ,0 ,0.0 ,1 to 3,4.2 ,0 ,0.0 ,1 to 3,4.2 ,204 ,100.0 ,,
Physical restraint,Florida,394 ,5 ,1.3 ,1 to 3,0.3 ,69 ,17.5 ,107 ,27.2 ,183 ,46.4 ,1 to 3,0.3 ,28 ,7.1 ,11 ,2.8 ,17 ,4.3 ,"3,954 ",100.0 ,,
Physical restraint,Georgia,203 ,1 to 3,1 to 3,0 ,0.0 ,11 ,5.4 ,107 ,52.7 ,73 ,36.0 ,0 ,0.0 ,10 ,4.9 ,4 ,1 to 3,1 to 3,1 to 3,"2,444 ",99.8 ,,
Physical restraint,Hawaii,1 to 3,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,1 to 3,100.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,287 ,100.0 ,,
Physical restraint,Idaho,82 ,4 ,4.9 ,1 to 3,1.2 ,9 ,11.0 ,1 to 3,1.2 ,64 ,78.0 ,0 ,0.0 ,1 to 3,3.7 ,0 ,0.0 ,5 ,6.1 ,715 ,100.0 ,,
Physical restraint,Illinois,269 ,0 ,0.0 ,1 to 3,0.7 ,20 ,7.4 ,91 ,33.8 ,145 ,53.9 ,1 to 3,0.4 ,10 ,3.7 ,6 ,2.2 ,4 ,1.5 ,"4,134 ",100.0 ,,
Physical restraint,Indiana,235 ,0 ,0.0 ,1 to 3,0.4 ,10 ,4.3 ,54 ,23.0 ,152 ,64.7 ,0 ,0.0 ,18 ,7.7 ,8 ,3.4 ,5 ,2.1 ,"1,864 ",100.0 ,,
Physical restraint,Iowa,418 ,4 ,1 to 3,1 to 3,0.5 ,22 ,5.3 ,115 ,27.5 ,256 ,61.2 ,1 to 3,0.2 ,18 ,4.3 ,1 to 3,0.5 ,16 ,3.8 ,"1,424 ",100.0 ,,
Physical restraint,Kansas,216 ,1 to 3,0.5 ,1 to 3,0.5 ,25 ,11.6 ,26 ,12.0 ,143 ,66.2 ,0 ,0.0 ,20 ,9.3 ,13 ,6.0 ,7 ,3.2 ,"1,396 ",99.9 ,,
Physical restraint,Kentucky,"1,071 ",0 ,0.0 ,1 to 3,0.1 ,32 ,1 to 3,268 ,25.0 ,701 ,65.5 ,0 ,0.0 ,69 ,6.4 ,11 ,1 to 3,13 ,1.2 ,"1,422 ",100.0 ,,
Physical restraint,Louisiana,42 ,0 ,0.0 ,0 ,0.0 ,1 to 3,7.1 ,33 ,78.6 ,6 ,14.3 ,0 ,0.0 ,0 ,0.0 ,5 ,11.9 ,1 to 3,4.8 ,"1,343 ",100.0 ,,
Physical restraint,Maine,94 ,0 ,0.0 ,0 ,0.0 ,1 to 3,2.1 ,13 ,13.8 ,75 ,79.8 ,0 ,0.0 ,4 ,4.3 ,5 ,5.3 ,1 to 3,2.1 ,573 ,99.0 ,,
Physical restraint,Maryland,163 ,0 ,0.0 ,1 to 3,1.2 ,8 ,4.9 ,71 ,43.6 ,63 ,38.7 ,1 to 3,1.8 ,16 ,9.8 ,15 ,9.2 ,5 ,3.1 ,"1,435 ",100.0 ,,
