Year,State,Personnel Type,EmployedN/VCertified,EmployedN/Vnot Certified,Total Employed,Nation_ID,State_ID,Region_ID,Division_ID
2005,Alabama                  ,Special ed teachers for 3-5                  ,652,35,686,,1,3,6
2005,Alabama                  ,Special ed teachers for 6-21                 ,"5,293.00",265,"5,557.00",,1,3,6
2005,Alabama                  ,Vocational education teachers                ,138,4,142,,1,3,6
2005,Alabama                  ,Physical education teachers                  ,198,7,205,,1,3,6
2005,Alabama                  ,Work-study coordinators                      ,27,3,29,,1,3,6
2005,Alabama                  ,Psychologists                                ,41,0,41,,1,3,6
2005,Alabama                  ,School social workers                        ,39,0,40,,1,3,6
2005,Alabama                  ,Occupational therapists                      ,87,2,89,,1,3,6
2005,Alabama                  ,Audiologists                                 ,46,0,46,,1,3,6
2005,Alabama                  ,Teacher aides                                ,"3,191.00","1,002.00","4,194.00",,1,3,6
2005,Alabama                  ,Recreation specialists                       ,17,5,22,,1,3,6
2005,Alabama                  ,Diagnostic & evaluation staff                ,227,2,229,,1,3,6
2005,Alabama                  ,Physical therapists                          ,50,2,53,,1,3,6
2005,Alabama                  ,Counselors                                   ,183,15,198,,1,3,6
2005,Alabama                  ,Speech pathologists                          ,686,8,695,,1,3,6
2005,Alabama                  ,Supervisors/administrators                   ,314,9,323,,1,3,6
2005,Alabama                  ,Supervisors/administrators (SEA)             ,10,0,10,,1,3,6
2005,Alabama                  ,Interpreters                                 ,78,4,82,,1,3,6
2005,Alabama                  ,Rehabilitation counselors                    ,5,0,5,,1,3,6
2005,Alabama                  ,Other professional staff                     ,550,7,557,,1,3,6
2005,Alabama                  ,Non-professional staff                       ,679,191,870,,1,3,6
2005,Alabama                  ,Total                                        ,"6,569.00","1,261.00","7,830.00",,1,3,6
2005,Alaska                   ,Special ed teachers for 3-5                  ,82,1,83,,2,4,9
2005,Alaska                   ,Special ed teachers for 6-21                 ,978,5,983,,2,4,9
2005,Alaska                   ,Vocational education teachers                ,5,0,5,,2,4,9
2005,Alaska                   ,Physical education teachers                  ,12,0,12,,2,4,9
2005,Alaska                   ,Work-study coordinators                      ,5,0,5,,2,4,9
2005,Alaska                   ,Psychologists                                ,77,1,78,,2,4,9
2005,Alaska                   ,School social workers                        ,          N/V,          N/V,          ,,2,4,9
2005,Alaska                   ,Occupational therapists                      ,43,1,44,,2,4,9
2005,Alaska                   ,Audiologists                                 ,2,0,2,,2,4,9
2005,Alaska                   ,Teacher aides                                ,"1,317.00",0,"1,317.00",,2,4,9
2005,Alaska                   ,Recreation specialists                       ,0,0,0,,2,4,9
2005,Alaska                   ,Diagnostic & evaluation staff                ,0,0,0,,2,4,9
2005,Alaska                   ,Physical therapists                          ,23,0,23,,2,4,9
2005,Alaska                   ,Counselors                                   ,0,0,0,,2,4,9
2005,Alaska                   ,Speech pathologists                          ,148,1,149,,2,4,9
2005,Alaska                   ,Supervisors/administrators                   ,20,0,20,,2,4,9
2005,Alaska                   ,Supervisors/administrators (SEA)             ,0,0,0,,2,4,9
2005,Alaska                   ,Interpreters                                 ,0,0,0,,2,4,9
2005,Alaska                   ,Rehabilitation counselors                    ,          N/V,          N/V,          N/V,,2,4,9
2005,Alaska                   ,Other professional staff                     ,6,0,6,,2,4,9
2005,Alaska                   ,Non-professional staff                       ,0,0,0,,2,4,9
2005,Alaska                   ,Total                                        ,"1,658.00",3,"1,661.00",,2,4,9
2005,American Samoa           ,Special ed teachers for 3-5                  ,0,5,5,,60,,
2005,American Samoa           ,Special ed teachers for 6-21                 ,38,107,145,,60,,
2005,American Samoa           ,Vocational education teachers                ,0,0,0,,60,,
2005,American Samoa           ,Physical education teachers                  ,0,0,0,,60,,
2005,American Samoa           ,Work-study coordinators                      ,1,0,1,,60,,
2005,American Samoa           ,Psychologists                                ,1,0,1,,60,,
2005,American Samoa           ,School social workers                        ,1,0,1,,60,,
2005,American Samoa           ,Occupational therapists                      ,0,0,0,,60,,
2005,American Samoa           ,Audiologists                                 ,0,0,0,,60,,
2005,American Samoa           ,Teacher aides                                ,0,15,15,,60,,
2005,American Samoa           ,Recreation specialists                       ,0,0,0,,60,,
2005,American Samoa           ,Diagnostic & evaluation staff                ,5,2,7,,60,,
2005,American Samoa           ,Physical therapists                          ,1,0,1,,60,,
2005,American Samoa           ,Counselors                                   ,1,1,2,,60,,
2005,American Samoa           ,Speech pathologists                          ,1,0,1,,60,,
2005,American Samoa           ,Supervisors/administrators                   ,24,0,24,,60,,
2005,American Samoa           ,Supervisors/administrators (SEA)             ,5,0,5,,60,,
2005,American Samoa           ,Interpreters                                 ,0,0,0,,60,,
2005,American Samoa           ,Rehabilitation counselors                    ,0,0,0,,60,,
2005,American Samoa           ,Other professional staff                     ,4,1,5,,60,,
2005,American Samoa           ,Non-professional staff                       ,24,1,25,,60,,
2005,American Samoa           ,Total                                        ,68,20,88,,60,,
2005,Arizona                  ,Special ed teachers for 3-5                  ,"1,505.00",315,"1,820.00",,4,4,8
2005,Arizona                  ,Special ed teachers for 6-21                 ,"5,751.00",801,"6,552.00",,4,4,8
2005,Arizona                  ,Vocational education teachers                ,151,16,168,,4,4,8
2005,Arizona                  ,Physical education teachers                  ,191,21,212,,4,4,8
2005,Arizona                  ,Work-study coordinators                      ,52,17,70,,4,4,8
2005,Arizona                  ,Psychologists                                ,831,41,872,,4,4,8
2005,Arizona                  ,School social workers                        ,166,29,195,,4,4,8
2005,Arizona                  ,Occupational therapists                      ,333,0,333,,4,4,8
2005,Arizona                  ,Audiologists                                 ,53,8,61,,4,4,8
2005,Arizona                  ,Teacher aides                                ,"7,537.00",0,"7,537.00",,4,4,8
2005,Arizona                  ,Recreation specialists                       ,23,4,27,,4,4,8
2005,Arizona                  ,Diagnostic & evaluation staff                ,92,13,105,,4,4,8
2005,Arizona                  ,Physical therapists                          ,158,0,158,,4,4,8
2005,Arizona                  ,Counselors                                   ,616,40,656,,4,4,8
2005,Arizona                  ,Speech pathologists                          ,"1,220.00",44,"1,264.00",,4,4,8
2005,Arizona                  ,Supervisors/administrators                   ,586,62,648,,4,4,8
2005,Arizona                  ,Supervisors/administrators (SEA)             ,79,0,79,,4,4,8
2005,Arizona                  ,Interpreters                                 ,200,95,296,,4,4,8
2005,Arizona                  ,Rehabilitation counselors                    ,11,0,11,,4,4,8
2005,Arizona                  ,Other professional staff                     ,707,65,772,,4,4,8
2005,Arizona                  ,Non-professional staff                       ,"1,272.00",483,"1,755.00",,4,4,8
2005,Arizona                  ,Total                                        ,"14,278.00",941,"15,219.00",,4,4,8
2005,Arkansas                 ,Special ed teachers for 3-5                  ,531,100,631,,5,3,7
2005,Arkansas                 ,Special ed teachers for 6-21                 ,"3,493.00",322,"3,814.00",,5,3,7
2005,Arkansas                 ,Vocational education teachers                ,7,1,8,,5,3,7
2005,Arkansas                 ,Physical education teachers                  ,3,0,3,,5,3,7
2005,Arkansas                 ,Work-study coordinators                      ,1,0,1,,5,3,7
2005,Arkansas                 ,Psychologists                                ,5,0,5,,5,3,7
2005,Arkansas                 ,School social workers                        ,31,1,32,,5,3,7
2005,Arkansas                 ,Occupational therapists                      ,245,1,245,,5,3,7
2005,Arkansas                 ,Audiologists                                 ,4,0,4,,5,3,7
2005,Arkansas                 ,Teacher aides                                ,"1,775.00","1,147.00","2,922.00",,5,3,7
2005,Arkansas                 ,Recreation specialists                       ,0,0,0,,5,3,7
2005,Arkansas                 ,Diagnostic & evaluation staff                ,176,2,178,,5,3,7
2005,Arkansas                 ,Physical therapists                          ,160,1,161,,5,3,7
2005,Arkansas                 ,Counselors                                   ,34,0,34,,5,3,7
2005,Arkansas                 ,Speech pathologists                          ,          N/V,          N/V,          N/V,,5,3,7
2005,Arkansas                 ,Supervisors/administrators                   ,216,57,273,,5,3,7
2005,Arkansas                 ,Supervisors/administrators (SEA)             ,25,0,25,,5,3,7
2005,Arkansas                 ,Interpreters                                 ,42,12,54,,5,3,7
2005,Arkansas                 ,Rehabilitation counselors                    ,0,0,0,,5,3,7
2005,Arkansas                 ,Other professional staff                     ,120,43,163,,5,3,7
2005,Arkansas                 ,Non-professional staff                       ,530,0,530,,5,3,7
2005,Arkansas                 ,Total                                        ,"3,372.00","1,265.00","4,637.00",,5,3,7
2005,Bur. of Indian Affairs   ,Special ed teachers for 3-5                  ,23,0,23,AI_Territory_National,,,
2005,Bur. of Indian Affairs   ,Special ed teachers for 6-21                 ,461,59,520,AI_Territory_National,,,
2005,Bur. of Indian Affairs   ,Vocational education teachers                ,4,1,5,AI_Territory_National,,,
2005,Bur. of Indian Affairs   ,Physical education teachers                  ,4,0,4,AI_Territory_National,,,
2005,Bur. of Indian Affairs   ,Work-study coordinators                      ,7,1,8,AI_Territory_National,,,
2005,Bur. of Indian Affairs   ,Psychologists                                ,61,1,62,AI_Territory_National,,,
2005,Bur. of Indian Affairs   ,School social workers                        ,25,0,25,AI_Territory_National,,,
2005,Bur. of Indian Affairs   ,Occupational therapists                      ,34,1,35,AI_Territory_National,,,
2005,Bur. of Indian Affairs   ,Audiologists                                 ,4,0,4,AI_Territory_National,,,
2005,Bur. of Indian Affairs   ,Teacher aides                                ,530,82,612,AI_Territory_National,,,
2005,Bur. of Indian Affairs   ,Recreation specialists                       ,0,0,0,AI_Territory_National,,,
2005,Bur. of Indian Affairs   ,Diagnostic & evaluation staff                ,8,0,8,AI_Territory_National,,,
2005,Bur. of Indian Affairs   ,Physical therapists                          ,19,0,19,AI_Territory_National,,,
2005,Bur. of Indian Affairs   ,Counselors                                   ,38,1,39,AI_Territory_National,,,
2005,Bur. of Indian Affairs   ,Speech pathologists                          ,105,3,108,AI_Territory_National,,,
2005,Bur. of Indian Affairs   ,Supervisors/administrators                   ,36,1,36,AI_Territory_National,,,
2005,Bur. of Indian Affairs   ,Supervisors/administrators (SEA)             ,17,1,18,AI_Territory_National,,,
2005,Bur. of Indian Affairs   ,Interpreters                                 ,1,2,3,AI_Territory_National,,,
