Discipline by gender	Number of Students Without Disabilities	Percent of Students Without Disabilities	Number of American Indian or Alaska Native Students Without Disabilities	Percent of American Indian or Alaska Native Students Without Disabilities	Number of Asian Students Without Disabilities	Percent of Asian Students Without Disabilities	Number of Hispanic or Latino of any race Students Without Disabilities	Percent of Hispanic or Latino of any race Students Without Disabilities	Number of Black or African American Students Without Disabilities	Percent of Black or African American Students Without Disabilities	Number of White Students Without Disabilities	Percent of White Students Without Disabilities	Number of Native Hawaiian or Other Pacific Islander Students Without Disabilities	Percent of Native Hawaiian or Other Pacific Islander Students Without Disabilities	Number of Two or more races Students Without Disabilities	Percent of Two or more races Students Without Disabilities	Number of English Language Learners Without Disabilities 	Percent of English Language Learners Without Disabilities 	Number of Schools	State_ID	Region_ID	Division_ID
Corporal punishment on males	8	100	0	0	DS	25	DS	25	DS	25	DS	25	0	0	0	0	0	0	291	44	1	1
Corporal punishment on females	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	291	44	1	1
Corporal punishment total	8	100	0	0	DS	25	DS	25	DS	25	DS	25	0	0	0	0	0	0	291	44	1	1
One or more in-school suspensions on males	"3,684"	63.8	16	0.3	54	0.9	784	13.6	355	6.1	"2,348"	40.7	8	0.1	119	2.1	183	3.2	291	44	1	1
One or more in-school suspensions on females	"2,089"	36.2	18	0.3	34	0.6	539	9.3	219	3.8	"1,195"	20.7	11	0.2	73	1.3	91	1.6	291	44	1	1
One or more in-school suspensions total	"5,773"	100	34	0.6	88	1.5	"1,323"	22.9	574	9.9	"3,543"	61.4	19	0.3	192	3.3	274	4.7	291	44	1	1
Only one out-of-school suspension on males	"3,491"	65.9	30	0.6	80	1.5	910	17.2	500	9.4	"1,860"	35.1	4	0.1	107	2	233	4.4	291	44	1	1
Only one out-of-school suspension on females	"1,807"	34.1	24	0.5	21	0.4	584	11	276	5.2	833	15.7	0	0	69	1.3	106	2	291	44	1	1
Only one out-of-school suspension total	"5,298"	100	54	1	101	1.9	"1,494"	28.2	776	14.6	"2,693"	50.8	4	0.1	176	3.3	339	6.4	291	44	1	1
More than one out-of-school suspension on males	"2,317"	66	16	0.5	38	1.1	804	22.9	382	10.9	985	28	DS	0.1	90	2.6	144	4.1	291	44	1	1
More than one out-of-school suspension on females	"1,195"	34	20	0.6	19	0.5	448	12.8	221	6.3	430	12.2	0	0	57	1.6	38	1.1	291	44	1	1
More than one out-of-school suspension total	"3,512"	100	36	1	57	1.6	"1,252"	35.6	603	17.2	"1,415"	40.3	DS	0.1	147	4.2	182	5.2	291	44	1	1
One or more out-of-school suspensions on males	"5,804"	65.9	45	0.5	119	1.4	"1,712"	19.4	882	10	"2,842"	32.3	5	0.1	199	2.3	376	4.3	291	44	1	1
One or more out-of-school suspensions on females	"3,000"	34.1	44	0.5	40	0.5	"1,029"	11.7	499	5.7	"1,262"	14.3	0	0	126	1.4	142	1.6	291	44	1	1
One or more out-of-school suspensions total	"8,804"	100	89	1	159	1.8	"2,741"	31.1	"1,381"	15.7	"4,104"	46.6	5	0.1	325	3.7	518	5.9	291	44	1	1
Expulsions with educational services on males	DS	100	0	0	0	0	0	0	0	0	DS	100	0	0	0	0	0	0	291	44	1	1
Expulsions with educational services on females	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	291	44	1	1
Expulsions with educational services total	DS	100	0	0	0	0	0	0	0	0	DS	100	0	0	0	0	0	0	291	44	1	1
Expulsions without educational services on males	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	291	44	1	1
Expulsions without educational services on females	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	291	44	1	1
Expulsions without educational services total	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	291	44	1	1
Expulsions with or without educational services on males	4	100	0	0	0	0	0	0	0	0	4	100	0	0	0	0	0	0	291	44	1	1
Expulsions with or without educational services on females	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	291	44	1	1
Expulsions with or without educational services total	4	100	0	0	0	0	0	0	0	0	4	100	0	0	0	0	0	0	291	44	1	1
Expulsions under zero-tolerance policies on males	5	100	0	0	0	0	0	0	0	0	5	100	0	0	0	0	0	0	291	44	1	1
Expulsions under zero-tolerance policies on females	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	291	44	1	1
Expulsions under zero-tolerance policies total	5	100	0	0	0	0	0	0	0	0	5	100	0	0	0	0	0	0	291	44	1	1
Referral to law enforcement on males	157	63.3	4	1.6	DS	0.8	15	6	9	3.6	125	50.4	0	0	DS	0.8	DS	0.8	291	44	1	1
Referral to law enforcement on females	91	36.7	DS	0.8	0	0	4	1.6	8	3.2	75	30.2	0	0	DS	0.8	DS	0.8	291	44	1	1
Referral to law enforcement total	248	100	6	2.4	DS	0.8	19	7.7	17	6.9	200	80.6	0	0	4	1.6	4	1.6	291	44	1	1
School-related arrests on males	50	56.8	0	0	0	0	5	5.7	DS	2.3	43	48.9	0	0	0	0	0	0	291	44	1	1
School-related arrests on females	38	43.2	0	0	DS	2.3	4	4.5	5	5.7	25	28.4	0	0	DS	2.3	0	0	291	44	1	1
School-related arrests total	88	100	0	0	DS	2.3	9	10.2	7	8	68	77.3	0	0	DS	2.3	0	0	291	44	1	1
