,2000,2000,,2013,2013,,
,Live,Low,,Live,Low,,2000-2013
County,Births,Birthweight,Percentage,Births,Birthweight,Percentage,Change
Adair,68,*,*,70,*,*,*
Adams,35,*,*,59,9,15.30%,*
Allamakee,158,7,4.40%,183,11,6.00%,35.70%
Appanoose,142,8,5.60%,140,10,7.10%,26.80%
Audubon,47,*,*,69,*,*,*
Benton,325,26,8.00%,287,22,7.70%,-4.20%
Black Hawk,"1,551",96,6.20%,"1,689",105,6.20%,0.40%
Boone,317,14,4.40%,303,13,4.30%,-2.90%
Bremer,250,13,5.20%,237,13,5.50%,5.50%
Buchanan,301,16,5.30%,274,16,5.80%,9.90%
Buena Vista,233,12,5.20%,339,22,6.50%,26.00%
Butler,170,9,5.30%,158,7,4.40%,-16.30%
Calhoun,107,8,7.50%,96,*,*,*
Carroll,262,11,4.20%,263,13,4.90%,17.70%
Cass,158,8,5.10%,143,*,*,*
Cedar,206,10,4.90%,178,6,3.40%,-30.60%
Cerro Gordo,530,29,5.50%,478,29,6.10%,10.90%
Cherokee,146,10,6.80%,128,8,6.30%,-8.70%
Chickasaw,169,11,6.50%,131,8,6.10%,-6.20%
Clarke,97,7,7.20%,129,*,*,*
Clay,204,11,5.40%,206,13,6.30%,17.00%
Clayton,194,10,5.20%,190,9,4.70%,-8.10%
Clinton,591,39,6.60%,547,45,8.20%,24.70%
Crawford,189,13,6.90%,225,19,8.40%,22.80%
Dallas,566,34,6.00%,"1,233",78,6.30%,5.30%
Davis,129,9,7.00%,126,9,7.10%,2.40%
Decatur,101,*,*,103,7,6.80%,*
Delaware,227,20,8.80%,223,9,4.00%,-54.20%
Des Moines,555,44,7.90%,457,35,7.70%,-3.40%
Dickinson,159,10,6.30%,170,10,5.90%,-6.50%
Dubuque,"1,221",62,5.10%,"1,220",69,5.70%,11.40%
Emmet,126,8,6.30%,116,10,8.60%,35.80%
Fayette,233,13,5.60%,196,6,3.10%,-45.10%
Floyd,199,8,4.00%,201,7,3.50%,-13.40%
Franklin,113,9,8.00%,114,11,9.60%,21.20%
Fremont,82,7,8.50%,65,*,*,*
Greene,92,10,10.90%,117,13,11.10%,2.20%
Grundy,133,8,6.00%,139,9,6.50%,7.60%
Guthrie,134,6,4.50%,110,9,8.20%,82.70%
Hamilton,192,7,3.60%,179,14,7.80%,114.50%
Hancock,131,10,7.60%,110,10,9.10%,19.10%
Hardin,208,20,9.60%,175,13,7.40%,-22.70%
Harrison,193,16,8.30%,170,12,7.10%,-14.90%
Henry,264,14,5.30%,230,16,7.00%,31.20%
Howard,110,6,5.50%,115,*,*,*
Humboldt,99,6,6.10%,117,6,5.10%,-15.40%
Ida,70,6,8.60%,84,8,9.50%,11.10%
Iowa,183,11,6.00%,188,13,6.90%,15.00%
Jackson,239,20,8.40%,198,14,7.10%,-15.50%
Jasper,458,27,5.90%,404,44,10.90%,84.70%
Jefferson,145,12,8.30%,159,12,7.50%,-8.80%
Johnson,"1,382",74,5.40%,"1,767",116,6.60%,22.60%
Jones,227,15,6.60%,226,12,5.30%,-19.60%
Keokuk,154,10,6.50%,132,10,7.60%,16.70%
,Live,Low,,Live Low,,2000-2013,
County,Births,Birthweight,Percentage,Births Birthweight,Percentage,Change,
Kossuth,166,9,5.40%,162 10,6.20%,13.90%,
Lee,410,34,8.30%,431 26,6.00%,-27.30%,
Linn,"2,715",150,5.50%,"2,705 186",6.90%,24.50%,
Louisa,164,16,9.80%,121 7,5.80%,-40.70%,
Lucas,119,6,5.00%,101 *,*,*,
Lyon,159,*,*,158 6,3.80%,*,
