State	Nation_ID	State_ID	Region_ID	Division_ID	Total Non-IDEA Male Students	Number of American Indian or Alaska Native	Percent of American Indian or Alaska Native	Number of Asians	Percent of Asians	Number of Hispanic or Latino of any race	Percent of Hispanic or Latino of any race	Number of Black or African American 	Percent of Black or African American 	Number of Whites	Percent of Whites	Number of Native Hawaiian or Other Pacific Islander	Percent of Native Hawaiian or Other Pacific Islander	Number of Two or more races	Percent of Two or more races	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of English Language Learners	Percent of English Language Learners	Number of Schools
United States	US_National				"9,381"	130	1.4	143	1.5	"1,340"	14.3	"3,051"	32.5	"4,417"	47.1	13	0.1	287	3.1	268	2.9	277	3	"95,635"
Alabama		1	3	6	234	0	0	DS	0.9	DS	0.9	130	55.6	98	41.9	0	0	DS	0.9	5	2.1	DS	0.9	"1,432"
Alaska		2	4	9	23	9	39.1	0	0	0	0	DS	8.7	12	52.2	0	0	0	0	0	0	DS	8.7	493
Arizona		4	4	8	138	12	8.7	DS	1.4	40	29	16	11.6	58	42	DS	1.4	8	5.8	4	2.9	6	4.3	"1,920"
Arkansas		5	3	7	180	0	0	DS	1.1	15	8.3	76	42.2	87	48.3	0	0	0	0	DS	1.1	DS	1.1	"1,097"
California		6	4	9	237	7	3	DS	0.8	120	50.6	47	19.8	55	23.2	DS	0.8	4	1.7	4	1.7	38	16	"9,866"
Colorado		8	4	8	117	0	0	DS	1.7	43	36.8	19	16.2	51	43.6	0	0	DS	1.7	0	0	DS	1.7	"1,811"
Connecticut		9	1	1	152	0	0	DS	1.3	34	22.4	54	35.5	55	36.2	0	0	7	4.6	6	3.9	DS	1.3	"1,122"
Delaware		10	3	5	6	0	0	0	0	0	0	DS	33.3	4	66.7	0	0	0	0	0	0	0	0	232
District of Columbia		11	3	5	15	0	0	0	0	0	0	15	100	0	0	0	0	0	0	0	0	0	0	211
Florida		12	3	5	105	0	0	0	0	40	38.1	DS	1.9	58	55.2	0	0	5	4.8	0	0	DS	1.9	"3,886"
Georgia		13	3	5	"1,154"	DS	0.2	99	8.6	262	22.7	639	55.4	117	10.1	0	0	35	3	7	0.6	82	7.1	"2,422"
Hawaii		15	4	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	286
Idaho		16	4	8	62	DS	3.2	0	0	12	19.4	DS	3.2	44	71	0	0	DS	3.2	0	0	DS	3.2	703
Illinois		17	2	3	287	0	0	0	0	17	5.9	94	32.8	163	56.8	0	0	13	4.5	14	4.9	4	1.4	"4,221"
Indiana		18	2	3	173	0	0	DS	1.2	7	4	45	26	112	64.7	0	0	7	4	DS	1.2	DS	1.2	"1,875"
Iowa		19	2	4	184	0	0	0	0	15	8.2	41	22.3	121	65.8	0	0	7	3.8	DS	1.1	DS	1.1	"1,458"
Kansas		20	2	4	62	0	0	DS	3.2	DS	3.2	6	9.7	37	59.7	DS	3.2	13	21	0	0	DS	3.2	"1,389"
Kentucky		21	3	6	239	0	0	DS	0.8	10	4.2	35	14.6	187	78.2	0	0	5	2.1	7	2.9	DS	0.8	"1,417"
Louisiana		22	3	7	121	0	0	0	0	DS	1.7	97	80.2	20	16.5	0	0	DS	1.7	11	9.1	0	0	"1,394"
Maine		23	1	1	45	DS	4.4	0	0	DS	4.4	4	8.9	37	82.2	0	0	0	0	5	11.1	0	0	595
Maryland		24	3	5	81	0	0	DS	2.5	7	8.6	26	32.1	38	46.9	0	0	8	9.9	7	8.6	0	0	"1,444"
Massachusetts		25	1	1	119	DS	1.7	DS	1.7	21	17.6	29	24.4	58	48.7	0	0	7	5.9	10	8.4	4	3.4	"1,834"
Michigan		26	2	3	507	6	1.2	DS	0.4	23	4.5	83	16.4	385	75.9	0	0	8	1.6	8	1.6	DS	0.4	"3,626"
