Discipline by gender	Number of Students Without Disabilities	Percent of Students Without Disabilities	Number of American Indian or Alaska Native Students Without Disabilities	Percent of American Indian or Alaska Native Students Without Disabilities	Number of Asian Students Without Disabilities	Percent of Asian Students Without Disabilities	Number of Hispanic or Latino of any race Students Without Disabilities	Percent of Hispanic or Latino of any race Students Without Disabilities	Number of Black or African American Students Without Disabilities	Percent of Black or African American Students Without Disabilities	Number of White Students Without Disabilities	Percent of White Students Without Disabilities	Number of Native Hawaiian or Other Pacific Islander Students Without Disabilities	Percent of Native Hawaiian or Other Pacific Islander Students Without Disabilities	Number of Two or more races Students Without Disabilities	Percent of Two or more races Students Without Disabilities	Number of English Language Learners Without Disabilities 	Percent of English Language Learners Without Disabilities 	Number of Schools	State_ID	Region_ID	Division_ID
Corporal punishment on males	"6,210"	78.2	"1,682"	21.2	11	0.1	304	3.8	339	4.3	"3,682"	46.3	8	0.1	184	2.3	74	0.9	"1,774"	40	3	7
Corporal punishment on females	"1,735"	21.8	464	5.8	4	0.1	52	0.7	145	1.8	"1,030"	13	DS	0	38	0.5	9	0.1	"1,774"	40	3	7
Corporal punishment total	"7,945"	100	"2,146"	27	15	0.2	356	4.5	484	6.1	"4,712"	59.3	10	0.1	222	2.8	83	1	"1,774"	40	3	7
One or more in-school suspensions on males	"23,154"	65.4	"3,772"	10.7	159	0.4	"2,836"	8	"3,468"	9.8	"12,237"	34.6	47	0.1	635	1.8	764	2.2	"1,774"	40	3	7
One or more in-school suspensions on females	"12,253"	34.6	"2,170"	6.1	72	0.2	"1,509"	4.3	"2,250"	6.4	"5,856"	16.5	13	0	383	1.1	377	1.1	"1,774"	40	3	7
One or more in-school suspensions total	"35,407"	100	"5,942"	16.8	231	0.7	"4,345"	12.3	"5,718"	16.1	"18,093"	51.1	60	0.2	"1,018"	2.9	"1,141"	3.2	"1,774"	40	3	7
Only one out-of-school suspension on males	"13,924"	65.5	"1,770"	8.3	115	0.5	"2,564"	12.1	"3,052"	14.3	"6,045"	28.4	29	0.1	349	1.6	"1,099"	5.2	"1,774"	40	3	7
Only one out-of-school suspension on females	"7,345"	34.5	862	4.1	45	0.2	"1,431"	6.7	"2,089"	9.8	"2,735"	12.9	17	0.1	166	0.8	470	2.2	"1,774"	40	3	7
Only one out-of-school suspension total	"21,269"	100	"2,632"	12.4	160	0.8	"3,995"	18.8	"5,141"	24.2	"8,780"	41.3	46	0.2	515	2.4	"1,569"	7.4	"1,774"	40	3	7
More than one out-of-school suspension on males	"6,243"	71.1	774	8.8	41	0.5	955	10.9	"1,510"	17.2	"2,774"	31.6	25	0.3	164	1.9	378	4.3	"1,774"	40	3	7
