Discipline by gender	Number of Students With and Without Disabilities	Percent of Students With and Without Disabilities	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Students Without Disabilities and With Disabilities Served Under IDEA	Number of American Indian or Alaska Native Students Without Disabilities and With Disabilities Served Under IDEA	Percent of American Indian or Alaska Native Students Without Disabilities and With Disabilities Served Under IDEA	Number of Asian Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Asian Students Without Disabilities and With Disabilities Served Under IDEA	Number of Hispanic or Latino of any race Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Hispanic or Latino of any race Students Without Disabilities and With Disabilities Served Under IDEA	Number of Black or African American Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Black or African American Students Without Disabilities and With Disabilities Served Under IDEA	Number of White Students Without Disabilities and With Disabilities Served Under IDEA	Percent of White Students Without Disabilities and With Disabilities Served Under IDEA	Number of Native Hawaiian or Other Pacific Islander	Percent of Native Hawaiian or Other Pacific Islander 	Number of Two or more races	Percent of Two or more races	Number of English Language Learners With and Without Disabilities	Percent of English Language Learners With and Without Disabilities	Number of Schools	State_ID	Region_ID	Division_ID
Corporal punishment on males	"8,349"	80.9	20	0.2	"8,329"	80.7	4	0	16	0.2	156	1.5	"1,807"	17.6	"6,301"	61.2	DS	0	43	0.4	27	0.3	"1,802"	47	3	6
Corporal punishment on females	"1,969"	19.1	DS	0	"1,967"	19.1	4	0	DS	0	27	0.3	538	5.2	"1,383"	13.4	0	0	13	0.1	8	0.1	"1,802"	47	3	6
Corporal punishment total	"10,318"	100	22	0.2	"10,296"	99.8	8	0.1	18	0.2	183	1.8	"2,345"	22.8	"7,684"	74.6	DS	0	56	0.5	35	0.3	"1,802"	47	3	6
One or more in-school suspensions on males	"69,018"	65.2	362	0.3	"68,656"	64.8	148	0.1	487	0.5	"2,412"	2.3	"23,790"	22.6	"41,302"	39.2	49	0	468	0.4	"1,328"	1.3	"1,802"	47	3	6
One or more in-school suspensions on females	"36,893"	34.8	124	0.1	"36,769"	34.7	73	0.1	247	0.2	"1,162"	1.1	"15,768"	15	"19,216"	18.2	30	0	273	0.3	601	0.6	"1,802"	47	3	6
One or more in-school suspensions total	"105,911"	100	486	0.5	"105,425"	99.5	221	0.2	734	0.7	"3,574"	3.4	"39,558"	37.5	"60,518"	57.4	79	0.1	741	0.7	"1,929"	1.8	"1,802"	47	3	6
Only one out-of-school suspension on males	"29,459"	66	182	0.4	"29,277"	65.6	59	0.1	191	0.4	966	2.2	"13,896"	31.3	"13,970"	31.5	17	0	178	0.4	656	1.5	"1,802"	47	3	6
Only one out-of-school suspension on females	"15,185"	34	48	0.1	"15,137"	33.9	19	0	85	0.2	405	0.9	"8,972"	20.2	"5,557"	12.5	10	0	89	0.2	229	0.5	"1,802"	47	3	6
Only one out-of-school suspension total	"44,644"	100	230	0.5	"44,414"	99.5	78	0.2	276	0.6	"1,371"	3.1	"22,868"	51.5	"19,527"	44	27	0.1	267	0.6	885	2	"1,802"	47	3	6
More than one out-of-school suspension on males	"22,816"	69.2	136	0.4	"22,680"	68.8	25	0.1	80	0.2	877	2.7	"14,229"	43.4	"7,326"	22.3	7	0	136	0.4	462	1.4	"1,802"	47	3	6
More than one out-of-school suspension on females	"10,148"	30.8	48	0.1	"10,100"	30.6	14	0	26	0.1	185	0.6	"7,390"	22.5	"2,443"	7.5	4	0	38	0.1	122	0.4	"1,802"	47	3	6
More than one out-of-school suspension total	"32,964"	100	184	0.6	"32,780"	99.4	39	0.1	106	0.3	"1,062"	3.2	"21,619"	66	"9,769"	29.8	11	0	174	0.5	584	1.8	"1,802"	47	3	6
One or more out-of-school suspensions on males	"52,282"	67.4	319	0.4	"51,963"	67	84	0.1	269	0.3	"1,844"	2.4	"28,135"	36.5	"21,293"	27.6	24	0	314	0.4	"1,116"	1.4	"1,802"	47	3	6
One or more out-of-school suspensions on females	"25,321"	32.6	97	0.1	"25,224"	32.5	31	0	108	0.1	588	0.8	"16,363"	21.2	"7,995"	10.4	14	0	125	0.2	349	0.4	"1,802"	47	3	6
One or more out-of-school suspensions total	"77,603"	100	416	0.5	"77,187"	99.5	115	0.1	377	0.5	"2,432"	3.2	"44,498"	57.6	"29,288"	37.9	38	0	439	0.6	"1,465"	1.9	"1,802"	47	3	6
Expulsions with educational services on males	"2,429"	75.2	28	0.9	"2,401"	74.4	6	0.2	9	0.3	82	2.6	"1,183"	37	"1,103"	34.5	DS	0.1	16	0.5	26	0.8	"1,802"	47	3	6
Expulsions with educational services on females	799	24.8	7	0.2	792	24.5	0	0	0	0	26	0.8	424	13.3	340	10.6	0	0	DS	0.1	DS	0.1	"1,802"	47	3	6
