Discipline by gender	Number of Students With and Without Disabilities	Percent of Students With and Without Disabilities	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Students Without Disabilities and With Disabilities Served Under IDEA	Number of American Indian or Alaska Native Students Without Disabilities and Those With Disabilities Served Under IDEA	Percent of American Indian or Alaska Native Students Without Disabilities and Those With Disabilities Served Under IDEA	Number of Asian Students Without Disabilities and Those With Disabilities Served Under IDEA	Percent of Asian Students Without Disabilities and Those With Disabilities Served Under IDEA	Number Hispanic of Latino of any race Students Without Disabilities and Those With Disabilities Served Under IDEA	Percent of Hispanic or Latino of any race Students Without Disabilities and Those With Disabilities Served Under IDEA	Number of Black or African American Students Without Disabilities and Those With Disabilities Served Under IDEA	Percent of Black or African American Students Without Disabilities and Those With Disabilities Served Under IDEA	Number of White Students Without Disabilities and Those With Disabilities Served Under IDEA	Percent of White Students Without Disabilities and Those With Disabilities Served Under IDEA	Number of Native Hawaiian or other Pacific Islander Students Without Disabilities and Those With Disabilities Served Under IDEA	Percent of Native Hawaiian or other Pacific Islander Students Without Disabilities and Those With Disabilities Served Under IDEA	Number of Two or more races Students Without Disabilities and Those With Disabilities Served Under IDEA	Percent Two or more races Students Without Disabilities and Those With Disabilities Served Under IDEA	Number of English Language Learners With and Without Disabilities	Percent of English Language Learners With and Without Disabilities	Number of Schools 	State_ID	Region_ID	Division_ID
Corporal punishment on males	"1,095"	69.4	6	0.4	"1,089"	69	6	0.4	30	1.9	548	34.9	141	9	329	20.9	13	0.8	22	1.4	185	11.7	"9,866"	6	4	9
Corporal punishment on females	483	30.6	0	0	483	30.6	DS	0.1	19	1.2	237	15.1	70	4.5	146	9.3	DS	0.1	7	0.4	69	4.4	"9,866"	6	4	9
Corporal punishment total	"1,578"	100	6	0.4	"1,572"	99.6	8	0.5	49	3.1	785	49.9	211	13.4	475	30.2	15	1	29	1.8	254	16.1	"9,866"	6	4	9
One or more in-school suspensions on males	"113,080"	69.7	"1,274"	0.8	"111,806"	68.9	"1,262"	0.8	"4,182"	2.6	"62,140"	38.7	"14,534"	9	"25,954"	16.1	850	0.5	"2,884"	1.8	"25,789"	15.9	"9,866"	6	4	9
One or more in-school suspensions on females	"49,233"	30.3	305	0.2	"48,928"	30.1	593	0.4	"1,362"	0.8	"28,011"	17.4	"7,353"	4.6	"9,792"	6.1	394	0.2	"1,423"	0.9	"9,532"	5.9	"9,866"	6	4	9
One or more in-school suspensions total	"162,313"	100	"1,579"	1	"160,734"	99	"1,855"	1.2	"5,544"	3.4	"90,151"	56.1	"21,887"	13.6	"35,746"	22.2	"1,244"	0.8	"4,307"	2.7	"35,321"	21.8	"9,866"	6	4	9
Only one out-of-school suspension on males	"161,616"	70.4	"1,451"	0.6	"160,165"	69.8	"1,938"	0.9	"7,349"	3.2	"86,444"	38	"21,955"	9.6	"37,653"	16.5	"1,354"	0.6	"3,472"	1.5	"35,531"	15.5	"9,866"	6	4	9
Only one out-of-school suspension on females	"67,927"	29.6	382	0.2	"67,545"	29.4	934	0.4	"2,034"	0.9	"37,494"	16.5	"11,771"	5.2	"13,212"	5.8	613	0.3	"1,487"	0.7	"12,060"	5.3	"9,866"	6	4	9
Only one out-of-school suspension total	"229,543"	100	"1,833"	0.8	"227,710"	99.2	"2,872"	1.3	"9,383"	4.1	"123,938"	54.4	"33,726"	14.8	"50,865"	22.3	"1,967"	0.9	"4,959"	2.2	"47,591"	20.7	"9,866"	6	4	9
More than one out-of-school suspension on males	"99,920"	76.5	"1,078"	0.8	"98,842"	75.7	"1,654"	1.3	"2,551"	2	"51,169"	39.6	"18,396"	14.2	"21,933"	17	749	0.6	"2,390"	1.8	"21,195"	16.2	"9,866"	6	4	9
