Discipline by gender	Number of Students Without Disabilities	Percent of Students Without Disabilities	Number of American Indian or Alaska Native Students Without Disabilities	Percent of American Indian or Alaska Native Students Without Disabilities	Number of Asian Students Without Disabilities	Percent of Asian Students Without Disabilities	Number of Hispanic or Latino of any race Students Without Disabilities	Percent of Hispanic or Latino of any race Students Without Disabilities	Number of Black or African American Students Without Disabilities	Percent of Black or African American Students Without Disabilities	Number of White Students Without Disabilities	Percent of White Students Without Disabilities	Number of Native Hawaiian or Other Pacific Islander Students Without Disabilities	Percent of Native Hawaiian or Other Pacific Islander Students Without Disabilities	Number of Two or more races Students Without Disabilities	Percent of Two or more races Students Without Disabilities	Number of English Language Learners Without Disabilities 	Percent of English Language Learners Without Disabilities 	Number of Schools	State_ID	Region_ID	Division_ID
Corporal punishment on males	898	62.3	DS	0.1	5	0.3	46	3.2	260	18	574	39.8	0	0	11	0.8	21	1.5	"3,626"	26	2	3
Corporal punishment on females	543	37.7	DS	0.1	DS	0.1	25	1.7	230	16	279	19.4	0	0	5	0.3	10	0.7	"3,626"	26	2	3
Corporal punishment total	"1,441"	100	4	0.3	7	0.5	71	4.9	490	34	853	59.2	0	0	16	1.1	31	2.2	"3,626"	26	2	3
One or more in-school suspensions on males	"31,731"	67.6	296	0.6	278	0.6	"1,856"	4	"8,099"	17.3	"20,592"	43.9	16	0	594	1.3	"1,055"	2.2	"3,626"	26	2	3
One or more in-school suspensions on females	"15,201"	32.4	184	0.4	98	0.2	"1,008"	2.1	"5,114"	10.9	"8,458"	18	9	0	330	0.7	367	0.8	"3,626"	26	2	3
One or more in-school suspensions total	"46,932"	100	480	1	376	0.8	"2,864"	6.1	"13,213"	28.2	"29,050"	61.9	25	0.1	924	2	"1,422"	3	"3,626"	26	2	3
Only one out-of-school suspension on males	"36,524"	65	289	0.5	386	0.7	"2,162"	3.8	"14,116"	25.1	"18,779"	33.4	19	0	773	1.4	"1,389"	2.5	"3,626"	26	2	3
Only one out-of-school suspension on females	"19,697"	35	165	0.3	140	0.2	"1,148"	2	"10,239"	18.2	"7,550"	13.4	7	0	448	0.8	475	0.8	"3,626"	26	2	3
Only one out-of-school suspension total	"56,221"	100	454	0.8	526	0.9	"3,310"	5.9	"24,355"	43.3	"26,329"	46.8	26	0	"1,221"	2.2	"1,864"	3.3	"3,626"	26	2	3
More than one out-of-school suspension on males	"32,584"	67.6	253	0.5	180	0.4	"1,743"	3.6	"15,800"	32.8	"13,963"	28.9	8	0	637	1.3	"1,080"	2.2	"3,626"	26	2	3
More than one out-of-school suspension on females	"15,649"	32.4	128	0.3	50	0.1	776	1.6	"9,542"	19.8	"4,837"	10	5	0	311	0.6	260	0.5	"3,626"	26	2	3
More than one out-of-school suspension total	"48,233"	100	381	0.8	230	0.5	"2,519"	5.2	"25,342"	52.5	"18,800"	39	13	0	948	2	"1,340"	2.8	"3,626"	26	2	3
One or more out-of-school suspensions on males	"69,134"	66.2	542	0.5	567	0.5	"3,912"	3.7	"29,920"	28.6	"32,752"	31.4	27	0	"1,414"	1.4	"2,461"	2.4	"3,626"	26	2	3
One or more out-of-school suspensions on females	"35,336"	33.8	294	0.3	187	0.2	"1,924"	1.8	"19,780"	18.9	"12,377"	11.8	12	0	762	0.7	743	0.7	"3,626"	26	2	3
