,2000,2000,,2016,2016,,
,Live,Low,,Live,Low,,2000-2016
County,Births,Birthweight,Percentage,Births,Birthweight,Percentage,Change
,,,,,,,
Adair,68,*,*,77,*,*,*
Adams,35,*,*,38,*,*,*
Allamakee,158,7,4.40%,198,*,*,*
Appanoose,142,8,5.60%,155,11,7.10%,26.00%
Audubon,47,*,*,54,*,*,*
Benton,325,26,8.00%,316,13,4.10%,-48.60%
Black Hawk,"1,551",96,6.20%,"1,669",118,7.10%,14.20%
Boone,317,14,4.40%,301,19,6.30%,42.90%
Bremer,250,13,5.20%,251,14,5.60%,7.30%
Buchanan,301,16,5.30%,296,13,4.40%,-17.40%
Buena Vista,233,12,5.20%,315,17,5.40%,4.80%
Butler,170,9,5.30%,138,7,5.10%,-4.20%
Calhoun,107,8,7.50%,111,10,9.00%,20.50%
Carroll,262,11,4.20%,265,18,6.80%,61.80%
Cass,158,8,5.10%,135,*,*,*
Cedar,206,10,4.90%,167,9,5.40%,11.00%
Cerro Gordo,530,29,5.50%,448,27,6.00%,10.10%
Cherokee,146,10,6.80%,127,13,10.20%,49.40%
Chickasaw,169,11,6.50%,143,7,4.90%,-24.80%
Clarke,97,7,7.20%,120,*,*,*
Clay,204,11,5.40%,183,10,5.50%,1.30%
Clayton,194,10,5.20%,172,10,5.80%,12.80%
Clinton,591,39,6.60%,576,52,9.00%,36.80%
Crawford,189,13,6.90%,254,15,5.90%,-14.10%
Dallas,566,34,6.00%,"1,269",97,7.60%,27.20%
Davis,129,9,7.00%,183,14,7.70%,9.70%
Decatur,101,*,*,92,6,6.50%,*
Delaware,227,20,8.80%,190,11,5.80%,-34.30%
Des Moines,555,44,7.90%,430,28,6.50%,-17.90%
Dickinson,159,10,6.30%,149,8,5.40%,-14.60%
Dubuque,"1,221",62,5.10%,"1,196",102,8.50%,68.00%
Emmet,126,8,6.30%,123,14,11.40%,79.30%
Fayette,233,13,5.60%,212,13,6.10%,9.90%
Floyd,199,8,4.00%,188,9,4.80%,19.10%
Franklin,113,9,8.00%,123,*,*,*
Fremont,82,7,8.50%,79,*,*,*
Greene,92,10,10.90%,117,6,5.10%,-52.80%
Grundy,133,8,6.00%,135,*,*,*
Guthrie,134,6,4.50%,100,6,6.00%,34.00%
Hamilton,192,7,3.60%,203,21,10.30%,183.70%
Hancock,131,10,7.60%,118,*,*,*
Hardin,208,20,9.60%,168,11,6.50%,-31.90%
Harrison,193,16,8.30%,170,12,7.10%,-14.90%
Henry,264,14,5.30%,235,21,8.90%,68.50%
Howard,110,6,5.50%,104,7,6.70%,23.40%
Humboldt,99,6,6.10%,114,*,*,*
Ida,70,6,8.60%,78,*,*,*
Iowa,183,11,6.00%,179,14,7.80%,30.10%
Jackson,239,20,8.40%,217,19,8.80%,4.60%
Jasper,458,27,5.90%,429,30,7.00%,18.60%
Jefferson,145,12,8.30%,144,12,8.30%,0.70%
Johnson,"1,382",74,5.40%,"1,856",126,6.80%,26.80%
Jones,227,15,6.60%,203,17,8.40%,26.70%
Keokuk,154,10,6.50%,111,9,8.10%,24.90%
,Live,Low,,Live,Low,,2000-2016
County,Births,Birthweight,Percentage,Births,Birthweight,Percentage,Change
Kossuth,166,9,5.40%,176,12,6.80%,25.80%
Lee,410,34,8.30%,423,31,7.30%,-11.60%
Linn,"2,715",150,5.50%,"2,790",182,6.50%,18.10%
Louisa,164,16,9.80%,141,6,4.30%,-56.40%
Lucas,119,6,5.00%,101,*,*,*
Lyon,159,*,*,168,9,5.40%,*
Madison,196,15,7.70%,171,14,8.20%,7.00%
Mahaska,283,22,7.80%,258,17,6.60%,-15.20%
Marion,383,26,6.80%,409,34,8.30%,22.50%
Marshall,556,32,5.80%,536,35,6.50%,13.50%
Mills,155,*,*,142,17,12.00%,*
Mitchell,131,*,*,102,*,*,*
Monona,98,7,7.10%,101,*,*,*
Monroe,102,*,*,87,6,6.90%,*
Montgomery,139,7,5.00%,130,*,*,*
Muscatine,638,27,4.20%,539,35,6.50%,53.40%
O'Brien,187,7,3.70%,168,6,3.60%,-4.60%
Osceola,73,*,*,80,*,*,*
Page,169,9,5.30%,162,11,6.80%,27.50%
Palo Alto,110,*,*,105,*,*,*
Plymouth,309,14,4.50%,280,19,6.80%,49.80%
Pocahontas,73,*,*,79,*,*,*
Polk,"6,216",387,6.20%,"6,914",495,7.20%,15.00%
Pottawattamie,"1,184",76,6.40%,"1,199",84,7.00%,9.10%
Poweshiek,212,13,6.10%,164,11,6.70%,9.40%
Ringgold,69,*,*,71,*,*,*
Sac,135,12,8.90%,111,*,*,*
Scott,"2,348",166,7.10%,"2,199",170,7.70%,9.30%
Shelby,150,12,8.00%,109,*,*,*
Sioux,457,16,3.50%,487,27,5.50%,58.40%
Story,940,47,5.00%,944,49,5.20%,3.80%
Tama,251,19,7.60%,191,10,5.20%,-30.80%
Taylor,87,13,14.90%,73,*,*,*
Union,127,7,5.50%,146,*,*,*
Van Buren,97,*,*,97,*,*,*
Wapello,424,36,8.50%,443,34,7.70%,-9.60%
