State	Nation_ID	State_ID	Region_ID	Division_ID	Total IDEA Students	Number of American Indian or Alaska Native	Percent of American Indian or Alaska Native	Number of Asians	Percent of Asians	Number of Hispanic or Latino of any race	Percent of Hispanic or Latino of any race	Number of Black or African American 	Percent of Black or African American 	Number of Whites	Percent of Whites	Number of Native Hawaiian or Other Pacific Islander	Percent of Native Hawaiian or Other Pacific Islander	Number of Two or more races	Percent of Two or more races	Number of English Language Learners	Percent of English Language Learners	Number of Schools
United States	US_National				"14,433"	196	1.4	110	0.8	"1,079"	7.5	"3,150"	21.8	"9,393"	65.1	22	0.2	483	3.3	180	1.2	"95,635"
Alabama		1	3	6	326	0	0	0	0	DS	0.6	83	25.5	233	71.5	DS	0.6	6	1.8	0	0	"1,432"
Alaska		2	4	9	35	8	22.9	0	0	0	0	DS	5.7	19	54.3	DS	5.7	4	11.4	0	0	493
Arizona		4	4	8	138	22	15.9	DS	1.4	31	22.5	15	10.9	66	47.8	0	0	DS	1.4	DS	1.4	"1,920"
Arkansas		5	3	7	46	0	0	0	0	DS	4.3	13	28.3	31	67.4	0	0	0	0	0	0	"1,097"
California		6	4	9	185	DS	1.1	4	2.2	59	31.9	47	25.4	71	38.4	0	0	DS	1.1	12	6.5	"9,866"
Colorado		8	4	8	164	DS	1.2	0	0	46	28	12	7.3	97	59.1	DS	1.2	5	3	17	10.4	"1,811"
Connecticut		9	1	1	534	DS	0.4	4	0.7	97	18.2	133	24.9	277	51.9	0	0	21	3.9	4	0.7	"1,122"
Delaware		10	3	5	25	0	0	DS	8	DS	8	10	40	11	44	0	0	0	0	0	0	232
District of Columbia		11	3	5	DS	0	0	0	0	0	0	DS	100	0	0	0	0	0	0	0	0	211
Florida		12	3	5	801	4	0.5	DS	0.2	24	3	322	40.2	402	50.2	DS	0.2	45	5.6	0	0	"3,886"
Georgia		13	3	5	63	0	0	0	0	DS	3.2	17	27	42	66.7	0	0	DS	3.2	0	0	"2,422"
Hawaii		15	4	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	286
Idaho		16	4	8	123	DS	1.6	0	0	22	17.9	DS	1.6	93	75.6	DS	1.6	DS	1.6	11	8.9	703
Illinois		17	2	3	"1,265"	0	0	11	0.9	81	6.4	374	29.6	756	59.8	DS	0.2	41	3.2	8	0.6	"4,221"
Indiana		18	2	3	884	DS	0.2	7	0.8	22	2.5	173	19.6	643	72.7	DS	0.2	35	4	4	0.5	"1,875"
Iowa		19	2	4	610	DS	0.3	4	0.7	20	3.3	80	13.1	479	78.5	DS	0.3	23	3.8	DS	0.3	"1,458"
Kansas		20	2	4	328	4	1.2	DS	0.6	16	4.9	36	11	241	73.5	0	0	29	8.8	4	1.2	"1,389"
Kentucky		21	3	6	158	0	0	0	0	DS	1.3	26	16.5	124	78.5	0	0	6	3.8	DS	1.3	"1,417"
Louisiana		22	3	7	24	0	0	0	0	0	0	15	62.5	9	37.5	0	0	0	0	0	0	"1,394"
Maine		23	1	1	157	0	0	DS	1.3	DS	1.3	DS	1.3	151	96.2	0	0	0	0	DS	1.3	595
Maryland		24	3	5	165	0	0	DS	1.2	8	4.8	58	35.2	88	53.3	0	0	9	5.5	0	0	"1,444"
Massachusetts		25	1	1	66	0	0	DS	3	DS	3	11	16.7	49	74.2	0	0	DS	3	DS	3	"1,834"
Michigan		26	2	3	"1,040"	17	1.6	DS	0.2	37	3.6	146	14	821	78.9	DS	0.2	15	1.4	4	0.4	"3,626"
Minnesota		27	2	4	747	26	3.5	9	1.2	32	4.3	230	30.8	432	57.8	0	0	18	2.4	7	0.9	"2,077"
Mississippi		28	3	6	40	DS	5	0	0	0	0	17	42.5	21	52.5	0	0	0	0	0	0	973
Missouri		29	2	4	171	DS	1.2	0	0	DS	1.2	18	10.5	149	87.1	0	0	0	0	DS	1.2	"2,312"
Montana		30	4	8	44	5	11.4	0	0	DS	4.5	0	0	35	79.5	0	0	DS	4.5	0	0	781
Nebraska		31	2	4	275	DS	0.7	0	0	17	6.2	32	11.6	210	76.4	0	0	14	5.1	5	1.8	"1,073"
Nevada		32	4	8	29	0	0	0	0	9	31	10	34.5	10	34.5	0	0	0	0	0	0	649
New Hampshire		33	1	1	136	0	0	DS	1.5	4	2.9	DS	1.5	128	94.1	0	0	0	0	DS	1.5	478
New Jersey		34	1	2	231	0	0	DS	0.9	39	16.9	137	59.3	51	22.1	0	0	DS	0.9	0	0	"2,538"
New Mexico		35	4	8	18	DS	11.1	0	0	11	61.1	0	0	5	27.8	0	0	0	0	DS	11.1	853
New York		36	1	2	216	DS	0.9	DS	0.9	15	6.9	51	23.6	139	64.4	0	0	7	3.2	DS	0.9	"4,864"
North Carolina		37	3	5	197	0	0	0	0	4	2	81	41.1	101	51.3	0	0	11	5.6	DS	1	"2,535"
North Dakota		38	2	4	45	DS	4.4	0	0	5	11.1	DS	4.4	34	75.6	0	0	DS	4.4	0	0	468
Ohio		39	2	3	771	DS	0.3	DS	0.3	9	1.2	256	33.2	445	57.7	0	0	57	7.4	DS	0.3	"3,702"
Oklahoma		40	3	7	126	11	8.7	0	0	9	7.1	31	24.6	71	56.3	DS	1.6	DS	1.6	4	3.2	"1,774"
Oregon		41	9	4	346	8	2.3	4	1.2	52	15	24	6.9	247	71.4	0	0	11	3.2	11	3.2	"1,312"
Pennsylvania		42	1	2	123	0	0	0	0	DS	1.6	32	26	87	70.7	0	0	DS	1.6	0	0	"3,220"
Rhode Island		44	1	1	11	0	0	0	0	DS	18.2	DS	18.2	5	45.5	0	0	DS	18.2	0	0	291
South Carolina		45	3	5	187	0	0	DS	1.1	6	3.2	78	41.7	95	50.8	0	0	6	3.2	DS	1.1	"1,219"
South Dakota		46	2	4	27	6	22.2	0	0	0	0	0	0	21	77.8	0	0	0	0	0	0	668
Tennessee		47	3	6	244	0	0	0	0	6	2.5	63	25.8	175	71.7	0	0	0	0	0	0	"1,802"
