Types of crimes,2001,2002,2003,2004,2005,2006,2007,State_ID,Region_ID,Division_ID
Total Arrests,"7,557","6,666","6,729","7,631","7,783","7,809","7,660",10,3,5
Violent Crime Index,371,379,558,479,548,594,580,10,3,5
Murder/nonneg. mans.,0,3,0,2,4,4,3,10,3,5
Rape,34,28,28,20,26,31,34,10,3,5
Robbery,112,112,151,113,170,207,229,10,3,5
Aggravated assault,225,236,379,344,348,352,314,10,3,5
Property Crime Index,"1,864","1,310","1,462","1,498","1,451","1,465","1,583",10,3,5
Burglary,433,285,306,348,312,364,311,10,3,5
Larceny-theft,"1,283",901,"1,036","1,045","1,023",987,"1,190",10,3,5
Motor vehicle theft,111,92,87,74,56,48,48,10,3,5
Arson,37,32,33,31,60,66,34,10,3,5
Other assaults,"1,591","1,384","1,450","1,608","1,708","1,665","1,668",10,3,5
Forgery and counterfeiting,30,14,9,15,14,10,15,10,3,5
Fraud,135,89,114,98,101,115,112,10,3,5
Embezzlement,27,21,19,15,28,21,18,10,3,5
Stolen property,88,126,121,98,101,121,118,10,3,5
Vandalism,513,374,273,346,342,407,400,10,3,5
Weapons,260,197,139,155,142,167,136,10,3,5
Prostitution/<br>commercialized vice,0,0,0,1,0,0,0,10,3,5
Sex offenses (other),13,11,21,16,63,55,42,10,3,5
Drug abuse violations,505,602,745,670,803,832,777,10,3,5
Gambling,0,2,0,2,3,2,1,10,3,5
Offenses against family,2,8,7,2,4,9,4,10,3,5
Driving under influence,0,0,0,0,0,0,0,10,3,5
Liquor laws,383,459,320,511,494,461,459,10,3,5
Drunkenness,7,14,12,31,13,15,23,10,3,5
Disorderly conduct,818,771,742,"1,107","1,124",999,802,10,3,5
Vagrancy,0,0,0,0,0,0,0,10,3,5
All other offenses,843,811,634,870,746,744,727,10,3,5
Curfew and loitering,107,94,103,109,98,126,195,10,3,5
Runaways,0,0,0,0,0,1,0,10,3,5
Population Ages 10 to 17,"89,800","91,300","92,400","93,400","94,500","94,800","94,200",10,3,5
