Types of crimes,2008,2009,2010,2011,2012,2013,2014,State_ID,Region_ID,Division_ID
Total Arrests,"47,603","43,643","38,670","36,211","37,094","26,647","23,795",27,2,4
Violent Crime Index,"1,167","1,113","1,029",951,"1,169",N/A,N/A,27,2,4
Murder/nonneg. mans.,13,3,9,6,8,7,2,27,2,4
Rape,12,109,116,113,104,N/A,N/A,27,2,4
Robbery,409,364,310,336,454,344,347,27,2,4
Aggravated assault,733,637,594,496,603,435,448,27,2,4
Property Crime Index,"10,735","10,421","8,613","8,018","7,855","6,154","5,455",27,2,4
Burglary,"1,016",911,783,678,661,449,408,27,2,4
Larceny-theft,"9,243","9,107","7,501","7,041","6,752","5,485","4,790",27,2,4
Motor vehicle theft,377,288,229,207,343,180,236,27,2,4
Arson,99,115,100,92,99,40,21,27,2,4
Other assaults,"3,800","3,392","3,279","3,058","3,102","2,580","2,355",27,2,4
Forgery and counterfeiting,72,66,43,53,44,26,29,27,2,4
Fraud,205,188,197,150,156,136,123,27,2,4
Embezzlement,10,6,2,2,3,4,2,27,2,4
Stolen property,410,520,436,414,360,351,283,27,2,4
Vandalism,"2,015","1,725","1,401","1,334","1,344","1,015",992,27,2,4
Weapons,812,630,526,505,602,421,406,27,2,4
Prostitution/<br>commercialized vice,45,30,13,21,5,6,4,27,2,4
Sex offenses (other),311,261,273,251,288,N/A,N/A,27,2,4
Drug abuse violations,"2,898","2,814","2,847","3,146","3,021","2,692","2,548",27,2,4
Gambling,4,0,0,0,6,2,0,27,2,4
Offenses against family,37,28,14,23,30,11,8,27,2,4
Driving under influence,539,401,310,286,262,203,195,27,2,4
Liquor laws,"6,572","5,816","4,287","4,390","4,143","2,785","2,557",27,2,4
Drunkenness,0,0,0,0,0,0,0,27,2,4
Disorderly conduct,"4,479","3,678","3,906","4,309","3,535","2,604","2,420",27,2,4
Vagrancy,14,8,23,44,29,23,7,27,2,4
All other offenses,"5,956","5,369","5,027","4,709","4,773","3,344","3,111",27,2,4
Curfew and loitering,"3,922","3,054","2,091","2,597","4,458","2,150","1,197",27,2,4
Runaways,"3,600","4,123","4,353","1,950","1,909","1,102","1,025",27,2,4
Population Ages 10 to 17,"578,700","574,400","571,700","569,700","567,000","571,400","575,300",27,2,4
