,2000,2000,,2012-16,2012-16,,
,Age 3-4,,,Age 3-4,,,2000-2012-16
County,Population,Preschool,Percentage,Population,Preschool,Percentage,Change
Adair,157,63,40.10%,158,78,49.40%,23.00%
Adams,112,58,51.80%,111,75,67.60%,30.50%
Allamakee,320,99,30.90%,362,178,49.20%,58.90%
Appanoose,297,123,41.40%,281,136,48.40%,16.90%
Audubon,178,57,32.00%,118,69,58.50%,82.60%
Benton,668,361,54.00%,571,310,54.30%,0.50%
Black Hawk,"3,126","1,545",49.40%,"3,456","1,486",43.00%,-13.00%
Boone,648,289,44.60%,541,250,46.20%,3.60%
Bremer,575,324,56.30%,628,377,60.00%,6.50%
Buchanan,545,223,40.90%,578,270,46.70%,14.20%
Buena Vista,464,182,39.20%,720,287,39.90%,1.60%
Butler,357,157,44.00%,425,205,48.20%,9.70%
Calhoun,244,76,31.10%,210,99,47.10%,51.40%
Carroll,520,218,41.90%,593,298,50.30%,19.90%
Cass,290,158,54.50%,329,141,42.90%,-21.30%
Cedar,485,228,47.00%,434,196,45.20%,-3.90%
Cerro Gordo,"1,199",549,45.80%,974,515,52.90%,15.50%
Cherokee,272,108,39.70%,315,137,43.50%,9.50%
Chickasaw,310,121,39.00%,276,137,49.60%,27.20%
Clarke,272,103,37.90%,287,81,28.20%,-25.50%
Clay,471,280,59.40%,493,295,59.80%,0.70%
Clayton,398,127,31.90%,463,239,51.60%,61.80%
Clinton,"1,287",646,50.20%,"1,188",672,56.60%,12.70%
Crawford,467,177,37.90%,614,305,49.70%,31.10%
Dallas,"1,260",561,44.50%,"2,541","1,283",50.50%,13.40%
Davis,245,69,28.20%,237,66,27.80%,-1.10%
Decatur,211,97,46.00%,215,105,48.80%,6.20%
Delaware,510,239,46.90%,479,284,59.30%,26.50%
Des Moines,"1,022",400,39.10%,"1,001",408,40.80%,4.10%
Dickinson,324,133,41.00%,419,236,56.30%,37.20%
Dubuque,"2,510","1,192",47.50%,"2,364","1,420",60.10%,26.50%
Emmet,228,83,36.40%,240,113,47.10%,29.30%
Fayette,514,260,50.60%,413,168,40.70%,-19.60%
Floyd,440,194,44.10%,409,121,29.60%,-32.90%
Franklin,284,118,41.50%,194,112,57.70%,38.90%
Fremont,179,78,43.60%,184,93,50.50%,16.00%
Greene,296,99,33.40%,175,112,64.00%,91.40%
Grundy,275,132,48.00%,272,145,53.30%,11.10%
Guthrie,227,76,33.50%,259,142,54.80%,63.80%
Hamilton,408,203,49.80%,406,145,35.70%,-28.20%
Hancock,280,101,36.10%,172,96,55.80%,54.70%
Hardin,422,198,46.90%,292,183,62.70%,33.60%
Harrison,363,154,42.40%,363,176,48.50%,14.30%
