Types of crimes,2008,2009,2010,2011,2012,2013,2014,State_ID,Region_ID,Division_ID
Total Arrests,"7,313","6,697","5,271","4,911","4,598","4,199","4,175",10,3,5
Violent Crime Index,596,507,348,373,358,N/A,N/A,10,3,5
Murder/nonneg. mans.,4,3,4,2,1,0,4,10,3,5
Rape,26,23,16,8,8,N/A,N/A,10,3,5
Robbery,212,179,112,128,134,114,148,10,3,5
Aggravated assault,354,302,216,235,215,217,179,10,3,5
Property Crime Index,"1,644","1,656","1,360","1,219","1,146",930,936,10,3,5
Burglary,309,290,280,166,223,142,192,10,3,5
Larceny-theft,"1,260","1,294","1,026","1,004",871,756,707,10,3,5
Motor vehicle theft,37,41,43,31,32,20,24,10,3,5
Arson,38,31,11,18,20,12,13,10,3,5
Other assaults,"1,620","1,460","1,220","1,222","1,140","1,095","1,109",10,3,5
Forgery and counterfeiting,8,5,4,10,3,2,4,10,3,5
Fraud,134,106,63,63,92,54,59,10,3,5
Embezzlement,13,4,3,3,3,0,1,10,3,5
Stolen property,157,83,90,77,54,51,59,10,3,5
Vandalism,330,337,244,188,187,178,147,10,3,5
Weapons,155,138,119,92,69,81,117,10,3,5
Prostitution/<br>commercialized vice,1,0,0,0,1,0,0,10,3,5
Sex offenses (other),47,53,50,47,53,N/A,N/A,10,3,5
Drug abuse violations,709,671,596,501,506,487,458,10,3,5
Gambling,1,1,0,1,0,0,1,10,3,5
Offenses against family,3,4,1,3,0,2,1,10,3,5
Driving under influence,0,0,0,0,0,1,3,10,3,5
Liquor laws,466,341,235,242,226,164,147,10,3,5
Drunkenness,29,15,15,11,14,9,4,10,3,5
Disorderly conduct,643,543,420,313,257,306,306,10,3,5
Vagrancy,0,0,0,0,0,0,0,10,3,5
All other offenses,653,584,395,438,407,394,382,10,3,5
Curfew and loitering,104,189,108,108,82,58,65,10,3,5
Runaways,0,0,0,0,0,0,0,10,3,5
Population Ages 10 to 17,"93,400","93,200","93,000","92,600","91,800","92,600","93,600",10,3,5
