State	Nation_ID	State_ID	Region_ID	Division_ID	Total Female Students	Number of American Indian or Alaska Native	Percent of American Indian or Alaska Native	Number of Asians	Percent of Asians	Number of Hispanic or Latino of any race	Percent of Hispanic or Latino of any race	Number of Black or African American 	Percent of Black or African American	Number of Whites	Percent of Whites	Number of Native Hawaiian or Other Pacific Islander	Percent of Native Hawaiian or Other Pacific Islander	Number of Two or more races	Percent of Two or more races	Number of Students With Disabilities Served Under IDEA	Percent of Students With Disabilities Served Under IDEA	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of English Language Learners	Percent of English Language Learners	Number of Schools
United States	US_National				"52,305"	686	1.3	"2,422"	4.6	"16,267"	31.1	"14,395"	27.5	"17,013"	32.5	221	0.4	"1,301"	2.5	"6,439"	12.3	752	1.4	"5,691"	10.9	"24,812"
Alabama		1	3	6	720	5	0.7	DS	0.3	29	4	476	66.1	201	27.9	DS	0.3	5	0.7	61	8.5	4	0.6	16	2.2	433
Alaska		2	4	9	191	48	25.1	8	4.2	21	11	11	5.8	70	36.6	10	5.2	23	12	16	8.4	0	0	27	14.1	273
Arizona		4	4	8	"1,682"	102	6.1	11	0.7	656	39	69	4.1	705	41.9	8	0.5	131	7.8	118	7	20	1.2	47	2.8	521
Arkansas		5	3	7	"1,041"	DS	0.2	19	1.8	82	7.9	683	65.6	242	23.2	6	0.6	7	0.7	78	7.5	16	1.5	54	5.2	299
California		6	4	9	"7,049"	52	0.7	"1,364"	19.4	"3,942"	55.9	596	8.5	935	13.3	58	0.8	102	1.4	610	8.7	37	0.5	"2,408"	34.2	"2,511"
Colorado		8	4	8	511	6	1.2	5	1	348	68.1	49	9.6	90	17.6	0	0	13	2.5	44	8.6	DS	0.4	114	22.3	454
Connecticut		9	1	1	485	DS	0.4	DS	0.4	160	33	120	24.7	194	40	0	0	7	1.4	45	9.3	13	2.7	50	10.3	243
Delaware		10	3	5	168	DS	1.2	DS	1.2	11	6.5	77	45.8	74	44	0	0	DS	1.2	16	9.5	DS	1.2	DS	1.2	65
District of Columbia		11	3	5	109	0	0	DS	1.8	10	9.2	95	87.2	0	0	0	0	DS	1.8	8	7.3	DS	1.8	5	4.6	39
Florida		12	3	5	"4,296"	19	0.4	57	1.3	"1,106"	25.7	"1,398"	32.5	"1,600"	37.2	DS	0	114	2.7	487	11.3	64	1.5	340	7.9	"1,098"
Georgia		13	3	5	"2,339"	8	0.3	48	2.1	225	9.6	"1,336"	57.1	653	27.9	DS	0.1	67	2.9	230	9.8	12	0.5	71	3	570
Hawaii		15	4	9	22	DS	9.1	DS	9.1	DS	9.1	DS	9.1	5	22.7	9	40.9	0	0	DS	9.1	DS	9.1	0	0	64
Idaho		16	4	8	115	DS	1.7	0	0	13	11.3	DS	1.7	98	85.2	0	0	0	0	6	5.2	4	3.5	0	0	218
Illinois		17	2	3	"2,113"	10	0.5	49	2.3	624	29.5	739	35	647	30.6	0	0	44	2.1	343	16.2	25	1.2	79	3.7	884
Indiana		18	2	3	251	DS	0.8	4	1.6	16	6.4	69	27.5	154	61.4	0	0	6	2.4	70	27.9	DS	0.8	12	4.8	422
Iowa		19	2	4	254	6	2.4	DS	0.8	35	13.8	39	15.4	163	64.2	DS	0.8	7	2.8	24	9.4	0	0	9	3.5	407
Kansas		20	2	4	118	DS	1.7	DS	1.7	20	16.9	20	16.9	69	58.5	0	0	5	4.2	16	13.6	DS	1.7	5	4.2	382
Kentucky		21	3	6	474	DS	0.4	DS	0.4	11	2.3	120	25.3	331	69.8	DS	0.4	6	1.3	34	7.2	7	1.5	12	2.5	398
Louisiana		22	3	7	565	10	1.8	11	1.9	23	4.1	335	59.3	182	32.2	DS	0.4	DS	0.4	46	8.1	11	1.9	16	2.8	378
Maine		23	1	1	57	DS	3.5	DS	3.5	0	0	0	0	51	89.5	0	0	DS	3.5	9	15.8	DS	3.5	DS	3.5	129
Maryland		24	3	5	"1,620"	4	0.2	77	4.8	243	15	905	55.9	343	21.2	5	0.3	43	2.7	234	14.4	42	2.6	96	5.9	284
Massachusetts		25	1	1	701	DS	0.3	33	4.7	217	31	121	17.3	297	42.4	DS	0.3	29	4.1	161	23	24	3.4	88	12.6	381
Michigan		26	2	3	"1,522"	15	1	13	0.9	116	7.6	465	30.6	865	56.8	DS	0.1	46	3	214	14.1	17	1.1	43	2.8	"1,073"
Minnesota		27	2	4	426	12	2.8	14	3.3	37	8.7	42	9.9	313	73.5	0	0	8	1.9	54	12.7	DS	0.5	10	2.3	764
Mississippi		28	3	6	481	0	0	DS	0.4	14	2.9	311	64.7	154	32	0	0	0	0	20	4.2	DS	0.4	5	1	320
Missouri		29	2	4	417	DS	0.5	9	2.2	36	8.6	147	35.3	221	53	0	0	DS	0.5	51	12.2	5	1.2	14	3.4	683
Montana		30	4	8	31	15	48.4	0	0	DS	6.5	0	0	14	45.2	0	0	0	0	4	12.9	DS	6.5	0	0	169
