Discipline by gender	Number of Students Without Disabilities	Percent of Students Without Disabilities	Number of American Indian or Alaska Native Students Without Disabilities	Percent of American Indian or Alaska Native Students Without Disabilities	Number of Asian Students Without Disabilities	Percent of Asian Students Without Disabilities	Number Hispanic or Latino of any race Students Without Disabilities	Percent of Hispanic or Latino of any race Students Without Disabilities	Number of Black or African American Students Without Disabilities	Percent of Black or African American Students Without Disabilities	Number of White Students Without Disabilities	Percent of White Students Without Disabilities	Number of Native Hawaiian or other Pacific Islander Students Without Disabilities	Percent of Native Hawaiian or other Pacific Islander Students Without Disabilities	Number of Two or more races Students Without Disabilities	Percent of Two or more races Students Without Disabilities	Number of English Language Learners Without Disabilities 	Percent of English Language Learners Without Disabilities 	Number of Schools 	State_ID	Region_ID	Division_ID
Corporal punishment on males	875	67.9	DS	0.2	30	2.3	418	32.5	114	8.9	280	21.7	11	0.9	20	1.6	142	11	"9,866"	6	4	9
Corporal punishment on females	413	32.1	DS	0.2	17	1.3	194	15.1	60	4.7	131	10.2	DS	0.2	7	0.5	54	4.2	"9,866"	6	4	9
Corporal punishment total	"1,288"	100	4	0.3	47	3.6	612	47.5	174	13.5	411	31.9	13	1	27	2.1	196	15.2	"9,866"	6	4	9
One or more in-school suspensions on males	"88,556"	67.6	963	0.7	"3,651"	2.8	"50,249"	38.3	"10,661"	8.1	"20,032"	15.3	734	0.6	"2,266"	1.7	"19,491"	14.9	"9,866"	6	4	9
One or more in-school suspensions on females	"42,501"	32.4	501	0.4	"1,256"	1	"24,758"	18.9	"6,103"	4.7	"8,291"	6.3	351	0.3	"1,241"	0.9	"7,885"	6	"9,866"	6	4	9
One or more in-school suspensions total	"131,057"	100	"1,464"	1.1	"4,907"	3.7	"75,007"	57.2	"16,764"	12.8	"28,323"	21.6	"1,085"	0.8	"3,507"	2.7	"27,376"	20.9	"9,866"	6	4	9
Only one out-of-school suspension on males	"129,225"	68.5	"1,473"	0.8	"6,429"	3.4	"70,877"	37.6	"17,091"	9.1	"29,428"	15.6	"1,174"	0.6	"2,753"	1.5	"27,492"	14.6	"9,866"	6	4	9
Only one out-of-school suspension on females	"59,305"	31.5	792	0.4	"1,886"	1	"33,355"	17.7	"10,109"	5.4	"11,316"	6	558	0.3	"1,289"	0.7	"10,135"	5.4	"9,866"	6	4	9
Only one out-of-school suspension total	"188,530"	100	"2,265"	1.2	"8,315"	4.4	"104,232"	55.3	"27,200"	14.4	"40,744"	21.6	"1,732"	0.9	"4,042"	2.1	"37,627"	20	"9,866"	6	4	9
More than one out-of-school suspension on males	"72,901"	74.2	"1,196"	1.2	"2,055"	2.1	"39,320"	40	"12,775"	13	"15,280"	15.5	602	0.6	"1,673"	1.7	"15,376"	15.6	"9,866"	6	4	9
More than one out-of-school suspension on females	"25,401"	25.8	470	0.5	439	0.4	"13,148"	13.4	"6,050"	6.2	"4,437"	4.5	252	0.3	605	0.6	"4,120"	4.2	"9,866"	6	4	9
More than one out-of-school suspension total	"98,302"	100	"1,666"	1.7	"2,494"	2.5	"52,468"	53.4	"18,825"	19.2	"19,717"	20.1	854	0.9	"2,278"	2.3	"19,496"	19.8	"9,866"	6	4	9
One or more out-of-school suspensions on males	"202,132"	70.5	"2,662"	0.9	"8,487"	3	"110,174"	38.4	"29,863"	10.4	"44,734"	15.6	"1,779"	0.6	"4,433"	1.5	"42,859"	14.9	"9,866"	6	4	9
One or more out-of-school suspensions on females	"84,700"	29.5	"1,267"	0.4	"2,331"	0.8	"46,502"	16.2	"16,165"	5.6	"15,728"	5.5	810	0.3	"1,897"	0.7	"14,258"	5	"9,866"	6	4	9
One or more out-of-school suspensions total	"286,832"	100	"3,929"	1.4	"10,818"	3.8	"156,676"	54.6	"46,028"	16	"60,462"	21.1	"2,589"	0.9	"6,330"	2.2	"57,117"	19.9	"9,866"	6	4	9
Expulsions with educational services on males	"8,135"	77.7	131	1.3	339	3.2	"4,256"	40.7	"1,135"	10.8	"2,010"	19.2	81	0.8	183	1.7	"1,464"	14	"9,866"	6	4	9
Expulsions with educational services on females	"2,333"	22.3	45	0.4	94	0.9	"1,152"	11	452	4.3	520	5	14	0.1	56	0.5	310	3	"9,866"	6	4	9
Expulsions with educational services total	"10,468"	100	176	1.7	433	4.1	"5,408"	51.7	"1,587"	15.2	"2,530"	24.2	95	0.9	239	2.3	"1,774"	16.9	"9,866"	6	4	9
Expulsions without educational services on males	"1,833"	80.4	23	1	57	2.5	991	43.4	234	10.3	453	19.9	8	0.4	67	2.9	331	14.5	"9,866"	6	4	9
Expulsions without educational services on females	448	19.6	8	0.4	7	0.3	225	9.9	60	2.6	125	5.5	9	0.4	14	0.6	65	2.8	"9,866"	6	4	9
Expulsions without educational services total	"2,281"	100	31	1.4	64	2.8	"1,216"	53.3	294	12.9	578	25.3	17	0.7	81	3.6	396	17.4	"9,866"	6	4	9
Expulsions with or without educational services on males	"9,967"	78.2	155	1.2	396	3.1	"5,240"	41.1	"1,374"	10.8	"2,461"	19.3	89	0.7	252	2	"1,786"	14	"9,866"	6	4	9
Expulsions with or without educational services on females	"2,780"	21.8	54	0.4	100	0.8	"1,375"	10.8	510	4	647	5.1	23	0.2	71	0.6	374	2.9	"9,866"	6	4	9
Expulsions with or without educational services total	"12,747"	100	209	1.6	496	3.9	"6,615"	51.9	"1,884"	14.8	"3,108"	24.4	112	0.9	323	2.5	"2,160"	16.9	"9,866"	6	4	9
Expulsions under zero-tolerance policies on males	"2,050"	80.4	21	0.8	91	3.6	977	38.3	221	8.7	630	24.7	24	0.9	86	3.4	302	11.8	"9,866"	6	4	9
Expulsions under zero-tolerance policies on females	499	19.6	6	0.2	9	0.4	216	8.5	67	2.6	176	6.9	4	0.2	21	0.8	53	2.1	"9,866"	6	4	9
Expulsions under zero-tolerance policies total	"2,549"	100	27	1.1	100	3.9	"1,193"	46.8	288	11.3	806	31.6	28	1.1	107	4.2	355	13.9	"9,866"	6	4	9
Referral to law enforcement on males	"17,818"	70.2	264	1	876	3.5	"10,747"	42.3	"2,106"	8.3	"3,424"	13.5	138	0.5	263	1	"4,023"	15.8	"9,866"	6	4	9
Referral to law enforcement on females	"7,571"	29.8	113	0.4	254	1	"4,588"	18.1	"1,137"	4.5	"1,291"	5.1	58	0.2	130	0.5	"1,303"	5.1	"9,866"	6	4	9
