,"Number and percentage of public school male students retained in grade 10, by race/ethnicity, disability status, and English proficiency, by state: School Year 2013-14",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,State,Total Students,Race/Ethnicity,,,,,,,,,,,,,,Students With Disabilities Served Under IDEA,,Students With Disabilities Served Only Under Section 504,,English Language Learners,,Number of Schools,Percent of Schools Reporting 
,,,"American Indian or
Alaska Native",,Asian,,Hispanic or Latino of any race,,Black or African American,,White,,Native Hawaiian or Other Pacific Islander,,Two or more races,,,,,,,,,
,,,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent,Number,Percent,Number,Percent,,
Retained in grade 10,United States,"86,705 ",965 ,1.1 ,"1,912 ",2.2 ,"26,082 ",30.1 ,"28,625 ",33.0 ,"26,954 ",31.1 ,424 ,0.5 ,"1,743 ",2.0 ,"17,479 ",20.2 ,"2,677 ",3.1 ,"8,239 ",9.5 ,"8,804 ",100.0 
Retained in grade 10,Alabama,"2,014 ",15 ,0.7 ,11 ,0.5 ,83 ,4.1 ,"1,092 ",54.2 ,784 ,38.9 ,1 to 3,0.1 ,26 ,1.3 ,296 ,14.7 ,28 ,1.4 ,46 ,2.3 ,236 ,100.0 
Retained in grade 10,Alaska,35 ,30 ,85.7 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,1 to 3,8.6 ,1 to 3,5.7 ,0 ,0.0 ,1 to 3,8.6 ,0 ,0.0 ,14 ,40.0 ,48 ,100.0 
Retained in grade 10,Arizona,"2,023 ",106 ,5.2 ,22 ,1.1 ,"1,353 ",66.9 ,191 ,9.4 ,335 ,16.6 ,1 to 3,0.1 ,13 ,0.6 ,341 ,16.9 ,27 ,1.3 ,132 ,6.5 ,69 ,100.0 
Retained in grade 10,Arkansas,494 ,0 ,0.0 ,4 ,0.8 ,59 ,11.9 ,215 ,43.5 ,197 ,39.9 ,11 ,2.2 ,8 ,1.6 ,48 ,9.7 ,15 ,3.0 ,55 ,11.1 ,93 ,100.0 
Retained in grade 10,California,"5,054 ",38 ,0.8 ,189 ,3.7 ,"3,496 ",69.2 ,523 ,10.3 ,669 ,13.2 ,54 ,1.1 ,85 ,1.7 ,726 ,14.4 ,67 ,1.3 ,"1,254 ",24.8 ,432 ,100.0 
Retained in grade 10,Colorado,580 ,4 ,0.7 ,11 ,1.9 ,366 ,63.1 ,78 ,13.4 ,112 ,19.3 ,1 to 3,0.3 ,7 ,1.2 ,91 ,15.7 ,6 ,1.0 ,160 ,27.6 ,115 ,100.0 
Retained in grade 10,Connecticut,938 ,1 to 3,0.2 ,23 ,2.5 ,332 ,35.4 ,260 ,27.7 ,307 ,32.7 ,0 ,0.0 ,14 ,1.5 ,191 ,20.4 ,38 ,4.1 ,83 ,8.8 ,122 ,100.0 
Retained in grade 10,Delaware,354 ,0 ,0.0 ,1 to 3,0.6 ,49 ,13.8 ,189 ,53.4 ,107 ,30.2 ,0 ,0.0 ,7 ,2.0 ,89 ,25.1 ,12 ,3.4 ,8 ,2.3 ,30 ,100.0 
Retained in grade 10,District of Columbia,142 ,0 ,0.0 ,0 ,0.0 ,21 ,14.8 ,116 ,81.7 ,5 ,3.5 ,0 ,0.0 ,0 ,0.0 ,36 ,25.4 ,4 ,2.8 ,12 ,8.5 ,25 ,100.0 
Retained in grade 10,Florida,"6,209 ",38 ,0.6 ,64 ,1.0 ,"1,684 ",27.1 ,"1,886 ",30.4 ,"2,365 ",38.1 ,8 ,0.1 ,164 ,2.6 ,"1,534 ",24.7 ,277 ,4.5 ,502 ,8.1 ,345 ,100.0 
Retained in grade 10,Georgia,"7,448 ",24 ,0.3 ,158 ,2.1 ,"1,080 ",14.5 ,"3,866 ",51.9 ,"2,125 ",28.5 ,10 ,0.1 ,185 ,2.5 ,"1,194 ",16.0 ,292 ,3.9 ,380 ,5.1 ,435 ,100.0 
Retained in grade 10,Hawaii,481 ,6 ,1.2 ,134 ,27.9 ,41 ,8.5 ,5 ,1.0 ,44 ,9.1 ,214 ,44.5 ,37 ,7.7 ,111 ,23.1 ,14 ,2.9 ,69 ,14.3 ,52 ,100.0 
Retained in grade 10,Idaho,160 ,4 ,2.5 ,1 to 3,1.9 ,40 ,25.0 ,1 to 3,1.9 ,110 ,68.8 ,0 ,0.0 ,0 ,0.0 ,7 ,4.4 ,10 ,6.3 ,19 ,11.9 ,32 ,100.0 
Retained in grade 10,Illinois,"4,047 ",12 ,0.3 ,66 ,1.6 ,"1,394 ",34.4 ,"1,429 ",35.3 ,"1,069 ",26.4 ,1 to 3,0.1 ,74 ,1.8 ,839 ,20.7 ,91 ,2.2 ,291 ,7.2 ,375 ,99.5 
Retained in grade 10,Indiana,225 ,0 ,0.0 ,1 to 3,0.9 ,37 ,16.4 ,60 ,26.7 ,116 ,51.6 ,0 ,0.0 ,10 ,4.4 ,50 ,22.2 ,1 to 3,0.9 ,4 ,1.8 ,50 ,100.0 
Retained in grade 10,Iowa,172 ,0 ,0.0 ,1 to 3,1.7 ,15 ,8.7 ,30 ,17.4 ,114 ,66.3 ,1 to 3,1.7 ,7 ,4.1 ,33 ,19.2 ,10 ,5.8 ,6 ,3.5 ,40 ,100.0 
Retained in grade 10,Kansas,355 ,9 ,2.5 ,8 ,2.3 ,103 ,29.0 ,73 ,20.6 ,145 ,40.8 ,1 to 3,0.6 ,15 ,4.2 ,64 ,18.0 ,4 ,1.1 ,65 ,18.3 ,63 ,100.0 
Retained in grade 10,Kentucky,"1,089 ",1 to 3,0.2 ,10 ,0.9 ,72 ,6.6 ,316 ,29.0 ,660 ,60.6 ,1 to 3,0.2 ,27 ,2.5 ,168 ,15.4 ,9 ,0.8 ,26 ,2.4 ,178 ,100.0 
Retained in grade 10,Louisiana,"1,390 ",4 ,0.3 ,1 to 3,0.2 ,64 ,4.6 ,808 ,58.1 ,501 ,36.0 ,0 ,0.0 ,10 ,0.7 ,254 ,18.3 ,114 ,8.2 ,39 ,2.8 ,196 ,100.0 
Retained in grade 10,Maine,72 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,1 to 3,4.2 ,66 ,91.7 ,0 ,0.0 ,1 to 3,4.2 ,16 ,22.2 ,4 ,5.6 ,1 to 3,4.2 ,17 ,100.0 
Retained in grade 10,Maryland,"3,002 ",6 ,0.2 ,61 ,2.0 ,669 ,22.3 ,"1,669 ",55.6 ,523 ,17.4 ,4 ,0.1 ,70 ,2.3 ,703 ,23.4 ,122 ,4.1 ,198 ,6.6 ,204 ,100.0 
Retained in grade 10,Massachusetts,"1,233 ",4 ,0.3 ,41 ,3.3 ,381 ,30.9 ,218 ,17.7 ,555 ,45.0 ,1 to 3,0.2 ,31 ,2.5 ,325 ,26.4 ,70 ,5.7 ,168 ,13.6 ,208 ,100.0 
Retained in grade 10,Michigan,"3,201 ",30 ,0.9 ,33 ,1.0 ,273 ,8.5 ,"1,059 ",33.1 ,"1,725 ",53.9 ,0 ,0.0 ,81 ,2.5 ,621 ,19.4 ,41 ,1.3 ,259 ,8.1 ,384 ,100.0 
Retained in grade 10,Minnesota,365 ,10 ,2.7 ,17 ,4.7 ,52 ,14.2 ,68 ,18.6 ,212 ,58.1 ,1 to 3,0.5 ,4 ,1.1 ,71 ,19.5 ,1 to 3,0.8 ,29 ,7.9 ,72 ,100.0 
