Discipline by gender	Number of Students Without Disabilities	Percent of Students Without Disabilities	Number of American Indian or Alaska Native Students Without Disabilities	Percent of American Indian or Alaska Native Students Without Disabilities	Number of Asian Students Without Disabilities	Percent of Asian Students Without Disabilities	Number of Hispanic or Latino of any race Students Without Disabilities	Percent of Hispanic or Latino of any race Students Without Disabilities	Number of Black or African American Students Without Disabilities	Percent of Black or African American Students Without Disabilities	Number of White Students Without Disabilities	Percent of White Students Without Disabilities	Number of Native Hawaiian or Other Pacific Islander Students Without Disabilities	Percent of Native Hawaiian or Other Pacific Islander Students Without Disabilities	Number of Two or more races Students Without Disabilities	Percent of Two or more races Students Without Disabilities	Number of English Language Learners Without Disabilities 	Percent of English Language Learners Without Disabilities 	Number of Schools	State_ID	Region_ID	Division_ID
Corporal punishment on males	113	69.3	DS	1.2	DS	1.2	4	2.5	14	8.6	91	55.8	0	0	0	0	DS	1.2	"2,077"	27	2	4
Corporal punishment on females	50	30.7	0	0	0	0	DS	1.2	10	6.1	38	23.3	0	0	0	0	0	0	"2,077"	27	2	4
Corporal punishment total	163	100	DS	1.2	DS	1.2	6	3.7	24	14.7	129	79.1	0	0	0	0	DS	1.2	"2,077"	27	2	4
One or more in-school suspensions on males	"14,799"	67.2	531	2.4	482	2.2	"1,471"	6.7	"3,547"	16.1	"8,391"	38.1	20	0.1	357	1.6	"1,276"	5.8	"2,077"	27	2	4
One or more in-school suspensions on females	"7,210"	32.8	366	1.7	205	0.9	746	3.4	"2,261"	10.3	"3,404"	15.5	4	0	224	1	586	2.7	"2,077"	27	2	4
One or more in-school suspensions total	"22,009"	100	897	4.1	687	3.1	"2,217"	10.1	"5,808"	26.4	"11,795"	53.6	24	0.1	581	2.6	"1,862"	8.5	"2,077"	27	2	4
Only one out-of-school suspension on males	"9,081"	67.3	361	2.7	339	2.5	916	6.8	"2,755"	20.4	"4,526"	33.6	8	0.1	176	1.3	758	5.6	"2,077"	27	2	4
Only one out-of-school suspension on females	"4,409"	32.7	260	1.9	129	1	485	3.6	"1,696"	12.6	"1,703"	12.6	DS	0	134	1	271	2	"2,077"	27	2	4
Only one out-of-school suspension total	"13,490"	100	621	4.6	468	3.5	"1,401"	10.4	"4,451"	33	"6,229"	46.2	10	0.1	310	2.3	"1,029"	7.6	"2,077"	27	2	4
More than one out-of-school suspension on males	"4,637"	67.7	247	3.6	184	2.7	460	6.7	"1,712"	25	"1,942"	28.4	DS	0	90	1.3	364	5.3	"2,077"	27	2	4
More than one out-of-school suspension on females	"2,212"	32.3	199	2.9	65	0.9	201	2.9	964	14.1	726	10.6	DS	0	55	0.8	147	2.1	"2,077"	27	2	4
