,"Number and percentage of public school students absent 15 or more school days during the school year, by race/ethnicity, disability status, and ELL status",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,State,Total Students,Race/Ethnicity,,,,,,,,,,,,,,Students With Disabilities Served Under IDEA,,Students With Disabilities Served Only Under Section 504,,English Language Learners,,Number of Schools,Percent of Schools Reporting 
,,,"American Indian or
Alaska Native",,Asian,,Hispanic or Latino of any race,,Black or African American,,White,,Native Hawaiian or Other Pacific Islander,,Two or more races,,,,,,,,,
,,`,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent,Number,Percent,Number,Percent,,
"reported to have been harassed or bullied on the basis of race, color or national origin",United States,"6,731,214 ","110,372 ",1.6 ,"153,860 ",2.3 ,"1,709,892 ",25.4 ,"1,333,089 ",19.8 ,"3,159,685 ",46.9 ,"39,506 ",0.6 ,"224,810 ",3.3 ,"1,131,813 ",16.8 ,"153,346 ",2.3 ,"534,739 ",7.9 ,"95,507 ",99.9 
"reported to have been harassed or bullied on the basis of race, color or national origin",Alabama,"91,696 ",992 ,1.1 ,448 ,0.5 ,"3,123 ",3.4 ,"28,120 ",30.7 ,"57,232 ",62.4 ,46 ,0.1 ,"1,735 ",1.9 ,"10,780 ",11.8 ,922 ,1.0 ,"1,709 ",1.9 ,"1,397 ",100.0 
"reported to have been harassed or bullied on the basis of race, color or national origin",Alaska,"29,376 ","9,501 ",32.3 ,"1,231 ",4.2 ,"1,929 ",6.6 ,843 ,2.9 ,"12,152 ",41.4 ,"1,052 ",3.6 ,"2,668 ",9.1 ,"4,876 ",16.6 ,378 ,1.3 ,"4,444 ",15.1 ,495 ,100.0 
"reported to have been harassed or bullied on the basis of race, color or national origin",Arizona,"178,878 ","13,168 ",7.4 ,"2,300 ",1.3 ,"82,083 ",45.9 ,"9,119 ",5.1 ,"67,696 ",37.8 ,695 ,0.4 ,"3,817 ",2.1 ,"23,810 ",13.3 ,"2,701 ",1.5 ,"13,184 ",7.4 ,"1,913 ",100.0 
"reported to have been harassed or bullied on the basis of race, color or national origin",Arkansas,"54,783 ",472 ,0.9 ,434 ,0.8 ,"5,536 ",10.1 ,"12,692 ",23.2 ,"34,057 ",62.2 ,681 ,1.2 ,911 ,1.7 ,"6,595 ",12.0 ,"1,717 ",3.1 ,"3,891 ",7.1 ,"1,085 ",100.0 
"reported to have been harassed or bullied on the basis of race, color or national origin",California,"729,338 ","8,744 ",1.2 ,"32,577 ",4.5 ,"411,668 ",56.4 ,"73,756 ",10.1 ,"175,522 ",24.1 ,"6,489 ",0.9 ,"20,582 ",2.8 ,"120,708 ",16.6 ,"10,543 ",1.4 ,"145,291 ",19.9 ,"9,883 ",100.0 
"reported to have been harassed or bullied on the basis of race, color or national origin",Colorado,"139,970 ","1,535 ",1.1 ,"2,519 ",1.8 ,"62,426 ",44.6 ,"8,912 ",6.4 ,"59,652 ",42.6 ,353 ,0.3 ,"4,573 ",3.3 ,"19,335 ",13.8 ,"1,776 ",1.3 ,"16,488 ",11.8 ,"1,841 ",100.0 
"reported to have been harassed or bullied on the basis of race, color or national origin",Connecticut,"77,731 ",210 ,0.3 ,"3,699 ",4.8 ,"22,747 ",29.3 ,"14,107 ",18.1 ,"34,702 ",44.6 ,94 ,0.1 ,"2,172 ",2.8 ,"13,926 ",17.9 ,"3,706 ",4.8 ,"6,765 ",8.7 ,"1,140 ",99.9 
"reported to have been harassed or bullied on the basis of race, color or national origin",Delaware,"19,977 ",93 ,0.5 ,326 ,1.6 ,"2,851 ",14.3 ,"7,434 ",37.2 ,"8,792 ",44.0 ,10 ,0.1 ,471 ,2.4 ,"4,021 ",20.1 ,684 ,3.4 ,864 ,4.3 ,227 ,100.0 
"reported to have been harassed or bullied on the basis of race, color or national origin",District of Columbia,"23,601 ",20 ,0.1 ,189 ,0.8 ,"2,902 ",12.3 ,"19,276 ",81.7 ,957 ,4.1 ,25 ,0.1 ,232 ,1.0 ,"4,265 ",18.1 ,318 ,1.3 ,"1,429 ",6.1 ,204 ,100.0 
