County,2000 Live Births,2000 Teen Unmarried Births,2000 Percentage,2000 Live Births,2008 Teen Unmarried Births,2008 Percentage,2000-2008 Change,County_ID,State_ID,Region_ID,Division_ID,Nation_ID,IA_Region
Adair,68,6,8.80%,76,C,N/A,N/A,19_001,19,2,4,,
Adams,35,2,5.70%,37,C,N/A,N/A,19_002,19,2,4,,
Allamakee,158,13,8.20%,193,16,8.30%,0.80%,19_003,19,2,4,,
Appanoose,142,11,7.70%,184,20,10.90%,40.30%,19_004,19,2,4,,
Audubon,47,7,14.90%,83,10,12.00%,-19.10%,19_005,19,2,4,,
Benton,325,21,6.50%,309,19,6.10%,-4.80%,19_006,19,2,4,,
Black Hawk,"1,551",175,11.30%,"1,774",135,7.60%,-32.60%,19_007,19,2,4,,
Boone,317,15,4.70%,303,22,7.30%,53.40%,19_008,19,2,4,,
Bremer,250,15,6.00%,265,11,4.20%,-30.80%,19_009,19,2,4,,
Buchanan,301,23,7.60%,301,22,7.30%,-4.30%,19_010,19,2,4,,
Buena Vista,233,29,12.40%,290,36,12.40%,-0.30%,19_011,19,2,4,,
Butler,170,10,5.90%,173,6,3.50%,-41.00%,19_012,19,2,4,,
Calhoun,107,6,5.60%,95,5,5.30%,-6.10%,19_013,19,2,4,,
Carroll,262,12,4.60%,264,18,6.80%,48.90%,19_014,19,2,4,,
Cass,158,12,7.60%,178,19,10.70%,40.50%,19_015,19,2,4,,
Cedar,206,12,5.80%,200,10,5.00%,-14.20%,19_016,19,2,4,,
Cerro Gordo,530,50,9.40%,522,34,6.50%,-31.00%,19_017,19,2,4,,
Cherokee,146,13,8.90%,106,11,10.40%,16.50%,19_018,19,2,4,,
Chickasaw,169,13,7.70%,153,8,5.20%,-32.00%,19_019,19,2,4,,
Clarke,97,14,14.40%,145,16,11.00%,-23.50%,19_020,19,2,4,,
Clay,204,17,8.30%,217,18,8.30%,-0.50%,19_021,19,2,4,,
Clayton,194,15,7.70%,210,17,8.10%,4.70%,19_022,19,2,4,,
Clinton,591,63,10.70%,606,75,12.40%,16.10%,19_023,19,2,4,,
Crawford,189,22,11.60%,235,24,10.20%,-12.30%,19_024,19,2,4,,
Dallas,566,27,4.80%,"1,026",34,3.30%,-30.50%,19_025,19,2,4,,
Davis,129,9,7.00%,143,4,2.80%,-59.90%,19_026,19,2,4,,
Decatur,101,8,7.90%,119,5,4.20%,-47.00%,19_027,19,2,4,,
Delaware,227,12,5.30%,180,20,11.10%,110.20%,19_028,19,2,4,,
Des Moines,555,71,12.80%,527,58,11.00%,-14.00%,19_029,19,2,4,,
Dickinson,159,13,8.20%,186,10,5.40%,-34.20%,19_030,19,2,4,,
Dubuque,"1,221",83,6.80%,"1,224",98,8.00%,17.80%,19_031,19,2,4,,
Emmet,126,15,11.90%,125,13,10.40%,-12.60%,19_032,19,2,4,,
Fayette,233,19,8.20%,228,28,12.30%,50.60%,19_033,19,2,4,,
Floyd,199,11,5.50%,203,19,9.40%,69.30%,19_034,19,2,4,,
Franklin,113,12,10.60%,127,9,7.10%,-33.30%,19_035,19,2,4,,
Fremont,82,4,4.90%,86,11,12.80%,162.20%,19_036,19,2,4,,
Greene,92,11,12.00%,110,5,4.50%,-62.00%,19_037,19,2,4,,
Grundy,133,6,4.50%,130,8,6.20%,36.40%,19_038,19,2,4,,
Guthrie,134,10,7.50%,121,6,5.00%,-33.60%,19_039,19,2,4,,
Hamilton,192,17,8.90%,168,24,14.30%,61.30%,19_040,19,2,4,,
Hancock,131,9,6.90%,119,4,3.40%,-51.10%,19_041,19,2,4,,
Hardin,208,19,9.10%,221,19,8.60%,-5.90%,19_042,19,2,4,,
Harrison,193,15,7.80%,188,21,11.20%,43.70%,19_043,19,2,4,,
Henry,264,23,8.70%,250,29,11.60%,33.10%,19_044,19,2,4,,
Howard,110,6,5.50%,132,15,11.40%,108.30%,19_045,19,2,4,,
Humboldt,99,6,6.10%,103,10,9.70%,60.20%,19_046,19,2,4,,
