Types of crimes,2001,2002,2003,2004,2005,2006,2007,State_ID,Region_ID,Division_ID
Total Arrests,"25,540","23,674","22,496","22,431","20,281","20,849","22,499",32,4,8
Violent Crime Index,604,584,624,747,548,590,667,32,4,8
Murder/nonneg. mans.,12,11,7,23,37,9,13,32,4,8
Rape,46,29,31,39,28,26,25,32,4,8
Robbery,209,269,236,193,191,250,285,32,4,8
Aggravated assault,337,275,350,492,292,305,344,32,4,8
Property Crime Index,"5,043","4,883","4,515","4,584","3,954","3,373","3,716",32,4,8
Burglary,978,754,836,655,693,640,706,32,4,8
Larceny-theft,"3,403","3,503","3,153","3,530","2,898","2,411","2,730",32,4,8
Motor vehicle theft,515,532,455,318,270,219,209,32,4,8
Arson,147,94,71,81,93,103,71,32,4,8
Other assaults,"2,656","2,642","2,253","2,038","2,171","2,181","2,123",32,4,8
Forgery and counterfeiting,19,19,23,17,21,13,14,32,4,8
Fraud,107,72,70,65,49,82,41,32,4,8
Embezzlement,58,19,33,30,34,34,55,32,4,8
Stolen property,252,216,216,242,221,239,234,32,4,8
Vandalism,786,822,916,831,843,"1,048","1,212",32,4,8
Weapons,355,332,362,399,485,507,423,32,4,8
Prostitution/<br>commercialized vice,75,77,103,143,82,49,25,32,4,8
Sex offenses (other),165,154,147,111,158,128,136,32,4,8
Drug abuse violations,"1,481","1,474","1,337","1,392","1,404","1,408","1,462",32,4,8
Gambling,5,3,4,14,5,18,11,32,4,8
Offenses against family,14,5,5,16,33,14,12,32,4,8
Driving under influence,75,81,69,95,73,92,96,32,4,8
Liquor laws,"1,546","1,390","1,334","1,310","1,391","1,713","2,318",32,4,8
Drunkenness,92,42,39,116,104,102,84,32,4,8
Disorderly conduct,964,813,758,867,882,854,991,32,4,8
Vagrancy,31,33,11,31,24,21,23,32,4,8
All other offenses,"5,644","5,427","4,848","4,559","3,300","3,314","3,713",32,4,8
Curfew and loitering,"4,138","3,421","3,631","3,528","3,020","3,418","3,610",32,4,8
Runaways,"1,430","1,165","1,198","1,296","1,479","1,651","1,533",32,4,8
Population Ages 10 to 17,"231,300","241,600","250,400","261,300","270,500","280,000","287,100",32,4,8
