Discipline by gender	Number of Students With Disabilities	Percent of Students With Disabilities	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of Students With Disabilities Served Under IDEA	Percent of Students With Disabilities Served Under IDEA	Number of American Indian or Alaska Native Students With Disabilities Served Under IDEA	Percent of American Indian or Alaska Native Students With Disabilities Served Under IDEA	Number of Asian Students With Disabilities Served Under IDEA	Percent of Asian Students With Disabilities Served Under IDEA	Number of Hispanic or Latino of any race Students With Disabilities Served Under IDEA	Percent of Hispanic or Latino of any race Students With Disabilities Served Under IDEA	Number of Black or African American Students With Disabilities Served Under IDEA	Percent of Black or African American Students With Disabilities Served Under IDEA	Number of White Students With Disabilities Served Under IDEA	Percent of White Students With Disabilities Served Under IDEA	Number of Native Hawaiian or Other Pacific Islander Students With Disabilities Served Under IDEA	Percent of Native Hawaiian or Other Pacific Islander Students With Disabilities Served Under IDEA	Number of Two or more races Students With Disabilities Served Under IDEA	Percent of Two or more races Students With Disabilities Served Under IDEA	Number of English Language Learners With Disabilities 	Percent of English Language Learners With Disabilities 	Number of Schools	State_ID	Region_ID	Division_ID
Corporal punishment on males with disabilities	167	77.7	4	1.9	163	75.8	DS	1	DS	1	16	7.7	23	11	118	56.5	0	0	DS	1	4	1.9	"3,626"	26	2	3
Corporal punishment on females with disabilities	48	22.3	DS	0.9	46	21.4	0	0	0	0	5	2.4	13	6.2	28	13.4	0	0	0	0	DS	0.9	"3,626"	26	2	3
Corporal punishment total	215	100	6	2.8	209	97.2	DS	1	DS	1	21	10	36	17.2	146	69.9	0	0	DS	1	6	2.8	"3,626"	26	2	3
One or more in-school suspensions on males with disabilities	"8,978"	78.1	257	2.2	"8,721"	75.9	124	1.1	42	0.4	446	4	"1,888"	16.9	"6,057"	54.2	DS	0	162	1.5	212	1.8	"3,626"	26	2	3
One or more in-school suspensions on females with disabilities	"2,519"	21.9	69	0.6	"2,450"	21.3	45	0.4	15	0.1	111	1	641	5.7	"1,592"	14.3	DS	0	44	0.4	48	0.4	"3,626"	26	2	3
One or more in-school suspensions total	"11,497"	100	326	2.8	"11,171"	97.2	169	1.5	57	0.5	557	5	"2,529"	22.6	"7,649"	68.5	4	0	206	1.8	260	2.3	"3,626"	26	2	3
Only one out-of-school suspension on males with disabilities	"10,321"	76	227	1.7	"10,094"	74.3	100	0.8	56	0.4	534	4	"3,465"	26.1	"5,714"	43	DS	0	223	1.7	297	2.2	"3,626"	26	2	3
Only one out-of-school suspension on females with disabilities	"3,258"	24	70	0.5	"3,188"	23.5	36	0.3	18	0.1	181	1.4	"1,357"	10.2	"1,515"	11.4	DS	0	79	0.6	79	0.6	"3,626"	26	2	3
Only one out-of-school suspension total	"13,579"	100	297	2.2	"13,282"	97.8	136	1	74	0.6	715	5.4	"4,822"	36.3	"7,229"	54.4	4	0	302	2.3	376	2.8	"3,626"	26	2	3
More than one out-of-school suspension on males with disabilities	"12,085"	81.1	255	1.7	"11,830"	79.4	124	0.8	39	0.3	555	3.8	"4,762"	32.6	"6,082"	41.7	4	0	264	1.8	262	1.8	"3,626"	26	2	3
