Types of crimes,2008,2009,2010,2011,2012,2013,2014,State_ID,Region_ID,Division_ID
Total Arrests,"21,589","19,387","18,051","17,195","15,897","14,110","13,822",19,2,4
Violent Crime Index,760,709,625,582,562,N/A,N/A,19,2,4
Murder/nonneg. mans.,6,1,7,1,2,2,2,19,2,4
Rape,30,28,26,25,27,N/A,N/A,19,2,4
Robbery,92,103,66,47,43,85,84,19,2,4
Aggravated assault,632,577,526,509,490,410,339,19,2,4
Property Crime Index,"5,425","5,289","4,866","4,633","4,138","4,005","3,809",19,2,4
Burglary,747,704,747,714,756,495,383,19,2,4
Larceny-theft,"4,361","4,356","3,901","3,695","3,192","3,286","3,227",19,2,4
Motor vehicle theft,232,181,148,143,124,154,144,19,2,4
Arson,85,48,70,81,66,70,55,19,2,4
Other assaults,"2,672","2,380","2,386","2,191","1,832","1,819","1,694",19,2,4
Forgery and counterfeiting,44,29,27,28,24,18,12,19,2,4
Fraud,54,41,40,46,46,65,39,19,2,4
Embezzlement,11,13,8,8,9,11,1,19,2,4
Stolen property,75,88,56,40,64,39,36,19,2,4
Vandalism,"1,656","1,502","1,219","1,061",916,783,978,19,2,4
Weapons,158,112,127,124,141,149,147,19,2,4
Prostitution/<br>commercialized vice,2,2,2,1,3,2,5,19,2,4
Sex offenses (other),81,66,48,71,57,N/A,N/A,19,2,4
Drug abuse violations,"1,201","1,081","1,294","1,240","1,232","1,061","1,111",19,2,4
Gambling,1,0,1,0,0,0,0,19,2,4
Offenses against family,12,5,4,3,5,3,2,19,2,4
Driving under influence,246,197,167,141,144,106,91,19,2,4
Liquor laws,"2,151","1,777","1,439","1,547","1,362","1,065",936,19,2,4
Drunkenness,379,258,269,362,265,169,192,19,2,4
Disorderly conduct,"2,448","2,157","2,126","2,033","2,013","1,694","1,703",19,2,4
Vagrancy,0,0,0,0,0,0,0,19,2,4
All other offenses,"2,803","2,577","2,335","2,273","2,245","1,909","2,052",19,2,4
Curfew and loitering,842,685,643,557,580,480,398,19,2,4
Runaways,568,419,369,254,259,132,95,19,2,4
Population Ages 10 to 17,"327,100","323,700","324,500","324,300","323,300","325,000","326,800",19,2,4
