Discipline by gender	Number of Students With and Without Disabilities	Percent of Students With and Without Disabilities	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Students Without Disabilities and With Disabilities Served Under IDEA	Number of American Indian or Alaska Native Students Without Disabilities and With Disabilities Served Under IDEA	Percent of American Indian or Alaska Native Students Without Disabilities and With Disabilities Served Under IDEA	Number of Asian Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Asian Students Without Disabilities and With Disabilities Served Under IDEA	Number of Hispanic or Latino of any race Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Hispanic or Latino of any race Students Without Disabilities and With Disabilities Served Under IDEA	Number of Black or African American Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Black or African American Students Without Disabilities and With Disabilities Served Under IDEA	Number of White Students Without Disabilities and With Disabilities Served Under IDEA	Percent of White Students Without Disabilities and With Disabilities Served Under IDEA	Number of Native Hawaiian or Other Pacific Islander Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Native Hawaiian or Other Pacific Islander Students Without Disabilities and With Disabilities Served Under IDEA	Number of Two or more races Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Two or more races Students Without Disabilities and With Disabilities Served Under IDEA	Number of English Language Learners With and Without Disabilities	Percent of English Language Learners With and Without Disabilities	Number of Schools	State_ID	Region_ID	Division_ID
Corporal punishment on males	64	74.4	0	0	64	74.4	0	0	0	0	12	14	DS	2.3	46	53.5	0	0	4	4.7	DS	2.3	"1,073"	31	2	4
Corporal punishment on females	22	25.6	0	0	22	25.6	DS	2.3	0	0	DS	2.3	DS	2.3	14	16.3	0	0	DS	2.3	0	0	"1,073"	31	2	4
Corporal punishment total	86	100	0	0	86	100	DS	2.3	0	0	14	16.3	4	4.7	60	69.8	0	0	6	7	DS	2.3	"1,073"	31	2	4
One or more in-school suspensions on males	"9,183"	73.6	27	0.2	"9,156"	73.4	197	1.6	88	0.7	"1,736"	14	966	7.8	"5,957"	47.9	4	0	208	1.7	458	3.7	"1,073"	31	2	4
One or more in-school suspensions on females	"3,292"	26.4	11	0.1	"3,281"	26.3	124	1	29	0.2	769	6.2	445	3.6	"1,824"	14.7	DS	0	88	0.7	187	1.5	"1,073"	31	2	4
One or more in-school suspensions total	"12,475"	100	38	0.3	"12,437"	99.7	321	2.6	117	0.9	"2,505"	20.1	"1,411"	11.3	"7,781"	62.6	6	0	296	2.4	645	5.2	"1,073"	31	2	4
Only one out-of-school suspension on males	"5,796"	70	23	0.3	"5,773"	69.7	169	2	69	0.8	"1,050"	12.7	"1,169"	14.2	"3,142"	38.1	4	0	170	2.1	275	3.3	"1,073"	31	2	4
Only one out-of-school suspension on females	"2,487"	30	6	0.1	"2,481"	30	93	1.1	25	0.3	436	5.3	699	8.5	"1,143"	13.8	DS	0	83	1	100	1.2	"1,073"	31	2	4
Only one out-of-school suspension total	"8,283"	100	29	0.4	"8,254"	99.6	262	3.2	94	1.1	"1,486"	18	"1,868"	22.6	"4,285"	51.9	6	0.1	253	3.1	375	4.5	"1,073"	31	2	4
More than one out-of-school suspension on males	"4,149"	72.7	5	0.1	"4,144"	72.6	147	2.6	35	0.6	698	12.2	"1,221"	21.4	"1,873"	32.9	4	0.1	166	2.9	175	3.1	"1,073"	31	2	4
