,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Number and percentage of public school students with disabilities receiving disciplinary actions by gender and race/ethnicity, for state: School Year 2011-12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Discipline,Gender,Students With Disabilities,,Students With Disabilities Served Only Under Section 504,,Students  With Disabilities Served Under  IDEA,,Race/Ethnicity of Students With Disabilities Served Under IDEA1,,,,,,,,,,,,,,English Language Learners With Disabilities ,,Number of Schoolsa,Percent of Schools Reporting ,,,,,,,,,,,,,,,,
,,,,,,,,,,"American Indian or
Alaska Native",,Asian,,Hispanic or Latino of any race,,Black or African American,,White,,Native Hawaiian or Other Pacific Islander,,Two or more races,,,,,,,,,,,,,,,,,,,,,
,,,,Number,Percent2,Number,Percent2,Number,Percent2,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent2,,,,,,,,,,,,,,,,,,
Disciplinary Actions,West Virginia,,Male,75 ,75.8 ,1-3 ,2.0 ,73 ,73.7 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,9 ,9.3 ,64 ,66.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,733 ,100.0 ,,,,,,,,,,,,,,,,
Disciplinary Actions,West Virginia,Corporal punishment,Female,24 ,24.2 ,0 ,0.0 ,24 ,24.2 ,0 ,0.0 ,0 ,0.0 ,1-3 ,2.1 ,0 ,0.0 ,22 ,22.7 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,733 ,100.0 ,,,,,,,,,,,,,,,,
Disciplinary Actions,West Virginia,,Total,99 ,100.0 ,1-3 ,2.0 ,97 ,98.0 ,0 ,0.0 ,0 ,0.0 ,1-3 ,2.1 ,9 ,9.3 ,86 ,88.7 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,733 ,100.0 ,,,,,,,,,,,,,,,,
Disciplinary Actions,West Virginia,,Male,"3,012 ",75.9 ,75 ,1.9 ,"2,937 ",74.0 ,1-3 ,0.1 ,1-3 ,0.1 ,30 ,0.8 ,291 ,7.5 ,"2,586 ",66.7 ,0 ,0.0 ,26 ,0.7 ,7 ,0.2 ,733 ,100.0 ,,,,,,,,,,,,,,,,
Disciplinary Actions,West Virginia,One or more in-school suspensions,Female,956 ,24.1 ,14 ,0.4 ,942 ,23.7 ,1-3 ,0.1 ,1-3 ,0.1 ,10 ,0.3 ,101 ,2.6 ,815 ,21.0 ,0 ,0.0 ,12 ,0.3 ,5 ,0.1 ,733 ,100.0 ,,,,,,,,,,,,,,,,
Disciplinary Actions,West Virginia,,Total,"3,968 ",100.0 ,89 ,2.2 ,"3,879 ",97.8 ,4 ,0.1 ,4 ,0.1 ,40 ,1.0 ,392 ,10.1 ,"3,401 ",87.7 ,0 ,0.0 ,38 ,1.0 ,12 ,0.3 ,733 ,100.0 ,,,,,,,,,,,,,,,,
Disciplinary Actions,West Virginia,,Male,"1,969 ",76.8 ,35 ,1.4 ,"1,934 ",75.4 ,1-3 ,0.1 ,1-3 ,0.1 ,18 ,0.7 ,144 ,5.7 ,"1,745 ",69.2 ,0 ,0.0 ,23 ,0.9 ,1-3 ,0.1 ,733 ,100.0 ,,,,,,,,,,,,,,,,
Disciplinary Actions,West Virginia,Only one out-of-school suspension,Female,595 ,23.2 ,9 ,0.4 ,586 ,22.9 ,1-3 ,0.1 ,0 ,0.0 ,4 ,0.2 ,54 ,2.1 ,519 ,20.6 ,0 ,0.0 ,7 ,0.3 ,0 ,0.0 ,733 ,100.0 ,,,,,,,,,,,,,,,,
Disciplinary Actions,West Virginia,,Total,"2,564 ",100.0 ,44 ,1.7 ,"2,520 ",98.3 ,4 ,0.2 ,1-3 ,0.1 ,22 ,0.9 ,198 ,7.9 ,"2,264 ",89.8 ,0 ,0.0 ,30 ,1.2 ,1-3 ,0.1 ,733 ,100.0 ,,,,,,,,,,,,,,,,
Disciplinary Actions,West Virginia,,Male,"2,276 ",82.6 ,38 ,1.4 ,"2,238 ",81.2 ,1-3 ,0.1 ,0 ,0.0 ,24 ,0.9 ,195 ,7.2 ,"1,987 ",73.3 ,0 ,0.0 ,30 ,1.1 ,1-3 ,0.1 ,733 ,100.0 ,,,,,,,,,,,,,,,,
Disciplinary Actions,West Virginia,More than one out-of-school suspension,Female,479 ,17.4 ,8 ,0.3 ,471 ,17.1 ,0 ,0.0 ,0 ,0.0 ,6 ,0.2 ,62 ,2.3 ,398 ,14.7 ,0 ,0.0 ,5 ,0.2 ,0 ,0.0 ,733 ,100.0 ,,,,,,,,,,,,,,,,
Disciplinary Actions,West Virginia,,Total,"2,755 ",100.0 ,46 ,1.7 ,"2,709 ",98.3 ,1-3 ,0.1 ,0 ,0.0 ,30 ,1.1 ,257 ,9.5 ,"2,385 ",88.0 ,0 ,0.0 ,35 ,1.3 ,1-3 ,0.1 ,733 ,100.0 ,,,,,,,,,,,,,,,,
Disciplinary Actions,West Virginia,,Male,"4,248 ",79.7 ,73 ,1.4 ,"4,175 ",78.4 ,1-3 ,0.0 ,1-3 ,0.0 ,42 ,0.8 ,337 ,6.4 ,"3,740 ",71.4 ,0 ,0.0 ,52 ,1.0 ,5 ,0.1 ,733 ,100.0 ,,,,,,,,,,,,,,,,
Disciplinary Actions,West Virginia,One or more out-of-school suspensions,Female,"1,079 ",20.3 ,17 ,0.3 ,"1,062 ",19.9 ,1-3 ,0.0 ,0 ,0.0 ,9 ,0.2 ,117 ,2.2 ,921 ,17.6 ,0 ,0.0 ,13 ,0.2 ,0 ,0.0 ,733 ,100.0 ,,,,,,,,,,,,,,,,
Disciplinary Actions,West Virginia,,Total,"5,327 ",100.0 ,90 ,1.7 ,"5,237 ",98.3 ,4 ,0.1 ,1-3 ,0.0 ,51 ,1.0 ,454 ,8.7 ,"4,661 ",89.0 ,0 ,0.0 ,65 ,1.2 ,5 ,0.1 ,733 ,100.0 ,,,,,,,,,,,,,,,,
Disciplinary Actions,West Virginia,,Male,155 ,86.6 ,1-3 ,1.1 ,153 ,85.5 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,13 ,7.3 ,140 ,79.1 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,733 ,100.0 ,,,,,,,,,,,,,,,,
Disciplinary Actions,West Virginia,Expulsions with educational services,Female,24 ,13.4 ,0 ,0.0 ,24 ,13.4 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,1-3 ,1.1 ,22 ,12.4 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,733 ,100.0 ,,,,,,,,,,,,,,,,
Disciplinary Actions,West Virginia,,Total,179 ,100.0 ,1-3 ,1.1 ,177 ,98.9 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,15 ,8.5 ,162 ,91.5 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,733 ,100.0 ,,,,,,,,,,,,,,,,
Disciplinary Actions,West Virginia,,Male,4 ,100.0 ,0 ,0.0 ,4 ,100.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,1-3 ,50.0 ,1-3 ,50.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,733 ,100.0 ,,,,,,,,,,,,,,,,
Disciplinary Actions,West Virginia,Expulsions without educational services,Female,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,733 ,100.0 ,,,,,,,,,,,,,,,,
Disciplinary Actions,West Virginia,,Total,4 ,100.0 ,0 ,0.0 ,4 ,100.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,1-3 ,50.0 ,1-3 ,50.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,733 ,100.0 ,,,,,,,,,,,,,,,,
Disciplinary Actions,West Virginia,,Male,156 ,86.7 ,1-3 ,1.1 ,154 ,85.6 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,14 ,7.9 ,140 ,78.7 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,733 ,100.0 ,,,,,,,,,,,,,,,,
Disciplinary Actions,West Virginia,Expulsions with or without educational services,Female,24 ,13.3 ,0 ,0.0 ,24 ,13.3 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,1-3 ,1.1 ,22 ,12.4 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,733 ,100.0 ,,,,,,,,,,,,,,,,
Disciplinary Actions,West Virginia,,Total,180 ,100.0 ,1-3 ,1.1 ,178 ,98.9 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,16 ,9.0 ,162 ,91.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,733 ,100.0 ,,,,,,,,,,,,,,,,
Disciplinary Actions,West Virginia,,Male,36 ,75.0 ,1-3 ,4.2 ,34 ,70.8 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,1-3 ,4.3 ,32 ,69.6 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,733 ,100.0 ,,,,,,,,,,,,,,,,
Disciplinary Actions,West Virginia,Expulsions under zero-tolerance policies,Female,12 ,25.0 ,0 ,0.0 ,12 ,25.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,1-3 ,4.3 ,10 ,21.7 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,733 ,100.0 ,,,,,,,,,,,,,,,,
Disciplinary Actions,West Virginia,,Total,48 ,100.0 ,1-3 ,4.2 ,46 ,95.8 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,4 ,8.7 ,42 ,91.3 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,733 ,100.0 ,,,,,,,,,,,,,,,,
Disciplinary Actions,West Virginia,,Male,193 ,82.5 ,1-3 ,0.9 ,191 ,81.6 ,0 ,0.0 ,0 ,0.0 ,1-3 ,0.9 ,13 ,5.6 ,176 ,75.9 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,733 ,100.0 ,,,,,,,,,,,,,,,,
Disciplinary Actions,West Virginia,Referral to law enforcement,Female,41 ,17.5 ,0 ,0.0 ,41 ,17.5 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,1-3 ,0.9 ,39 ,16.8 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,733 ,100.0 ,,,,,,,,,,,,,,,,
Disciplinary Actions,West Virginia,,Total,234 ,100.0 ,1-3 ,0.9 ,232 ,99.1 ,0 ,0.0 ,0 ,0.0 ,1-3 ,0.9 ,15 ,6.5 ,215 ,92.7 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,733 ,100.0 ,,,,,,,,,,,,,,,,
Disciplinary Actions,West Virginia,,Male,20 ,74.1 ,1-3 ,7.4 ,18 ,66.7 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,5 ,20.0 ,13 ,52.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,733 ,100.0 ,,,,,,,,,,,,,,,,
Disciplinary Actions,West Virginia,School-related arrests,Female,7 ,25.9 ,0 ,0.0 ,7 ,25.9 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,7 ,28.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,733 ,100.0 ,,,,,,,,,,,,,,,,
Disciplinary Actions,West Virginia,,Total,27 ,100.0 ,1-3 ,7.4 ,25 ,92.6 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,5 ,20.0 ,20 ,80.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,733 ,100.0 ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
