,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Number and percentage of public school students retained, by race/ethnicity, disability status, and English proficiency, by gender and grade: School Year 2011-12",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Grade,Gender,Total Students,,Race/Ethnicity,,,,,,,,,,,,,,Students With Disabilities Served Under IDEA,,Students With Disabilities Served Only Under Section 504,,English Language Learners,,Number of Schools,Percent of Schools Reporting 
,,,,,,"American Indian or
Alaska Native",,Asian,,Hispanic or Latino of any race,,Black or African American,,White,,Native Hawaiian or Other Pacific Islander,,Two or more races,,,,,,,,,
,,,,Number,Percent,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent,Number,Percent,Number,Percent,,
Retention of students,Arizona,,Male,"1,102 ",65.0 ,97 ,5.7 ,16 ,0.9 ,478 ,28.2 ,55 ,3.2 ,419 ,24.7 ,8 ,0.5 ,29 ,1.7 ,200 ,11.8 ,1-3 ,0.1 ,199 ,11.7 ,"1,142 ",99.6 
Retention of students,Arizona,Kindergarten,Female,594 ,35.0 ,66 ,3.9 ,8 ,0.5 ,267 ,15.7 ,24 ,1.4 ,216 ,12.7 ,5 ,0.3 ,8 ,0.5 ,89 ,5.2 ,1-3 ,0.1 ,127 ,7.5 ,"1,142 ",99.6 
Retention of students,Arizona,,Total,"1,696 ",100.0 ,163 ,9.6 ,24 ,1.4 ,745 ,43.9 ,79 ,4.7 ,635 ,37.4 ,13 ,0.8 ,37 ,2.2 ,289 ,17.0 ,4 ,0.2 ,326 ,19.2 ,"1,142 ",99.6 
Retention of students,Arizona,,Male,"1,047 ",57.1 ,96 ,5.2 ,15 ,0.8 ,449 ,24.5 ,53 ,2.9 ,411 ,22.4 ,4 ,0.2 ,19 ,1.0 ,152 ,8.3 ,1-3 ,0.1 ,163 ,8.9 ,"1,144 ",99.7 
Retention of students,Arizona,1,Female,786 ,42.9 ,65 ,3.5 ,7 ,0.4 ,328 ,17.9 ,31 ,1.7 ,342 ,18.7 ,1-3 ,0.1 ,11 ,0.6 ,73 ,4.0 ,1-3 ,0.1 ,127 ,6.9 ,"1,144 ",99.7 
Retention of students,Arizona,,Total,"1,833 ",100.0 ,161 ,8.8 ,22 ,1.2 ,777 ,42.4 ,84 ,4.6 ,753 ,41.1 ,6 ,0.3 ,30 ,1.6 ,225 ,12.3 ,4 ,0.2 ,290 ,15.8 ,"1,144 ",99.7 
Retention of students,Arizona,,Male,484 ,54.1 ,46 ,5.1 ,11 ,1.2 ,206 ,23.0 ,18 ,2.0 ,192 ,21.5 ,1-3 ,0.2 ,9 ,1.0 ,60 ,6.7 ,0 ,0.0 ,81 ,9.1 ,"1,144 ",99.7 
