Advanced Placement Course by gender	Number of Total Students	Percent of Total Students	Number of American Indian or Alaska Native 	Percent of American Indian or Alaska Native 	Number of Asians	Percent of Asians 	Number of Hispanic or Latino of any race 	Percent of Hispanic or Latino of any race 	Number of Black or African American 	Percent of Black or African American 	Number of Whites	Percent of Whites	Number of Native Hawaiian or Other Pacific Islander 	Percent of Native Hawaiian or Other Pacific Islander	Number of Two or more races	Percent of Two or more races	Number of Students With Disabilities Served Under IDEA	Percent of Students With Disabilities Served Under IDEA	Number of English Language Learners	Percent of English Language Learners	Number of Schools	State_ID	Region_ID	Division_ID
At least one AP course males	"44,781"	47.9	54	0.1	"1,616"	1.7	917	1	"3,003"	3.2	"37,821"	40.5	23	0	"1,347"	1.4	"3,611"	3.9	259	0.3	567	39	2	3
At least one AP course females	"48,624"	52.1	60	0.1	"1,780"	1.9	"1,076"	1.2	"3,926"	4.2	"40,304"	43.1	16	0	"1,462"	1.6	"1,990"	2.1	231	0.2	567	39	2	3
At least one AP course total	"93,405"	100	114	0.1	"3,396"	3.6	"1,993"	2.1	"6,929"	7.4	"78,125"	83.6	39	0	"2,809"	3	"5,601"	6	490	0.5	567	39	2	3
AP mathematics on males	"6,263"	52.5	6	0.1	511	4.3	78	0.7	216	1.8	"5,326"	44.7	DS	0	124	1	63	0.5	19	0.2	567	39	2	3
AP mathematics females	"5,665"	47.5	4	0	428	3.6	72	0.6	252	2.1	"4,759"	39.9	5	0	145	1.2	27	0.2	5	0	567	39	2	3
AP mathematics total	"11,928"	100	10	0.1	939	7.9	150	1.3	468	3.9	"10,085"	84.5	7	0.1	269	2.3	90	0.8	24	0.2	567	39	2	3
AP science males	"5,913"	52.1	13	0.1	669	5.9	94	0.8	206	1.8	"4,780"	42.1	5	0	146	1.3	56	0.5	21	0.2	567	39	2	3
AP science females	"5,437"	47.9	7	0.1	572	5	89	0.8	326	2.9	"4,299"	37.9	DS	0	142	1.3	27	0.2	12	0.1	567	39	2	3
AP science total	"11,350"	100	20	0.2	"1,241"	10.9	183	1.6	532	4.7	"9,079"	80	7	0.1	288	2.5	83	0.7	33	0.3	567	39	2	3
AP foreign language males	"1,052"	38.6	DS	0.1	87	3.2	35	1.3	31	1.1	866	31.8	0	0	31	1.1	17	0.6	8	0.3	567	39	2	3
AP foreign language females	"1,670"	61.4	DS	0.1	118	4.3	61	2.2	63	2.3	"1,377"	50.6	DS	0.1	47	1.7	5	0.2	11	0.4	567	39	2	3
AP foreign language total	"2,722"	100	4	0.1	205	7.5	96	3.5	94	3.5	"2,243"	82.4	DS	0.1	78	2.9	22	0.8	19	0.7	567	39	2	3
Other AP subjects males	"37,868"	47.2	42	0.1	"1,297"	1.6	716	0.9	"2,708"	3.4	"31,898"	39.8	20	0	"1,187"	1.5	"3,366"	4.2	218	0.3	567	39	2	3
Other AP subjects females	"42,338"	52.8	51	0.1	"1,463"	1.8	865	1.1	"3,605"	4.5	"35,031"	43.7	13	0	"1,310"	1.6	"1,848"	2.3	194	0.2	567	39	2	3
Other AP subjects total	"80,206"	100	93	0.1	"2,760"	3.4	"1,581"	2	"6,313"	7.9	"66,929"	83.4	33	0	"2,497"	3.1	"5,214"	6.5	412	0.5	567	39	2	3
