Types of crimes,2008,2009,2010,2011,2012,2013,2014,State_ID,Region_ID,Division_ID
Total Arrests,"15,986","14,038","12,716","12,753","11,274","9,727","9,360",16,4,8
Violent Crime Index,244,209,171,168,167,N/A,N/A,16,4,8
Murder/nonneg. mans.,3,2,0,0,1,0,1,16,4,8
Rape,18,27,21,12,8,N/A,N/A,16,4,8
Robbery,19,11,19,12,17,13,10,16,4,8
Aggravated assault,204,169,131,144,141,123,79,16,4,8
Property Crime Index,"3,177","2,953","2,685","2,644","2,253","1,844","1,807",16,4,8
Burglary,426,373,372,306,283,261,312,16,4,8
Larceny-theft,"2,580","2,429","2,198","2,224","1,841","1,471","1,375",16,4,8
Motor vehicle theft,98,91,73,76,72,76,83,16,4,8
Arson,73,60,42,38,57,36,37,16,4,8
Other assaults,"1,317","1,137","1,158","1,179",933,833,814,16,4,8
Forgery and counterfeiting,14,13,9,5,4,6,3,16,4,8
Fraud,29,38,25,28,24,23,35,16,4,8
Embezzlement,6,7,2,2,1,2,2,16,4,8
Stolen property,70,50,50,50,46,31,35,16,4,8
Vandalism,785,548,521,545,426,329,379,16,4,8
Weapons,175,139,140,104,132,118,86,16,4,8
Prostitution/<br>commercialized vice,2,0,0,0,0,1,0,16,4,8
Sex offenses (other),95,86,101,79,84,N/A,N/A,16,4,8
Drug abuse violations,818,828,918,"1,083","1,032",913,883,16,4,8
Gambling,0,0,0,0,0,0,0,16,4,8
Offenses against family,24,14,13,12,8,11,40,16,4,8
Driving under influence,214,176,129,118,112,86,70,16,4,8
Liquor laws,"2,104","1,849","1,314","1,224","1,022",757,601,16,4,8
Drunkenness,23,15,16,49,72,112,64,16,4,8
Disorderly conduct,647,567,589,571,403,300,267,16,4,8
Vagrancy,0,0,0,0,0,0,0,16,4,8
All other offenses,"3,796","3,420","3,164","3,156","2,835","2,760","2,658",16,4,8
Curfew and loitering,804,539,476,435,378,339,279,16,4,8
Runaways,"1,642","1,450","1,235","1,301","1,342","1,032","1,139",16,4,8
Population Ages 10 to 17,"182,500","183,600","185,600","187,700","188,500","190,400","193,100",16,4,8
