Types of crimes,2001,2002,2003,2004,2005,2006,2007,State_ID,Region_ID,Division_ID
Total Arrests,"7,231","6,297","6,299","6,764","6,585","6,740","7,286",56,4,8
Violent Crime Index,106,70,53,70,69,77,70,56,4,8
Murder/nonneg. mans.,0,0,0,0,1,1,0,56,4,8
Rape,4,3,3,1,3,2,3,56,4,8
Robbery,13,10,2,1,4,3,6,56,4,8
Aggravated assault,89,57,48,68,61,71,61,56,4,8
Property Crime Index,"1,221",991,"1,105",943,988,851,"1,015",56,4,8
Burglary,173,105,102,76,78,93,84,56,4,8
Larceny-theft,971,839,948,829,862,716,863,56,4,8
Motor vehicle theft,50,36,49,25,40,35,58,56,4,8
Arson,27,11,6,13,8,7,10,56,4,8
Other assaults,464,511,623,768,766,774,862,56,4,8
Forgery and counterfeiting,17,5,5,5,3,3,1,56,4,8
Fraud,9,10,16,13,9,7,7,56,4,8
Embezzlement,1,0,0,1,0,1,0,56,4,8
Stolen property,14,14,14,9,4,14,15,56,4,8
Vandalism,282,262,214,297,347,381,330,56,4,8
Weapons,73,45,49,54,67,48,51,56,4,8
Prostitution/<br>commercialized vice,0,0,0,2,1,1,0,56,4,8
Sex offenses (other),30,17,17,19,15,9,20,56,4,8
Drug abuse violations,609,506,461,579,483,531,586,56,4,8
Gambling,0,0,0,0,0,0,0,56,4,8
Offenses against family,17,12,19,11,19,11,25,56,4,8
Driving under influence,82,71,75,84,88,106,89,56,4,8
Liquor laws,"1,465","1,326","1,233","1,207","1,152","1,205","1,241",56,4,8
Drunkenness,50,21,29,22,36,65,30,56,4,8
Disorderly conduct,380,349,286,293,304,244,286,56,4,8
Vagrancy,16,4,8,13,13,9,7,56,4,8
All other offenses,"1,708","1,514","1,522","1,610","1,534","1,734","1,689",56,4,8
Curfew and loitering,535,434,371,446,393,365,467,56,4,8
Runaways,152,135,199,318,294,304,495,56,4,8
Population Ages 10 to 17,"62,500","61,300","59,700","59,100","57,700","57,000","56,500",56,4,8
,,,,,,,,,,
