,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Number and percentage of public school students retained, by race/ethnicity, disability status, and English proficiency, by gender and grade: School Year 2011-12",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Grade,Gender,Total Students,,Race/Ethnicity,,,,,,,,,,,,,,Students With Disabilities Served Under IDEA,,Students With Disabilities Served Only Under Section 504,,English Language Learners,,Number of Schools,Percent of Schools Reporting 
,,,,,,"American Indian or
Alaska Native",,Asian,,Hispanic or Latino of any race,,Black or African American,,White,,Native Hawaiian or Other Pacific Islander,,Two or more races,,,,,,,,,
,,,,Number,Percent,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent,Number,Percent,Number,Percent,,
Retention of students,Alabama,,Male,"1,668 ",65.2 ,8 ,0.3 ,15 ,0.6 ,182 ,7.1 ,425 ,16.6 ,993 ,38.8 ,1-3 ,0.1 ,43 ,1.7 ,292 ,11.4 ,6 ,0.2 ,150 ,5.9 ,726 ,100.0 
Retention of students,Alabama,Kindergarten,Female,892 ,34.8 ,1-3 ,0.1 ,6 ,0.2 ,91 ,3.6 ,228 ,8.9 ,540 ,21.1 ,1-3 ,0.1 ,23 ,0.9 ,121 ,4.7 ,1-3 ,0.1 ,68 ,2.7 ,726 ,100.0 
Retention of students,Alabama,,Total,"2,560 ",100.0 ,10 ,0.4 ,21 ,0.8 ,273 ,10.7 ,653 ,25.5 ,"1,533 ",59.9 ,4 ,0.2 ,66 ,2.6 ,413 ,16.1 ,8 ,0.3 ,218 ,8.5 ,726 ,100.0 
Retention of students,Alabama,,Male,"1,575 ",61.5 ,10 ,0.4 ,4 ,0.2 ,96 ,3.8 ,666 ,26.0 ,777 ,30.4 ,0 ,0.0 ,22 ,0.9 ,209 ,8.2 ,6 ,0.2 ,54 ,2.1 ,745 ,100.0 
Retention of students,Alabama,1,Female,984 ,38.5 ,7 ,0.3 ,1-3 ,0.1 ,91 ,3.6 ,342 ,13.4 ,518 ,20.2 ,1-3 ,0.1 ,22 ,0.9 ,94 ,3.7 ,1-3 ,0.1 ,59 ,2.3 ,745 ,100.0 
Retention of students,Alabama,,Total,"2,559 ",100.0 ,17 ,0.7 ,6 ,0.2 ,187 ,7.3 ,"1,008 ",39.4 ,"1,295 ",50.6 ,1-3 ,0.1 ,44 ,1.7 ,303 ,11.8 ,8 ,0.3 ,113 ,4.4 ,745 ,100.0 
Retention of students,Alabama,,Male,564 ,61.0 ,1-3 ,0.2 ,1-3 ,0.2 ,32 ,3.5 ,238 ,25.7 ,272 ,29.4 ,1-3 ,0.2 ,16 ,1.7 ,78 ,8.4 ,1-3 ,0.2 ,22 ,2.4 ,746 ,100.0 
