State	Nation_ID	State_ID	Region_ID	Division_ID	Total Students	Number of American Indian or Alaska Native	Percent of American Indian or Alaska Native	Number of Asians	Percent of Asians	Number of Hispanic or Latino of any race	Percent of Hispanic or Latino of any race	Number of Black or African American	Percent of Black or African American 	Number of Whites	Percent of Whites	Number of Native Hawaiian or Other Pacific Islander	Percent of Native Hawaiian or Other Pacific Islander	Number of Two or more races	Percent of Two or more races	Number of Students With Disabilities Served Under IDEA	Percent of Students With Disabilities Served Under IDEA	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504v	Number of English Language Learners	Percent of English Language Learners	Number of Schools
United States	US_National				"129,226"	"1,698"	1.3	"5,467"	4.2	"39,361"	30.5	"35,101"	27.2	"44,101"	34.1	517	0.4	"2,981"	2.3	"20,775"	16.1	"2,249"	1.7	"13,808"	10.7	"24,812"
Alabama		1	3	6	"1,929"	11	0.6	8	0.4	70	3.6	"1,220"	63.2	602	31.2	DS	0.1	16	0.8	204	10.6	13	0.7	36	1.9	433
Alaska		2	4	9	443	102	23	14	3.2	45	10.2	28	6.3	183	41.3	18	4.1	53	12	48	10.8	DS	0.5	50	11.3	273
Arizona		4	4	8	"3,413"	201	5.9	25	0.7	"1,322"	38.7	144	4.2	"1,446"	42.4	15	0.4	260	7.6	381	11.2	37	1.1	92	2.7	521
Arkansas		5	3	7	"2,197"	6	0.3	48	2.2	214	9.7	"1,340"	61	566	25.8	10	0.5	13	0.6	209	9.5	37	1.7	150	6.8	299
California		6	4	9	"16,375"	124	0.8	"2,888"	17.6	"9,372"	57.2	"1,360"	8.3	"2,257"	13.8	143	0.9	231	1.4	"1,984"	12.1	123	0.8	"5,806"	35.5	"2,511"
Colorado		8	4	8	"1,147"	13	1.1	12	1	733	63.9	119	10.4	234	20.4	DS	0.2	34	3	110	9.6	14	1.2	233	20.3	454
Connecticut		9	1	1	"1,305"	11	0.8	16	1.2	377	28.9	349	26.7	529	40.5	0	0	23	1.8	195	14.9	47	3.6	109	8.4	243
Delaware		10	3	5	409	6	1.5	7	1.7	37	9	185	45.2	170	41.6	0	0	4	1	65	15.9	7	1.7	6	1.5	65
District of Columbia		11	3	5	236	DS	0.8	4	1.7	27	11.4	201	85.2	0	0	0	0	DS	0.8	53	22.5	DS	0.8	10	4.2	39
