State	Nation_ID	State_ID	Region_ID	Division_ID	Total IDEA Male Students	Number of American Indian or Alaska Native	Percent of American Indian or Alaska Native	Number of Asians	Percent of Asians	Number of Hispanic or Latino of any race	Percent of Hispanic or Latino of any race	Number of Black or African American 	Percent of Black or African American 	Number of Whites	Percent of Whites	Number of Native Hawaiian or Other Pacific Islander	Percent of Native Hawaiian or Other Pacific Islander	Number of Two or more races	Percent of Two or more races	Number of English Language Learners	Percent of English Language Learners	Number of Schools
United States	US_National				"33,438"	390	1.2	342	1	"3,354"	10	"8,099"	24.2	"20,100"	60.1	41	0.1	"1,112"	3.3	516	1.5	"95,635"
Alabama		1	3	6	615	0	0	0	0	8	1.3	194	31.5	405	65.9	0	0	8	1.3	DS	0.3	"1,432"
Alaska		2	4	9	77	31	40.3	0	0	DS	2.6	DS	2.6	36	46.8	DS	2.6	4	5.2	DS	2.6	493
Arizona		4	4	8	588	43	7.3	4	0.7	125	21.3	70	11.9	330	56.1	DS	0.3	14	2.4	7	1.2	"1,920"
Arkansas		5	3	7	123	0	0	DS	1.6	6	4.9	32	26	79	64.2	DS	1.6	DS	1.6	0	0	"1,097"
California		6	4	9	"1,256"	5	0.4	65	5.2	343	27.3	207	16.5	582	46.3	10	0.8	44	3.5	102	8.1	"9,866"
Colorado		8	4	8	280	4	1.4	0	0	61	21.8	33	11.8	160	57.1	DS	0.7	20	7.1	16	5.7	"1,811"
Connecticut		9	1	1	882	4	0.5	6	0.7	168	19	194	22	488	55.3	0	0	22	2.5	8	0.9	"1,122"
Delaware		10	3	5	60	0	0	DS	3.3	7	11.7	22	36.7	27	45	0	0	DS	3.3	DS	3.3	232
District of Columbia		11	3	5	41	0	0	0	0	DS	4.9	39	95.1	0	0	0	0	0	0	0	0	211
Florida		12	3	5	"3,090"	14	0.5	20	0.6	41	1.3	"1,107"	35.8	"1,721"	55.7	DS	0.1	185	6	0	0	"3,886"
Georgia		13	3	5	"1,416"	DS	0.1	7	0.5	52	3.7	635	44.8	654	46.2	0	0	66	4.7	DS	0.1	"2,422"
Hawaii		15	4	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	286
Idaho		16	4	8	175	DS	1.1	0	0	14	8	DS	1.1	151	86.3	0	0	6	3.4	DS	1.1	703
Illinois		17	2	3	"2,093"	4	0.2	20	1	147	7	730	34.9	"1,134"	54.2	DS	0.1	56	2.7	22	1.1	"4,221"
Indiana		18	2	3	841	DS	0.2	7	0.8	22	2.6	120	14.3	653	77.6	DS	0.2	35	4.2	DS	0.2	"1,875"
Iowa		19	2	4	828	4	0.5	7	0.8	37	4.5	174	21	581	70.2	DS	0.2	23	2.8	7	0.8	"1,458"
Kansas		20	2	4	321	DS	0.6	DS	0.6	20	6.2	36	11.2	241	75.1	0	0	20	6.2	5	1.6	"1,389"
Kentucky		21	3	6	598	0	0	DS	0.3	21	3.5	84	14	475	79.4	0	0	16	2.7	DS	0.3	"1,417"
Louisiana		22	3	7	79	4	5.1	0	0	DS	2.5	50	63.3	23	29.1	0	0	0	0	0	0	"1,394"
Maine		23	1	1	393	DS	0.5	DS	0.5	DS	0.5	16	4.1	365	92.9	0	0	6	1.5	4	1	595
Maryland		24	3	5	336	0	0	9	2.7	25	7.4	108	32.1	176	52.4	0	0	18	5.4	6	1.8	"1,444"
Massachusetts		25	1	1	653	0	0	8	1.2	162	24.8	96	14.7	360	55.1	0	0	27	4.1	24	3.7	"1,834"
Michigan		26	2	3	"1,520"	21	1.4	9	0.6	52	3.4	250	16.4	"1,155"	76	DS	0.1	31	2	5	0.3	"3,626"
Minnesota		27	2	4	"1,510"	51	3.4	19	1.3	76	5	472	31.3	853	56.5	0	0	39	2.6	18	1.2	"2,077"
Mississippi		28	3	6	72	0	0	0	0	0	0	36	50	34	47.2	0	0	DS	2.8	0	0	973
Missouri		29	2	4	900	DS	0.2	DS	0.2	20	2.2	105	11.7	755	83.9	DS	0.2	14	1.6	6	0.7	"2,312"
Montana		30	4	8	67	10	14.9	0	0	DS	3	DS	3	51	76.1	0	0	DS	3	0	0	781
Nebraska		31	2	4	204	4	2	0	0	13	6.4	21	10.3	151	74	0	0	15	7.4	DS	1	"1,073"
Nevada		32	4	8	506	DS	0.4	14	2.8	102	20.2	144	28.5	201	39.7	6	1.2	37	7.3	DS	0.4	649
New Hampshire		33	1	1	355	0	0	DS	0.6	13	3.7	8	2.3	330	93	0	0	DS	0.6	DS	0.6	478
New Jersey		34	1	2	906	DS	0.2	30	3.3	156	17.2	355	39.2	349	38.5	0	0	14	1.5	0	0	"2,538"
