,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Number and percentage of public school students retained, by race/ethnicity, disability status, and English proficiency, by gender and grade: School Year 2011-12",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Grade,Gender,Total Students,,Race/Ethnicity,,,,,,,,,,,,,,Students With Disabilities Served Under IDEA,,Students With Disabilities Served Only Under Section 504,,English Language Learners,,Number of Schools,Percent of Schools Reporting 
,,,,,,"American Indian or
Alaska Native",,Asian,,Hispanic or Latino of any race,,Black or African American,,White,,Native Hawaiian or Other Pacific Islander,,Two or more races,,,,,,,,,
,,,,Number,Percent,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent,Number,Percent,Number,Percent,,
Retention of students,West Virginia,,Male,618 ,61.1 ,0 ,0.0 ,1-3 ,0.2 ,5 ,0.5 ,23 ,2.3 ,576 ,57.0 ,0 ,0.0 ,12 ,1.2 ,118 ,11.7 ,1-3 ,0.2 ,1-3 ,0.2 ,429 ,100.0 
Retention of students,West Virginia,Kindergarten,Female,393 ,38.9 ,0 ,0.0 ,1-3 ,0.2 ,7 ,0.7 ,14 ,1.4 ,361 ,35.7 ,0 ,0.0 ,9 ,0.9 ,49 ,4.8 ,1-3 ,0.2 ,1-3 ,0.2 ,429 ,100.0 
Retention of students,West Virginia,,Total,"1,011 ",100.0 ,0 ,0.0 ,4 ,0.4 ,12 ,1.2 ,37 ,3.7 ,937 ,92.7 ,0 ,0.0 ,21 ,2.1 ,167 ,16.5 ,4 ,0.4 ,4 ,0.4 ,429 ,100.0 
Retention of students,West Virginia,,Male,384 ,59.9 ,0 ,0.0 ,0 ,0.0 ,9 ,1.4 ,20 ,3.1 ,344 ,53.7 ,1-3 ,0.3 ,9 ,1.4 ,71 ,11.1 ,1-3 ,0.3 ,5 ,0.8 ,430 ,100.0 
Retention of students,West Virginia,1,Female,257 ,40.1 ,0 ,0.0 ,0 ,0.0 ,9 ,1.4 ,13 ,2.0 ,226 ,35.3 ,0 ,0.0 ,9 ,1.4 ,41 ,6.4 ,0 ,0.0 ,1-3 ,0.3 ,430 ,100.0 
Retention of students,West Virginia,,Total,641 ,100.0 ,0 ,0.0 ,0 ,0.0 ,18 ,2.8 ,33 ,5.1 ,570 ,88.9 ,1-3 ,0.3 ,18 ,2.8 ,112 ,17.5 ,1-3 ,0.3 ,7 ,1.1 ,430 ,100.0 
Retention of students,West Virginia,,Male,112 ,59.9 ,0 ,0.0 ,0 ,0.0 ,1-3 ,1.1 ,10 ,5.3 ,98 ,52.4 ,0 ,0.0 ,1-3 ,1.1 ,15 ,8.0 ,0 ,0.0 ,0 ,0.0 ,431 ,100.0 
