Discipline by gender	Number of Students With Disabilities	Percent of Students With Disabilities	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of Students With Disabilities Served Under IDEA	Percent of Students With Disabilities Served Under IDEA	Number of American Indian or Alaska Native Students With Disabilities Served Under IDEA	Percent of American Indian or Alaska Native Students With Disabilities Served Under IDEA	Number of Asian Students With Disabilities Served Under IDEA	Percent of Asian Students With Disabilities Served Under IDEA	Number of Hispanic or Latino of any race Students With Disabilities Served Under IDEA	Percent of Hispanic or Latino of any race Students With Disabilities Served Under IDEA	Number of Black or African American Students With Disabilities Served Under IDEA	Percent of Black or African American Students With Disabilities Served Under IDEA	Number of White Students With Disabilities Served Under IDEA	Percent of White Students With Disabilities Served Under IDEA	Number of Native Hawaiian or Other Pacific Islander Students With Disabilities Served Under IDEA	Percent of Native Hawaiian or Other Pacific Islander Students With Disabilities Served Under IDEA	Number of Two or more races Students With Disabilities Served Under IDEA	Percent of Two or more races Students With Disabilities Served Under IDEA	Number of English Language Learners With Disabilities 	Percent of English Language Learners With Disabilities	Number of Schools	State_ID	Region_ID	Division_ID
Corporal punishment on males	8	100	DS	25	6	75	0	0	0	0	DS	33.3	0	0	4	66.7	0	0	0	0	0	0	468	38	2	4
Corporal punishment on females	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	468	38	2	4
Corporal punishment total	8	100	DS	25	6	75	0	0	0	0	DS	33.3	0	0	4	66.7	0	0	0	0	0	0	468	38	2	4
One or more in-school suspensions on males	495	80.2	27	4.4	468	75.9	104	17.7	DS	0.3	12	2	19	3.2	331	56.3	0	0	0	0	32	5.2	468	38	2	4
One or more in-school suspensions on females	122	19.8	DS	0.3	120	19.4	36	6.1	0	0	DS	0.3	0	0	82	13.9	0	0	0	0	14	2.3	468	38	2	4
One or more in-school suspensions total	617	100	29	4.7	588	95.3	140	23.8	DS	0.3	14	2.4	19	3.2	413	70.2	0	0	0	0	46	7.5	468	38	2	4
Only one out-of-school suspension on males	213	77.2	7	2.5	206	74.6	58	21.7	0	0	7	2.6	9	3.4	132	49.4	0	0	0	0	10	3.6	468	38	2	4
Only one out-of-school suspension on females	63	22.8	DS	0.7	61	22.1	29	10.9	0	0	DS	0.7	DS	0.7	26	9.7	DS	0.7	0	0	9	3.3	468	38	2	4
Only one out-of-school suspension total	276	100	9	3.3	267	96.7	87	32.6	0	0	9	3.4	11	4.1	158	59.2	DS	0.7	0	0	19	6.9	468	38	2	4
More than one out-of-school suspension on males	132	77.2	4	2.3	128	74.9	41	24.8	0	0	8	4.8	6	3.6	71	43	DS	1.2	0	0	14	8.2	468	38	2	4
More than one out-of-school suspension on females	39	22.8	DS	1.2	37	21.6	22	13.3	0	0	DS	1.2	0	0	13	7.9	0	0	0	0	6	3.5	468	38	2	4
More than one out-of-school suspension total	171	100	6	3.5	165	96.5	63	38.2	0	0	10	6.1	6	3.6	84	50.9	DS	1.2	0	0	20	11.7	468	38	2	4
One or more out-of-school suspensions on males	345	76.8	11	2.4	334	74.4	102	23.6	0	0	15	3.5	15	3.5	200	46.3	DS	0.5	0	0	25	5.6	468	38	2	4
One or more out-of-school suspensions on females	104	23.2	6	1.3	98	21.8	53	12.3	0	0	DS	0.5	DS	0.5	39	9	DS	0.5	0	0	15	3.3	468	38	2	4
One or more out-of-school suspensions total	449	100	17	3.8	432	96.2	155	35.9	0	0	17	3.9	17	3.9	239	55.3	4	0.9	0	0	40	8.9	468	38	2	4
Expulsions with educational services on males	4	66.7	0	0	4	66.7	DS	33.3	0	0	0	0	0	0	DS	33.3	0	0	0	0	0	0	468	38	2	4
