"Number and percentage of public school male students retained in grade 7, by race/ethnicity, disability status, and English proficiency, by state: School Year 2011-12"																							
																							
State	Total Students	Race/Ethnicity														Students With Disabilities Served Under IDEA		Students With Disabilities Served Only Under Section 504		English Language Learners		Number of Schools	Percent of Schools Reporting 
				Asian						White													
Location	Total Male Students	Number of American Indian or Alaska Native	Percent of American Indian or Alaska Native	Number of Asians	Percent of Asians	Number of Hispanic or Latino of any race	Percent of Hispanic or Latino of any race	Number of Black or African American	Percent of Black or African American	Number of Whites	Percent of Whites	Number of Native Hawaiian or Other Pacific Islander	Percent of Native Hawaiian or Other Pacific Islander	Number of Two or more races	Percent 	Number	Percent	Number	Percent	Number	Percent		
United States	"28,392"	333	1.2	375	1.3	"6,934"	24.4	"10,023"	35.3	"10,051"	35.4	90	0.3	586	2.1	"4,510"	15.9	960	3.4	"2,146"	7.6	"29,743"	99.9
Alabama	928	7	0.8	3-Jan	0.2	26	2.8	448	48.3	439	47.3	0	0	6	0.6	85	9.2	10	1.1	9	1	507	100
Alaska	21	15	71.4	0	0	3-Jan	9.5	0	0	4	19	0	0	0	0	3-Jan	9.5	0	0	8	38.1	290	100
Arizona	496	50	10.1	11	2.2	164	33.1	31	6.3	231	46.6	3-Jan	0.4	7	1.4	51	10.3	7	1.4	4	0.8	776	99.5
Arkansas	"1,205"	3-Jan	0.2	15	1.2	92	7.6	761	63.2	324	26.9	0	0	11	0.9	159	13.2	30	2.5	74	6.1	309	100
California	667	5	0.7	17	2.5	446	66.9	118	17.7	65	9.7	4	0.6	12	1.8	81	12.1	10	1.5	217	32.5	"2,991"	100
Colorado	130	3-Jan	1.5	3-Jan	1.5	48	36.9	4	3.1	72	55.4	0	0	3-Jan	1.5	22	16.9	4	3.1	21	16.2	557	100
Connecticut	134	0	0	4	3	40	29.9	43	32.1	45	33.6	0	0	3-Jan	1.5	25	18.7	3-Jan	1.5	7	5.2	321	100
Delaware	118	0	0	0	0	10	8.5	72	61	32	27.1	3-Jan	1.7	3-Jan	1.7	35	29.7	4	3.4	3-Jan	1.7	79	100
District of Columbia	52	0	0	0	0	5	9.6	47	90.4	0	0	0	0	0	0	15	28.8	0	0	3-Jan	3.8	73	98.6
Florida	"3,286"	15	0.5	13	0.4	873	26.6	"1,135"	34.5	"1,149"	35	3-Jan	0.1	99	3	614	18.7	251	7.6	235	7.2	"1,356"	100
Georgia	"1,570"	5	0.3	24	1.5	207	13.2	845	53.8	436	27.8	3-Jan	0.1	51	3.2	231	14.7	18	1.1	95	6.1	655	100
Hawaii	86	0	0	21	24.4	5	5.8	0	0	5	5.8	50	58.1	5	5.8	11	12.8	3-Jan	2.3	33	38.4	84	100
Idaho	95	5	5.3	3-Jan	2.1	15	15.8	3-Jan	2.1	71	74.7	0	0	0	0	8	8.4	5	5.3	6	6.3	221	99.1
Illinois	679	3-Jan	0.3	10	1.5	142	20.9	198	29.2	298	43.9	3-Jan	0.3	27	4	78	11.5	5	0.7	42	6.2	"1,580"	100
Indiana	291	3-Jan	0.7	3-Jan	0.7	14	4.8	76	26.1	182	62.5	0	0	15	5.2	58	19.9	6	2.1	10	3.4	514	99.6
Iowa	62	0	0	3-Jan	3.2	3-Jan	3.2	7	11.3	49	79	0	0	3-Jan	3.2	5	8.1	0	0	3-Jan	3.2	399	100
