Advanced Placement course by gender	Number of Total Students	Percent of Total Students	Number of American Indian or Alaska Native	Percent of American Indian or Alaska Native	Number of Asians	Percent of Asians	Number of Hispanic or Latino of any race	Percent of Hispanic or Latino of any race	Number of Black or African American	Percent of Black or African American	Number of Whites	Percent of Whites	Number of Native Hawaiian or Other Pacific Islander	Percent of Native Hawaiian or Other Pacific Islander	Number of Two or more races	Percent of Two or more races	Number of Students With Disabilities Served Under IDEA	Percent of Students With Disabilities Served Under IDEA	Number of English Language Learners	Percent of English Language Learners	Number of Schools	State_ID	Region_ID	Division_ID
At least one AP course males	"30,751"	44.6	113	0.2	"2,187"	3.2	883	1.3	"1,820"	2.6	"25,313"	36.7	24	0	411	0.6	341	0.5	242	0.4	482	26	2	3
At least one AP course females	"38,136"	55.4	167	0.2	"2,222"	3.2	"1,048"	1.5	"3,055"	4.4	"31,099"	45.1	46	0.1	499	0.7	177	0.3	324	0.5	482	26	2	3
At least one AP course total	"68,887"	100	280	0.4	"4,409"	6.4	"1,931"	2.8	"4,875"	7.1	"56,412"	81.9	70	0.1	910	1.3	518	0.8	566	0.8	482	26	2	3
AP mathematics males	"8,774"	51.2	32	0.2	790	4.6	194	1.1	311	1.8	"7,354"	42.9	4	0	89	0.5	62	0.4	73	0.4	482	26	2	3
AP mathematics females	"8,374"	48.8	29	0.2	731	4.3	166	1	449	2.6	"6,897"	40.2	8	0	94	0.5	18	0.1	80	0.5	482	26	2	3
AP mathematics total	"17,148"	100	61	0.4	"1,521"	8.9	360	2.1	760	4.4	"14,251"	83.1	12	0.1	183	1.1	80	0.5	153	0.9	482	26	2	3
AP science males	"8,599"	48.6	29	0.2	917	5.2	201	1.1	460	2.6	"6,898"	39	5	0	89	0.5	73	0.4	68	0.4	482	26	2	3
AP science females	"9,086"	51.4	38	0.2	845	4.8	180	1	622	3.5	"7,307"	41.3	11	0.1	83	0.5	41	0.2	86	0.5	482	26	2	3
AP science total	"17,685"	100	67	0.4	"1,762"	10	381	2.2	"1,082"	6.1	"14,205"	80.3	16	0.1	172	1	114	0.6	154	0.9	482	26	2	3
AP foreign language males	961	34.9	4	0.1	79	2.9	67	2.4	58	2.1	736	26.7	0	0	17	0.6	9	0.3	18	0.7	482	26	2	3
AP foreign language females	"1,794"	65.1	4	0.1	143	5.2	118	4.3	140	5.1	"1,366"	49.6	0	0	23	0.8	5	0.2	45	1.6	482	26	2	3
AP foreign language total	"2,755"	100	8	0.3	222	8.1	185	6.7	198	7.2	"2,102"	76.3	0	0	40	1.5	14	0.5	63	2.3	482	26	2	3
Other AP subjects males	"19,467"	42	68	0.1	"1,299"	2.8	557	1.2	"1,201"	2.6	"16,036"	34.6	17	0	289	0.6	193	0.4	126	0.3	482	26	2	3
Other AP subjects females	"26,858"	58	107	0.2	"1,450"	3.1	727	1.6	"2,327"	5	"21,859"	47.2	29	0.1	359	0.8	122	0.3	200	0.4	482	26	2	3
Other AP subjects total	"46,325"	100	175	0.4	"2,749"	5.9	"1,284"	2.8	"3,528"	7.6	"37,895"	81.8	46	0.1	648	1.4	315	0.7	326	0.7	482	26	2	3
