Advanced Placement Course by gender	Number of Total Students	Percent of Total Students	Number of American Indian or Alaska Native	Percent of American Indian or Alaska Native 	Number of Asians	Percent of Asians 	Number of Hispanic or Latino of any race	Percent of Hispanic or Latino of any race	Number of Black or African American	Percent of Black or African American 	Number of Whites	Percent of Whites	Number of Native Hawaiian or Other Pacific Islander	Percent of Native Hawaiian or Other Pacific Islander	Number of Two or more races	Percent of Two or more races	Number of Students With Disabilities Served Under IDEA	Percent of Students With Disabilities Served Under IDEA	Number of English Language Learners	Percent of English Language Learners	Number of Schools	State_ID	Region_ID	Division_ID
At least one AP course males	"29,458"	43.7	251	0.4	"1,844"	2.7	"1,795"	2.7	"3,297"	4.9	"21,411"	31.8	36	0.1	824	1.2	418	0.6	256	0.4	414	37	3	5
At least one AP course females	"37,942"	56.3	340	0.5	"1,927"	2.9	"2,387"	3.5	"5,512"	8.2	"26,532"	39.4	26	0	"1,218"	1.8	249	0.4	271	0.4	414	37	3	5
At least one AP course total	"67,400"	100	591	0.9	"3,771"	5.6	"4,182"	6.2	"8,809"	13.1	"47,943"	71.1	62	0.1	"2,042"	3	667	1	527	0.8	414	37	3	5
AP mathematics males	"9,042"	48.8	52	0.3	852	4.6	467	2.5	777	4.2	"6,661"	36	11	0.1	222	1.2	113	0.6	78	0.4	414	37	3	5
AP mathematics females	"9,478"	51.2	62	0.3	777	4.2	458	2.5	"1,067"	5.8	"6,837"	36.9	6	0	271	1.5	54	0.3	62	0.3	414	37	3	5
AP mathematics total	"18,520"	100	114	0.6	"1,629"	8.8	925	5	"1,844"	10	"13,498"	72.9	17	0.1	493	2.7	167	0.9	140	0.8	414	37	3	5
AP science males	"8,759"	45.8	59	0.3	806	4.2	476	2.5	776	4.1	"6,380"	33.4	12	0.1	250	1.3	108	0.6	81	0.4	414	37	3	5
AP science females	"10,360"	54.2	49	0.3	823	4.3	567	3	"1,179"	6.2	"7,385"	38.6	5	0	352	1.8	63	0.3	53	0.3	414	37	3	5
AP science total	"19,119"	100	108	0.6	"1,629"	8.5	"1,043"	5.5	"1,955"	10.2	"13,765"	72	17	0.1	602	3.1	171	0.9	134	0.7	414	37	3	5
AP foreign language males	647	37.1	DS	0.1	64	3.7	145	8.3	34	1.9	384	22	0	0	18	1	0	0	31	1.8	414	37	3	5
AP foreign language females	"1,099"	62.9	DS	0.1	97	5.6	245	14	95	5.4	621	35.6	0	0	39	2.2	DS	0.1	40	2.3	414	37	3	5
AP foreign language total	"1,746"	100	4	0.2	161	9.2	390	22.3	129	7.4	"1,005"	57.6	0	0	57	3.3	DS	0.1	71	4.1	414	37	3	5
Other AP subjects males	"20,312"	41.8	152	0.3	"1,251"	2.6	"1,197"	2.5	"2,372"	4.9	"14,754"	30.4	23	0	563	1.2	252	0.5	127	0.3	414	37	3	5
Other AP subjects females	"28,246"	58.2	219	0.5	"1,435"	3	"1,727"	3.6	"4,161"	8.6	"19,804"	40.8	21	0	879	1.8	159	0.3	139	0.3	414	37	3	5
Other AP subjects total	"48,558"	100	371	0.8	"2,686"	5.5	"2,924"	6	"6,533"	13.5	"34,558"	71.2	44	0.1	"1,442"	3	411	0.8	266	0.5	414	37	3	5
