County,2000 Age 1-14 Population,2000 Age 1-14 Deaths,Rate,2006 Age 1-14 Population,2006 Age 1-14 Deaths,Rate,2000-2006 Change,County_ID,State_ID,Region_ID,Division_ID,Nation_ID,IA_Region
Adair,"1,486",0,0,"1,486",0,0,0.00%,19_001,19,2,4,,
Adams,831,1,120,831,0,0,-100.00%,19_002,19,2,4,,
Allamakee,"2,857",0,0,"2,857",*,NA,NA,19_003,19,2,4,,
Appanoose,"2,496",0,0,"2,496",0,0,0.00%,19_004,19,2,4,,
Audubon,"1,354",1,74,"1,354",0,0,-100.00%,19_005,19,2,4,,
Benton,"5,423",1,18,"5,423",0,0,-100.00%,19_006,19,2,4,,
Black Hawk,"22,716",5,22,"22,716",5,22,0.00%,19_007,19,2,4,,
Boone,"4,969",2,40,"4,969",*,NA,NA,19_008,19,2,4,,
Bremer,"4,240",0,0,"4,240",0,0,0.00%,19_009,19,2,4,,
Buchanan,"4,562",0,0,"4,562",0,0,0.00%,19_010,19,2,4,,
Buena Vista,"3,985",1,25,"3,985",*,NA,NA,19_011,19,2,4,,
Butler,"2,820",1,35,"2,820",*,NA,NA,19_012,19,2,4,,
Calhoun,"1,920",0,0,"1,920",*,NA,NA,19_013,19,2,4,,
Carroll,"4,348",0,0,"4,348",0,0,0.00%,19_014,19,2,4,,
Cass,"2,631",1,38,"2,631",0,0,-100.00%,19_015,19,2,4,,
Cedar,"3,491",0,0,"3,491",0,0,0.00%,19_016,19,2,4,,
Cerro Gordo,"8,458",2,24,"8,458",*,NA,NA,19_017,19,2,4,,
Cherokee,"2,398",0,0,"2,398",0,0,0.00%,19_018,19,2,4,,
Chickasaw,"2,591",0,0,"2,591",*,NA,NA,19_019,19,2,4,,
Clarke,"1,819",0,0,"1,819",0,0,0.00%,19_020,19,2,4,,
Clay,"3,267",0,0,"3,267",*,NA,NA,19_021,19,2,4,,
Clayton,"3,602",2,56,"3,602",0,0,-100.00%,19_022,19,2,4,,
Clinton,"9,867",1,10,"9,867",*,NA,NA,19_023,19,2,4,,
Crawford,"3,335",1,30,"3,335",0,0,-100.00%,19_024,19,2,4,,
Dallas,"8,913",2,22,"8,913",*,NA,NA,19_025,19,2,4,,
Davis,"1,803",0,0,"1,803",0,0,0.00%,19_026,19,2,4,,
Decatur,"1,516",0,0,"1,516",*,NA,NA,19_027,19,2,4,,
Delaware,"4,038",0,0,"4,038",*,NA,NA,19_028,19,2,4,,
Des Moines,"7,893",2,25,"7,893",*,NA,NA,19_029,19,2,4,,
Dickinson,"2,733",3,110,"2,733",0,0,-100.00%,19_030,19,2,4,,
Dubuque,"17,518",6,34,"17,518",*,NA,NA,19_031,19,2,4,,
Emmet,"1,938",3,155,"1,938",0,0,-100.00%,19_032,19,2,4,,
Fayette,"4,169",0,0,"4,169",0,0,0.00%,19_033,19,2,4,,
Floyd,"3,268",0,0,"3,268",0,0,0.00%,19_034,19,2,4,,
Franklin,"1,922",0,0,"1,922",0,0,0.00%,19_035,19,2,4,,
Fremont,"1,551",0,0,"1,551",0,0,0.00%,19_036,19,2,4,,
Greene,"2,009",1,50,"2,009",0,0,-100.00%,19_037,19,2,4,,
Grundy,"2,379",0,0,"2,379",0,0,0.00%,19_038,19,2,4,,
Guthrie,"2,021",1,49,"2,021",0,0,-100.00%,19_039,19,2,4,,
Hamilton,"3,207",1,31,"3,207",0,0,-100.00%,19_040,19,2,4,,
Hancock,"2,420",0,0,"2,420",0,0,0.00%,19_041,19,2,4,,
Hardin,"3,333",0,0,"3,333",*,NA,NA,19_042,19,2,4,,
Harrison,"3,168",2,63,"3,168",0,0,-100.00%,19_043,19,2,4,,
Henry,"3,830",1,26,"3,830",0,0,-100.00%,19_044,19,2,4,,
Howard,"1,988",0,0,"1,988",4,201,NA,19_045,19,2,4,,
Humboldt,"1,920",0,0,"1,920",0,0,0.00%,19_046,19,2,4,,
Ida,"1,505",0,0,"1,505",0,0,0.00%,19_047,19,2,4,,
Iowa,"3,276",1,31,"3,276",0,0,-100.00%,19_048,19,2,4,,
Jackson,"4,044",2,49,"4,044",*,NA,NA,19_049,19,2,4,,
Jasper,"7,059",4,57,"7,059",0,0,-100.00%,19_050,19,2,4,,
Jefferson,"2,977",2,67,"2,977",0,0,-100.00%,19_051,19,2,4,,
Johnson,"17,329",3,17,"17,329",*,NA,NA,19_052,19,2,4,,
Jones,"3,740",0,0,"3,740",0,0,0.00%,19_053,19,2,4,,
Keokuk,"2,237",0,0,"2,237",*,NA,NA,19_054,19,2,4,,
Kossuth,"3,288",1,30,"3,288",0,0,-100.00%,19_055,19,2,4,,
Lee,"7,094",2,28,"7,094",*,NA,NA,19_056,19,2,4,,
Linn,"37,856",9,24,"37,856",6,16,-33.30%,19_057,19,2,4,,
Louisa,"2,633",0,0,"2,633",0,0,0.00%,19_058,19,2,4,,
Lucas,"1,880",0,0,"1,880",0,0,0.00%,19_059,19,2,4,,
Lyon,"2,511",0,0,"2,511",0,0,0.00%,19_119,19,2,4,,
Madison,"2,937",0,0,"2,937",0,0,0.00%,19_121,19,2,4,,
