Year,State,NatIon_ID,State_ID,Region_ID,Division_ID,Personnel Type,"Teachers
(Highly Qualified) /
Paraprofessionals
(Qualified)","Teachers
(Not Highly Qualified) /
Paraprofessionals
(Not Qualified)","Teachers /
Paraprofessionals
Total",Fully Certified ,Not Fully Certified,Fully Certified/Not Fully Certified Total
2009,Alabama                                                     ,,1,3,6,Special Education Teachers for Ages 3N/A5                                          ,296,19,316,          N/A,          N/A,          N/A
2009,Alabama                                                     ,,1,3,6,Special Education Teachers for Ages 6N/A21                                         ,"4,850",320,"5,170",          N/A,          N/A,          N/A
2009,Alabama                                                     ,,1,3,6,Total Special Education Teachers                                                 ,"5,147",339,"5,486",          N/A,          N/A,          N/A
2009,Alabama                                                     ,,1,3,6,Special Education Paraprofessionals for Ages 3N/A5                                 ,315,29,343,          N/A,          N/A,          N/A
2009,Alabama                                                     ,,1,3,6,Special Education Paraprofessionals for Ages 6N/A21                                ,"3,851",491,"4,342",          N/A,          N/A,          N/A
2009,Alabama                                                     ,,1,3,6,Total Special Education Paraprofessionals                                        ,"4,166",519,"4,685",          N/A,          N/A,          N/A
2009,Alabama                                                     ,,1,3,6,Audiologists                                                                     ,          N/A,          N/A,          N/A,10,1,10
2009,Alabama                                                     ,,1,3,6,SpeechN/ALanguage Pathologists                                                     ,          N/A,          N/A,          N/A,780,13,793
2009,Alabama                                                     ,,1,3,6,Interpreters                                                                     ,          N/A,          N/A,          N/A,76,8,83
2009,Alabama                                                     ,,1,3,6,Psychologists                                                                    ,          N/A,          N/A,          N/A,97,1,98
2009,Alabama                                                     ,,1,3,6,Occupational Therapists                                                          ,          N/A,          N/A,          N/A,145,8,153
2009,Alabama                                                     ,,1,3,6,Physical Therapists                                                              ,          N/A,          N/A,          N/A,94,4,98
2009,Alabama                                                     ,,1,3,6,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,          N/A,          N/A,          N/A,317,17,334
2009,Alabama                                                     ,,1,3,6,Social Workers                                                                   ,          N/A,          N/A,          N/A,61,18,79
2009,Alabama                                                     ,,1,3,6,Medical/Nursing Service Staff                                                    ,          N/A,          N/A,          N/A,600,70,670
2009,Alabama                                                     ,,1,3,6,Counselors and Rehabilitation Counselors                                         ,          N/A,          N/A,          N/A,300,13,313
2009,Alabama                                                     ,,1,3,6,Orientation and Mobility Specialists                                             ,          N/A,          N/A,          N/A,22,1,23
2009,Alaska                                                      ,,2,4,9,Special Education Teachers for Ages 3N/A5                                          ,65,19,83,          N/A,          N/A,          N/A
2009,Alaska                                                      ,,2,4,9,Special Education Teachers for Ages 6N/A21                                         ,907,138,"1,045",          N/A,          N/A,          N/A
2009,Alaska                                                      ,,2,4,9,Total Special Education Teachers                                                 ,972,156,"1,128",          N/A,          N/A,          N/A
2009,Alaska                                                      ,,2,4,9,Special Education Paraprofessionals for Ages 3N/A5                                 ,109,4,112,          N/A,          N/A,          N/A
2009,Alaska                                                      ,,2,4,9,Special Education Paraprofessionals for Ages 6N/A21                                ,"1,278",46,"1,323",          N/A,          N/A,          N/A
2009,Alaska                                                      ,,2,4,9,Total Special Education Paraprofessionals                                        ,"1,386",49,"1,436",          N/A,          N/A,          N/A
2009,Alaska                                                      ,,2,4,9,Audiologists                                                                     ,          N/A,          N/A,          N/A,5,0,5
2009,Alaska                                                      ,,2,4,9,SpeechN/ALanguage Pathologists                                                     ,          N/A,          N/A,          N/A,145,5,150
2009,Alaska                                                      ,,2,4,9,Interpreters                                                                     ,          N/A,          N/A,          N/A,14,0,14
2009,Alaska                                                      ,,2,4,9,Psychologists                                                                    ,          N/A,          N/A,          N/A,72,2,74
2009,Alaska                                                      ,,2,4,9,Occupational Therapists                                                          ,          N/A,          N/A,          N/A,38,0,38
2009,Alaska                                                      ,,2,4,9,Physical Therapists                                                              ,          N/A,          N/A,          N/A,13,0,13
2009,Alaska                                                      ,,2,4,9,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,          N/A,          N/A,          N/A,14,1,14
2009,Alaska                                                      ,,2,4,9,Social Workers                                                                   ,          N/A,          N/A,          N/A,          N/A,          N/A,          N/A
2009,Alaska                                                      ,,2,4,9,Medical/Nursing Service Staff                                                    ,          N/A,          N/A,          N/A,15,0,15
2009,Alaska                                                      ,,2,4,9,Counselors and Rehabilitation Counselors                                         ,          N/A,          N/A,          N/A,0,1,1
2009,Alaska                                                      ,,2,4,9,Orientation and Mobility Specialists                                             ,          N/A,          N/A,          N/A,11,1,12
2009,American Samoa                                              ,,60,,,Special Education Teachers for Ages 3N/A5                                          ,3,13,16,          N/A,          N/A,          N/A
2009,American Samoa                                              ,,60,,,Special Education Teachers for Ages 6N/A21                                         ,47,98,145,          N/A,          N/A,          N/A
2009,American Samoa                                              ,,60,,,Total Special Education Teachers                                                 ,50,111,161,          N/A,          N/A,          N/A
2009,American Samoa                                              ,,60,,,Special Education Paraprofessionals for Ages 3N/A5                                 ,0,5,5,          N/A,          N/A,          N/A
2009,American Samoa                                              ,,60,,,Special Education Paraprofessionals for Ages 6N/A21                                ,0,4,4,          N/A,          N/A,          N/A
2009,American Samoa                                              ,,60,,,Total Special Education Paraprofessionals                                        ,0,9,9,          N/A,          N/A,          N/A
2009,American Samoa                                              ,,60,,,Audiologists                                                                     ,          N/A,          N/A,          N/A,          N/A,          N/A,          N/A
2009,American Samoa                                              ,,60,,,SpeechN/ALanguage Pathologists                                                     ,          N/A,          N/A,          N/A,5,0,5
2009,American Samoa                                              ,,60,,,Interpreters                                                                     ,          N/A,          N/A,          N/A,          N/A,          N/A,          N/A
2009,American Samoa                                              ,,60,,,Psychologists                                                                    ,          N/A,          N/A,          N/A,7,0,7
2009,American Samoa                                              ,,60,,,Occupational Therapists                                                          ,          N/A,          N/A,          N/A,1,0,1
2009,American Samoa                                              ,,60,,,Physical Therapists                                                              ,          N/A,          N/A,          N/A,1,0,1
2009,American Samoa                                              ,,60,,,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,          N/A,          N/A,          N/A,          N/A,          N/A,          N/A
2009,American Samoa                                              ,,60,,,Social Workers                                                                   ,          N/A,          N/A,          N/A,1,0,1
2009,American Samoa                                              ,,60,,,Medical/Nursing Service Staff                                                    ,          N/A,          N/A,          N/A,1,0,1
2009,American Samoa                                              ,,60,,,Counselors and Rehabilitation Counselors                                         ,          N/A,          N/A,          N/A,4,1,5
2009,American Samoa                                              ,,60,,,Orientation and Mobility Specialists                                             ,          N/A,          N/A,          N/A,1,0,1
2009,Arizona                                                     ,,4,4,8,Special Education Teachers for Ages 3N/A5                                          ,590,77,668,          N/A,          N/A,          N/A
2009,Arizona                                                     ,,4,4,8,Special Education Teachers for Ages 6N/A21                                         ,"5,780",683,"6,463",          N/A,          N/A,          N/A
2009,Arizona                                                     ,,4,4,8,Total Special Education Teachers                                                 ,"6,371",760,"7,131",          N/A,          N/A,          N/A
