,"Number and percentage of public school students retained in grade 9, by race/ethnicity, disability status, and English proficiency, by state: School Year 2013-14",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,State,Total Students,Race/Ethnicity,,,,,,,,,,,,,,Students With Disabilities Served Under IDEA,,Students With Disabilities Served Only Under Section 504,,English Language Learners,,Number of Schools,Percent of Schools Reporting 
,,,"American Indian or
Alaska Native",,Asian,,Hispanic or Latino of any race,,Black or African American,,White,,Native Hawaiian or Other Pacific Islander,,Two or more races,,,,,,,,,
,,,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent,Number,Percent,Number,Percent,,
Retained in grade 9,United States,"204,860 ","2,411 ",1.2 ,"3,549 ",1.7 ,"65,726 ",32.1 ,"71,246 ",34.8 ,"56,269 ",27.5 ,"1,151 ",0.6 ,"4,508 ",2.2 ,"39,618 ",19.3 ,"6,240 ",3.0 ,"23,686 ",11.6 ,"9,090 ",100.0 
Retained in grade 9,Alabama,"4,828 ",22 ,0.5 ,19 ,0.4 ,192 ,4.0 ,"2,827 ",58.6 ,"1,712 ",35.5 ,4 ,0.1 ,52 ,1.1 ,582 ,12.1 ,55 ,1.1 ,105 ,2.2 ,263 ,100.0 
Retained in grade 9,Alaska,105 ,97 ,92.4 ,0 ,0.0 ,0 ,0.0 ,1 to 3,1.9 ,6 ,5.7 ,0 ,0.0 ,0 ,0.0 ,9 ,8.6 ,0 ,0.0 ,54 ,51.4 ,45 ,100.0 
Retained in grade 9,Arizona,"3,766 ",257 ,6.8 ,37 ,1.0 ,"2,711 ",72.0 ,257 ,6.8 ,451 ,12.0 ,8 ,0.2 ,45 ,1.2 ,463 ,12.3 ,25 ,0.7 ,273 ,7.2 ,79 ,100.0 
Retained in grade 9,Arkansas,985 ,5 ,0.5 ,9 ,0.9 ,98 ,9.9 ,474 ,48.1 ,385 ,39.1 ,1 to 3,0.2 ,12 ,1.2 ,72 ,7.3 ,37 ,3.8 ,64 ,6.5 ,101 ,100.0 
