Discipline by gender	Number of Students Without Disabilities	Percent of Students Without Disabilities	Number of American Indian or Alaska Native Students Without Disabilities	Percent of American Indian or Alaska Native Students Without Disabilities	Number of Asians Students Without Disabilities	Percent of Asians Students Without Disabilities	Number of Hispanic or Latino of any race Students Without Disabilities	Percent of Hispanic or Latino of any race Students Without Disabilities	Number of Black or African American Students Without Disabilities	Percent of Black or African American Students Without Disabilities	Number of White Students Without Disabilities	Percent of White Students Without Disabilities	Number of Native Hawaiian or Other Pacific Islander Students Without Disabilities	Percent of Native Hawaiian or Other Pacific Islander Students Without Disabilities	Number of Two or more races Students Without Disabilities	Percent of Two or more races Students Without Disabilities	Number of English Language Learners Without Disabilities 	Percent of English Language Learners Without Disabilities 	Number of Schools	State_ID	Region_ID	Division_ID
Corporal punishment on males	"19,126"	79.7	88	0.4	93	0.4	"5,881"	24.5	"3,393"	14.1	"9,278"	38.7	6	0	387	1.6	942	3.9	"8,472"	48	3	7
Corporal punishment on females	"4,863"	20.3	21	0.1	12	0.1	"1,808"	7.5	"1,024"	4.3	"1,883"	7.8	5	0	110	0.5	176	0.7	"8,472"	48	3	7
Corporal punishment total	"23,989"	100	109	0.5	105	0.4	"7,689"	32.1	"4,417"	18.4	"11,161"	46.5	11	0	497	2.1	"1,118"	4.7	"8,472"	48	3	7
One or more in-school suspensions on males	"306,219"	65	"1,264"	0.3	"4,079"	0.9	"152,247"	32.3	"64,676"	13.7	"78,252"	16.6	413	0.1	"5,288"	1.1	"31,880"	6.8	"8,472"	48	3	7
One or more in-school suspensions on females	"165,084"	35	577	0.1	"1,507"	0.3	"86,464"	18.3	"40,428"	8.6	"33,037"	7	204	0	"2,867"	0.6	"14,067"	3	"8,472"	48	3	7
One or more in-school suspensions total	"471,303"	100	"1,841"	0.4	"5,586"	1.2	"238,711"	50.6	"105,104"	22.3	"111,289"	23.6	617	0.1	"8,155"	1.7	"45,947"	9.7	"8,472"	48	3	7
Only one out-of-school suspension on males	"87,523"	65.7	343	0.3	"1,062"	0.8	"45,944"	34.5	"22,935"	17.2	"15,819"	11.9	99	0.1	"1,321"	1	"11,573"	8.7	"8,472"	48	3	7
Only one out-of-school suspension on females	"45,685"	34.3	165	0.1	343	0.3	"23,660"	17.8	"14,558"	10.9	"6,232"	4.7	48	0	679	0.5	"4,578"	3.4	"8,472"	48	3	7
Only one out-of-school suspension total	"133,208"	100	508	0.4	"1,405"	1.1	"69,604"	52.3	"37,493"	28.1	"22,051"	16.6	147	0.1	"2,000"	1.5	"16,151"	12.1	"8,472"	48	3	7
More than one out-of-school suspension on males	"58,803"	71	179	0.2	394	0.5	"30,219"	36.5	"19,491"	23.5	"7,636"	9.2	57	0.1	827	1	"7,755"	9.4	"8,472"	48	3	7
More than one out-of-school suspension on females	"24,070"	29	66	0.1	81	0.1	"11,560"	13.9	"9,788"	11.8	"2,248"	2.7	21	0	306	0.4	"2,414"	2.9	"8,472"	48	3	7
More than one out-of-school suspension total	"82,873"	100	245	0.3	475	0.6	"41,779"	50.4	"29,279"	35.3	"9,884"	11.9	78	0.1	"1,133"	1.4	"10,169"	12.3	"8,472"	48	3	7
One or more out-of-school suspensions on males	"146,340"	67.7	518	0.2	"1,459"	0.7	"76,155"	35.2	"42,444"	19.6	"23,461"	10.9	155	0.1	"2,148"	1	"19,309"	8.9	"8,472"	48	3	7
One or more out-of-school suspensions on females	"69,772"	32.3	233	0.1	421	0.2	"35,226"	16.3	"24,347"	11.3	"8,480"	3.9	69	0	996	0.5	"6,990"	3.2	"8,472"	48	3	7
One or more out-of-school suspensions total	"216,112"	100	751	0.3	"1,880"	0.9	"111,381"	51.5	"66,791"	30.9	"31,941"	14.8	224	0.1	"3,144"	1.5	"26,299"	12.2	"8,472"	48	3	7
Expulsions with educational services on males	"6,990"	73.9	25	0.3	51	0.5	"3,636"	38.4	"1,562"	16.5	"1,563"	16.5	9	0.1	144	1.5	577	6.1	"8,472"	48	3	7
Expulsions with educational services on females	"2,468"	26.1	8	0.1	18	0.2	"1,296"	13.7	524	5.5	575	6.1	DS	0	45	0.5	138	1.5	"8,472"	48	3	7
Expulsions with educational services total	"9,458"	100	33	0.3	69	0.7	"4,932"	52.1	"2,086"	22.1	"2,138"	22.6	11	0.1	189	2	715	7.6	"8,472"	48	3	7
Expulsions without educational services on males	899	79.3	7	0.6	5	0.4	444	39.2	191	16.9	236	20.8	0	0	16	1.4	53	4.7	"8,472"	48	3	7
Expulsions without educational services on females	234	20.7	0	0	DS	0.2	110	9.7	59	5.2	56	4.9	0	0	7	0.6	9	0.8	"8,472"	48	3	7
Expulsions without educational services total	"1,133"	100	7	0.6	7	0.6	554	48.9	250	22.1	292	25.8	0	0	23	2	62	5.5	"8,472"	48	3	7
Expulsions with or without educational services on males	"7,904"	74.5	33	0.3	56	0.5	"4,083"	38.5	"1,759"	16.6	"1,804"	17	9	0.1	160	1.5	624	5.9	"8,472"	48	3	7
Expulsions with or without educational services on females	"2,704"	25.5	8	0.1	19	0.2	"1,409"	13.3	583	5.5	631	5.9	DS	0	52	0.5	148	1.4	"8,472"	48	3	7
Expulsions with or without educational services total	"10,608"	100	41	0.4	75	0.7	"5,492"	51.8	"2,342"	22.1	"2,435"	23	11	0.1	212	2	772	7.3	"8,472"	48	3	7
Expulsions under zero-tolerance policies on males	"4,187"	65.9	9	0.1	35	0.6	"2,673"	42.1	696	11	690	10.9	DS	0	82	1.3	402	6.3	"8,472"	48	3	7
Expulsions under zero-tolerance policies on females	"2,166"	34.1	12	0.2	30	0.5	"1,430"	22.5	261	4.1	393	6.2	DS	0	38	0.6	180	2.8	"8,472"	48	3	7
Expulsions under zero-tolerance policies total	"6,353"	100	21	0.3	65	1	"4,103"	64.6	957	15.1	"1,083"	17	4	0.1	120	1.9	582	9.2	"8,472"	48	3	7
Referral to law enforcement on males	"11,896"	69.9	50	0.3	92	0.5	"6,438"	37.8	"2,491"	14.6	"2,633"	15.5	19	0.1	173	1	876	5.1	"8,472"	48	3	7
Referral to law enforcement on females	"5,122"	30.1	30	0.2	33	0.2	"2,604"	15.3	"1,387"	8.2	972	5.7	5	0	91	0.5	272	1.6	"8,472"	48	3	7
Referral to law enforcement total	"17,018"	100	80	0.5	125	0.7	"9,042"	53.1	"3,878"	22.8	"3,605"	21.2	24	0.1	264	1.6	"1,148"	6.7	"8,472"	48	3	7
School-related arrests on males	"4,150"	73.1	24	0.4	41	0.7	"2,703"	47.6	632	11.1	677	11.9	6	0.1	67	1.2	474	8.4	"8,472"	48	3	7
School-related arrests on females	"1,524"	26.9	15	0.3	11	0.2	948	16.7	274	4.8	238	4.2	DS	0	36	0.6	180	3.2	"8,472"	48	3	7
School-related arrests total	"5,674"	100	39	0.7	52	0.9	"3,651"	64.3	906	16	915	16.1	8	0.1	103	1.8	654	11.5	"8,472"	48	3	7
