County,2000 Total Population,2000 Family Investment,2000 Percentage,2010 Total Population,2010 Family Investment,2010 Percentage,2000-2010 Change,County_ID,State_ID,Region_ID,Division_ID,Nation_ID,IA_Region
Adair,"8,243",74,0.90%,"7,682",50,0.70%,-27.50%,19_001,19,2,4,,
Adams,"4,482",43,1.00%,"4,029",43,1.10%,11.20%,19_002,19,2,4,,
Allamakee,"14,675",97,0.70%,"14,330",306,2.10%,223.10%,19_003,19,2,4,,
Appanoose,"13,721",491,3.60%,"12,887",289,2.20%,-37.30%,19_004,19,2,4,,
Audubon,"6,830",64,0.90%,"6,119",36,0.60%,-37.20%,19_005,19,2,4,,
Benton,"25,308",267,1.10%,"26,076",211,0.80%,-23.30%,19_006,19,2,4,,
Black Hawk,"128,012","4,235",3.30%,"131,090","2,794",2.10%,-35.60%,19_007,19,2,4,,
Boone,"26,224",212,0.80%,"26,306",339,1.30%,59.40%,19_008,19,2,4,,
Bremer,"23,325",201,0.90%,"24,276",146,0.60%,-30.20%,19_009,19,2,4,,
Buchanan,"21,093",260,1.20%,"20,958",198,0.90%,-23.40%,19_010,19,2,4,,
Buena Vista,"20,411",259,1.30%,"20,260",315,1.60%,22.50%,19_011,19,2,4,,
Butler,"15,305",161,1.10%,"14,867",179,1.20%,14.50%,19_012,19,2,4,,
Calhoun,"11,115",126,1.10%,"9,670",81,0.80%,-26.10%,19_013,19,2,4,,
Carroll,"21,421",170,0.80%,"20,816",178,0.90%,7.70%,19_014,19,2,4,,
Cass,"14,684",220,1.50%,"13,956",178,1.30%,-14.90%,19_015,19,2,4,,
Cedar,"18,187",166,0.90%,"18,499",131,0.70%,-22.40%,19_016,19,2,4,,
Cerro Gordo,"46,447",619,1.30%,"44,151",504,1.10%,-14.30%,19_017,19,2,4,,
Cherokee,"13,035",157,1.20%,"12,072",61,0.50%,-58.00%,19_018,19,2,4,,
Chickasaw,"13,095",160,1.20%,"12,439",134,1.10%,-11.80%,19_019,19,2,4,,
Clarke,"9,133",163,1.80%,"9,286",147,1.60%,-11.30%,19_020,19,2,4,,
Clay,"17,372",212,1.20%,"16,667",284,1.70%,39.60%,19_021,19,2,4,,
Clayton,"18,678",100,0.50%,"18,129",137,0.80%,41.10%,19_022,19,2,4,,
Clinton,"50,149","1,372",2.70%,"49,116","1,041",2.10%,-22.50%,19_023,19,2,4,,
Crawford,"16,942",238,1.40%,"17,096",304,1.80%,26.60%,19_024,19,2,4,,
Dallas,"40,750",252,0.60%,"66,135",451,0.70%,10.30%,19_025,19,2,4,,
Davis,"8,541",91,1.10%,"8,753",94,1.10%,0.80%,19_026,19,2,4,,
Decatur,"8,689",161,1.90%,"8,457",129,1.50%,-17.70%,19_027,19,2,4,,
Delaware,"18,404",207,1.10%,"17,764",191,1.10%,-4.40%,19_028,19,2,4,,
Des Moines,"42,351","1,291",3.00%,"40,325",978,2.40%,-20.40%,19_029,19,2,4,,
Dickinson,"16,424",130,0.80%,"16,667",138,0.80%,4.60%,19_030,19,2,4,,
Dubuque,"89,143","1,293",1.50%,"93,653","1,607",1.70%,18.30%,19_031,19,2,4,,
Emmet,"11,027",111,1.00%,"10,302",165,1.60%,59.10%,19_032,19,2,4,,
Fayette,"22,008",458,2.10%,"20,880",357,1.70%,-17.80%,19_033,19,2,4,,
Floyd,"16,900",301,1.80%,"16,303",216,1.30%,-25.60%,19_034,19,2,4,,
Franklin,"10,704",94,0.90%,"10,680",114,1.10%,21.50%,19_035,19,2,4,,
Fremont,"8,010",181,2.30%,"7,441",81,1.10%,-51.80%,19_036,19,2,4,,
