,2000,2000,,2013,2013,,
,,Free/Red.,,,Free/Red.,,2000-2013
County,Enrollment,Eligible,Percentage,Enrollment,Eligible,Percentage,Change
Adair,"1,112",389,35.00%,859,353,41.10%,17.50%
Adams,744,256,34.40%,518,237,45.80%,33.00%
Allamakee,"2,641",816,30.90%,"2,249","1,227",54.60%,76.60%
Appanoose,"2,316","1,022",44.10%,"2,061",976,47.40%,7.30%
Audubon,"1,142",312,27.30%,755,257,34.00%,24.60%
Benton,"4,239",846,20.00%,"3,815","1,135",29.80%,49.10%
Black Hawk,"17,614","6,290",35.70%,"18,594","9,022",48.50%,35.90%
Boone,"4,186",904,21.60%,"3,873","1,298",33.50%,55.20%
Bremer,"5,082",796,15.70%,"5,200","1,085",20.90%,33.20%
Buchanan,"3,201",759,23.70%,"3,002",890,29.60%,25.00%
Buena Vista,"3,897","1,413",36.30%,"4,138","2,570",62.10%,71.30%
Butler,"2,123",466,22.00%,"1,970",662,33.60%,53.10%
Calhoun,"2,470",682,27.60%,"1,747",647,37.00%,34.10%
Carroll,"3,362",856,25.50%,"2,621",888,33.90%,33.10%
Cass,"2,986",885,29.60%,"2,877","1,172",40.70%,37.40%
Cedar,"3,663",664,18.10%,"3,449",956,27.70%,52.90%
Cerro Gordo,"7,046","1,862",26.40%,"6,465","2,788",43.10%,63.20%
Cherokee,"2,278",462,20.30%,"1,807",682,37.70%,86.10%
Chickasaw,"2,624",561,21.40%,"2,078",634,30.50%,42.70%
Clarke,"1,876",723,38.50%,"1,820",937,51.50%,33.60%
Clay,"2,851",670,23.50%,"2,429","1,042",42.90%,82.50%
Clayton,"3,526","1,033",29.30%,"2,025",785,38.80%,32.30%
Clinton,"8,745","2,386",27.30%,"8,172","3,407",41.70%,52.80%
Crawford,"2,659","1,035",38.90%,"3,810","2,225",58.40%,50.00%
Dallas,"8,338","1,512",18.10%,"15,372","3,540",23.00%,27.00%
Davis,"1,214",344,28.30%,"1,288",504,39.10%,38.10%
Decatur,"1,598",673,42.10%,"1,135",669,58.90%,40.00%
Delaware,"3,597",824,22.90%,"2,829","1,034",36.60%,59.60%
Des Moines,"7,178","2,142",29.80%,"6,772","3,530",52.10%,74.70%
Dickinson,"2,851",577,20.20%,"2,662",768,28.90%,42.60%
Dubuque,"12,462","3,347",26.90%,"14,606","5,081",34.80%,29.50%
Emmet,"1,959",602,30.70%,"1,641",730,44.50%,44.80%
Fayette,"4,428","1,413",31.90%,"3,568","1,625",45.50%,42.70%
Floyd,"2,980",934,31.30%,"2,109",969,45.90%,46.60%
Franklin,"1,916",500,26.10%,"1,535",823,53.60%,105.50%
