State	Nation_ID	State_ID	Region_ID	Division_ID	Total Non-IDEA Male Students	Number of American Indian or Alaska Native	Percent of American Indian or Alaska Native	Number of Asians	Percent of Asians	Number of Hispanic or Latino of any race	Percent of Hispanic or Latino of any race	Number of Black or African American 	Percent of Black or African American 	Number of Whites	Percent of Whites	Number of Native Hawaiian or Other Pacific Islander	Percent of Native Hawaiian or Other Pacific Islander	Number of Two or more races	Percent of Two or more races	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of English Language Learners	Percent of English Language Learners	Number of Schools
United States	US_National				"4,207"	29	0.7	112	2.7	"1,020"	24.2	"1,702"	40.5	"1,276"	30.3	9	0.2	59	1.4	82	1.9	204	4.8	"95,635"
Alabama		1	3	6	20	0	0	0	0	0	0	18	90	DS	10	0	0	0	0	0	0	DS	10	"1,432"
Alaska		2	4	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	493
Arizona		4	4	8	16	DS	12.5	0	0	DS	12.5	0	0	12	75	0	0	0	0	DS	12.5	0	0	"1,920"
Arkansas		5	3	7	100	0	0	DS	DS	0	0	45	45	51	51	0	0	DS	DS	DS	DS	0	0	"1,097"
California		6	4	9	296	4	1.4	DS	0.7	225	76	33	11.1	28	9.5	DS	0.7	DS	0.7	DS	0.7	50	16.9	"9,866"
Colorado		8	4	8	38	0	0	0	0	18	47.4	5	13.2	15	39.5	0	0	0	0	0	0	0	0	"1,811"
Connecticut		9	1	1	6	0	0	0	0	DS	33.3	DS	33.3	DS	33.3	0	0	0	0	0	0	0	0	"1,122"
Delaware		10	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	232
District of Columbia		11	3	5	DS	0	0	0	0	0	0	DS	100	0	0	0	0	0	0	0	0	0	0	211
Florida		12	3	5	12	0	0	DS	16.7	6	50	DS	16.7	DS	16.7	0	0	0	0	0	0	0	0	"3,886"
Georgia		13	3	5	"1,020"	DS	0.2	99	9.7	252	24.7	603	59.1	37	3.6	0	0	27	2.6	DS	0.2	80	7.8	"2,422"
Hawaii		15	4	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	286
Idaho		16	4	8	DS	0	0	0	0	0	0	0	0	DS	100	0	0	0	0	0	0	0	0	703
Illinois		17	2	3	39	0	0	0	0	DS	5.1	10	25.6	27	69.2	0	0	0	0	9	23.1	0	0	"4,221"
Indiana		18	2	3	71	0	0	0	0	DS	2.8	18	25.4	49	69	0	0	DS	2.8	0	0	DS	2.8	"1,875"
Iowa		19	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"1,458"
Kansas		20	2	4	14	0	0	0	0	DS	14.3	DS	14.3	10	71.4	0	0	0	0	0	0	0	0	"1,389"
Kentucky		21	3	6	DS	0	0	0	0	0	0	0	0	DS	100	0	0	0	0	0	0	0	0	"1,417"
