County,2000 9th Gr. Enrollment,2000 Graduates,2000 Percentage,2009 9th Gr. Enrollment,2009 Graduates,2009 Percentage,2000-2009 Change,County_ID,State_ID,Region_ID,Division_ID,Nation_ID,IA_Region
Adair,98,86,87.80%,99,96,97.00%,10.50%,19_001,19,2,4,,
Adams,54,50,92.60%,60,60,100.00%,8.00%,19_002,19,2,4,,
Allamakee,226,212,93.80%,206,201,97.60%,4.00%,19_003,19,2,4,,
Appanoose,191,155,81.20%,197,174,88.30%,8.80%,19_004,19,2,4,,
Audubon,71,65,91.50%,79,74,93.70%,2.30%,19_005,19,2,4,,
Benton,305,276,90.50%,318,283,89.00%,-1.70%,19_006,19,2,4,,
Black Hawk,"1,509","1,177",78.00%,"1,467","1,190",81.10%,4.00%,19_007,19,2,4,,
Boone,327,288,88.10%,326,291,89.30%,1.40%,19_008,19,2,4,,
Bremer,450,416,92.40%,397,373,94.00%,1.60%,19_009,19,2,4,,
Buchanan,305,283,92.80%,225,203,90.20%,-2.80%,19_010,19,2,4,,
Buena Vista,341,311,91.20%,345,253,73.30%,-19.60%,19_011,19,2,4,,
Butler,176,172,97.70%,143,137,95.80%,-2.00%,19_012,19,2,4,,
Calhoun,184,172,93.50%,176,172,97.70%,4.50%,19_013,19,2,4,,
Carroll,244,239,98.00%,277,258,93.10%,-4.90%,19_014,19,2,4,,
Cass,257,235,91.40%,221,201,91.00%,-0.50%,19_015,19,2,4,,
Cedar,286,271,94.80%,269,252,93.70%,-1.10%,19_016,19,2,4,,
Cerro Gordo,498,442,88.80%,459,385,83.90%,-5.50%,19_017,19,2,4,,
Cherokee,186,171,91.90%,151,142,94.00%,2.30%,19_018,19,2,4,,
Chickasaw,214,203,94.90%,175,162,92.60%,-2.40%,19_019,19,2,4,,
Clarke,137,117,85.40%,131,101,77.10%,-9.70%,19_020,19,2,4,,
Clay,221,211,95.50%,211,187,88.60%,-7.20%,19_021,19,2,4,,
Clayton,326,312,95.70%,205,190,92.70%,-3.20%,19_022,19,2,4,,
Clinton,727,614,84.50%,665,551,82.90%,-1.90%,19_023,19,2,4,,
Crawford,185,179,96.80%,259,247,95.40%,-1.40%,19_024,19,2,4,,
Dallas,561,510,90.90%,815,768,94.20%,3.70%,19_025,19,2,4,,
Davis,109,95,87.20%,105,101,96.20%,10.40%,19_026,19,2,4,,
Decatur,116,99,85.30%,85,81,95.30%,11.70%,19_027,19,2,4,,
Delaware,322,292,90.70%,281,267,95.00%,4.80%,19_028,19,2,4,,
Des Moines,533,485,91.00%,534,427,80.00%,-12.10%,19_029,19,2,4,,
Dickinson,246,224,91.10%,222,213,95.90%,5.40%,19_030,19,2,4,,
Dubuque,"1,075",978,91.00%,"1,132",977,86.30%,-5.10%,19_031,19,2,4,,
Emmet,175,162,92.60%,116,113,97.40%,5.20%,19_032,19,2,4,,
Fayette,366,346,94.50%,353,322,91.20%,-3.50%,19_033,19,2,4,,
Floyd,255,223,87.50%,208,193,92.80%,6.10%,19_034,19,2,4,,
Franklin,197,184,93.40%,195,184,94.40%,1.00%,19_035,19,2,4,,
Fremont,96,92,95.80%,121,113,93.40%,-2.60%,19_036,19,2,4,,
Greene,179,170,95.00%,141,125,88.70%,-6.70%,19_037,19,2,4,,
Grundy,164,149,90.90%,274,262,95.60%,5.20%,19_038,19,2,4,,
Guthrie,204,192,94.10%,204,198,97.10%,3.10%,19_039,19,2,4,,
Hamilton,222,213,95.90%,222,198,89.20%,-7.00%,19_040,19,2,4,,
Hancock,213,197,92.50%,172,163,94.80%,2.50%,19_041,19,2,4,,
Hardin,354,332,93.80%,222,206,92.80%,-1.10%,19_042,19,2,4,,
Harrison,299,280,93.60%,253,243,96.00%,2.60%,19_043,19,2,4,,
Henry,327,307,93.90%,294,255,86.70%,-7.60%,19_044,19,2,4,,
Howard,199,189,95.00%,164,149,90.90%,-4.30%,19_045,19,2,4,,
Humboldt,156,150,96.20%,111,100,90.10%,-6.30%,19_046,19,2,4,,
Ida,117,114,97.40%,108,104,96.30%,-1.20%,19_047,19,2,4,,
Iowa,222,216,97.30%,215,209,97.20%,-0.10%,19_048,19,2,4,,
Jackson,310,278,89.70%,261,244,93.50%,4.20%,19_049,19,2,4,,
Jasper,490,387,79.00%,484,450,93.00%,17.70%,19_050,19,2,4,,
Jefferson,168,144,85.70%,148,130,87.80%,2.50%,19_051,19,2,4,,
Johnson,945,883,93.40%,967,897,92.80%,-0.70%,19_052,19,2,4,,
Jones,279,253,90.70%,277,248,89.50%,-1.30%,19_053,19,2,4,,
Keokuk,193,182,94.30%,185,158,85.40%,-9.40%,19_054,19,2,4,,
Kossuth,207,199,96.10%,132,123,93.20%,-3.10%,19_055,19,2,4,,
Lee,505,429,85.00%,470,385,81.90%,-3.60%,19_056,19,2,4,,
Linn,"2,104","1,946",92.50%,"2,611","2,248",86.10%,-6.90%,19_057,19,2,4,,
Louisa,221,175,79.20%,219,185,84.50%,6.70%,19_058,19,2,4,,
Lucas,136,112,82.40%,139,125,89.90%,9.20%,19_059,19,2,4,,
Lyon,192,186,96.90%,149,142,95.30%,-1.60%,19_119,19,2,4,,
Madison,192,184,95.80%,252,237,94.00%,-1.90%,19_121,19,2,4,,
Mahaska,267,221,82.80%,256,216,84.40%,1.90%,19_123,19,2,4,,
Marion,428,378,88.30%,445,414,93.00%,5.30%,19_125,19,2,4,,
Marshall,473,434,91.80%,535,423,79.10%,-13.80%,19_127,19,2,4,,
Mills,210,189,90.00%,205,193,94.10%,4.60%,19_129,19,2,4,,
Mitchell,162,148,91.40%,166,158,95.20%,4.20%,19_131,19,2,4,,
Monona,145,130,89.70%,131,119,90.80%,1.30%,19_133,19,2,4,,
Monroe,106,98,92.50%,90,82,91.10%,-1.50%,19_135,19,2,4,,
Montgomery,160,139,86.90%,157,130,82.80%,-4.70%,19_137,19,2,4,,
Muscatine,678,498,73.50%,664,530,79.80%,8.70%,19_139,19,2,4,,
O'Brien,231,207,89.60%,191,177,92.70%,3.40%,19_141,19,2,4,,
Osceola,75,72,96.00%,89,82,92.10%,-4.00%,19_143,19,2,4,,
Page,237,206,86.90%,245,205,83.70%,-3.70%,19_145,19,2,4,,
Palo Alto,162,156,96.30%,152,150,98.70%,2.50%,19_147,19,2,4,,
Plymouth,359,342,95.30%,339,314,92.60%,-2.80%,19_149,19,2,4,,
Pocahontas,107,101,94.40%,111,108,97.30%,3.10%,19_151,19,2,4,,
Polk,"3,952","3,343",84.60%,"4,762","3,947",82.90%,-2.00%,19_153,19,2,4,,
Pottawattamie,971,840,86.50%,"1,262","1,013",80.30%,-7.20%,19_155,19,2,4,,
Poweshiek,230,216,93.90%,233,215,92.30%,-1.70%,19_157,19,2,4,,
Ringgold,85,81,95.30%,60,60,100.00%,4.90%,19_159,19,2,4,,
Sac,200,193,96.50%,141,135,95.70%,-0.80%,19_161,19,2,4,,
Scott,"2,097","1,831",87.30%,"2,186","1,691",77.40%,-11.40%,19_163,19,2,4,,
Shelby,219,207,94.50%,196,187,95.40%,0.90%,19_165,19,2,4,,
Sioux,362,345,95.30%,314,295,93.90%,-1.40%,19_167,19,2,4,,
Story,896,850,94.90%,820,773,94.30%,-0.60%,19_169,19,2,4,,
Tama,272,238,87.50%,193,164,85.00%,-2.90%,19_171,19,2,4,,
Taylor,98,91,92.90%,78,70,89.70%,-3.40%,19_173,19,2,4,,
Union,221,173,78.30%,147,120,81.60%,4.30%,19_175,19,2,4,,
Van Buren,119,113,95.00%,85,75,88.20%,-7.10%,19_177,19,2,4,,
Wapello,562,428,76.20%,481,379,78.80%,3.50%,19_179,19,2,4,,
