,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Number and percentage of public school students retained, by race/ethnicity, disability status, and English proficiency, by gender and grade: School Year 2011-12",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Grade,Gender,Total Students,,Race/Ethnicity,,,,,,,,,,,,,,Students With Disabilities Served Under IDEA,,Students With Disabilities Served Only Under Section 504,,English Language Learners,,Number of Schools,Percent of Schools Reporting 
,,,,,,"American Indian or
Alaska Native",,Asian,,Hispanic or Latino of any race,,Black or African American,,White,,Native Hawaiian or Other Pacific Islander,,Two or more races,,,,,,,,,
,,,,Number,Percent,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent,Number,Percent,Number,Percent,,
Retention of students,Colorado,,Male,660 ,61.7 ,9 ,0.8 ,8 ,0.7 ,224 ,21.0 ,19 ,1.8 ,379 ,35.5 ,1-3 ,0.2 ,19 ,1.8 ,161 ,15.1 ,1-3 ,0.2 ,77 ,7.2 ,"1,037 ",100.0 
Retention of students,Colorado,Kindergarten,Female,409 ,38.3 ,7 ,0.7 ,11 ,1.0 ,138 ,12.9 ,10 ,0.9 ,219 ,20.5 ,1-3 ,0.2 ,22 ,2.1 ,77 ,7.2 ,1-3 ,0.2 ,48 ,4.5 ,"1,037 ",100.0 
Retention of students,Colorado,,Total,"1,069 ",100.0 ,16 ,1.5 ,19 ,1.8 ,362 ,33.9 ,29 ,2.7 ,598 ,55.9 ,4 ,0.4 ,41 ,3.8 ,238 ,22.3 ,4 ,0.4 ,125 ,11.7 ,"1,037 ",100.0 
Retention of students,Colorado,,Male,417 ,60.3 ,1-3 ,0.3 ,7 ,1.0 ,211 ,30.5 ,18 ,2.6 ,168 ,24.3 ,1-3 ,0.3 ,9 ,1.3 ,78 ,11.3 ,1-3 ,0.3 ,103 ,14.9 ,"1,039 ",100.0 
Retention of students,Colorado,1,Female,274 ,39.7 ,1-3 ,0.3 ,5 ,0.7 ,123 ,17.8 ,15 ,2.2 ,122 ,17.7 ,1-3 ,0.3 ,5 ,0.7 ,36 ,5.2 ,1-3 ,0.3 ,56 ,8.1 ,"1,039 ",100.0 
Retention of students,Colorado,,Total,691 ,100.0 ,4 ,0.6 ,12 ,1.7 ,334 ,48.3 ,33 ,4.8 ,290 ,42.0 ,4 ,0.6 ,14 ,2.0 ,114 ,16.5 ,4 ,0.6 ,159 ,23.0 ,"1,039 ",100.0 
Retention of students,Colorado,,Male,206 ,54.4 ,1-3 ,0.5 ,1-3 ,0.5 ,92 ,24.3 ,13 ,3.4 ,89 ,23.5 ,0 ,0.0 ,8 ,2.1 ,44 ,11.6 ,1-3 ,0.5 ,43 ,11.3 ,"1,039 ",100.0 
