Discipline by gender	Number of Students Without Disabilities	Percent of Students Without Disabilities	Number of American Indian or Alaska Native Students Without Disabilities	Percent of American Indian or Alaska Native Students Without Disabilities	Number of Asian Students Without Disabilities	Percent of Asian Students Without Disabilities	Number of Hispanic or Latino of any race Students Without Disabilities	Percent of Hispanic or Latino of any race Students Without Disabilities	Number of Black or African American Students Without Disabilities	Percent of Black or African American Students Without Disabilities	Number of White Students Without Disabilities	Percent of White Students Without Disabilities	Number of Native Hawaiian or Other Pacific Islander Students Without Disabilities	Percent of Native Hawaiian or Other Pacific Islander Students Without Disabilities	Number of Two or more races Students Without Disabilities	Percent of Two or more races Students Without Disabilities	Number of English Language Learners Without Disabilities 	Percent of English Language Learners Without Disabilities 	Number of Schools	State_ID	Region_ID	Division_ID
Corporal punishment on males	32	62.7	8	15.7	0	0	0	0	DS	3.9	22	43.1	0	0	0	0	0	0	468	38	2	4
Corporal punishment on females	19	37.3	7	13.7	0	0	DS	3.9	0	0	10	19.6	0	0	0	0	0	0	468	38	2	4
Corporal punishment total	51	100	15	29.4	0	0	DS	3.9	DS	3.9	32	62.7	0	0	0	0	0	0	468	38	2	4
One or more in-school suspensions on males	"1,530"	69.5	346	15.7	11	0.5	44	2	89	4	"1,033"	46.9	5	0.2	DS	0.1	86	3.9	468	38	2	4
One or more in-school suspensions on females	672	30.5	235	10.7	DS	0.1	21	1	31	1.4	383	17.4	0	0	0	0	41	1.9	468	38	2	4
One or more in-school suspensions total	"2,202"	100	581	26.4	13	0.6	65	3	120	5.4	"1,416"	64.3	5	0.2	DS	0.1	127	5.8	468	38	2	4
Only one out-of-school suspension on males	708	68.2	196	18.9	4	0.4	21	2	36	3.5	447	43.1	DS	0.2	DS	0.2	42	4	468	38	2	4
Only one out-of-school suspension on females	330	31.8	123	11.8	0	0	8	0.8	9	0.9	188	18.1	DS	0.2	0	0	20	1.9	468	38	2	4
Only one out-of-school suspension total	"1,038"	100	319	30.7	4	0.4	29	2.8	45	4.3	635	61.2	4	0.4	DS	0.2	62	6	468	38	2	4
More than one out-of-school suspension on males	338	72.5	109	23.4	DS	0.4	13	2.8	17	3.6	195	41.8	0	0	DS	0.4	8	1.7	468	38	2	4
More than one out-of-school suspension on females	128	27.5	65	13.9	0	0	4	0.9	4	0.9	53	11.4	DS	0.4	0	0	4	0.9	468	38	2	4
More than one out-of-school suspension total	466	100	174	37.3	DS	0.4	17	3.6	21	4.5	248	53.2	DS	0.4	DS	0.4	12	2.6	468	38	2	4
One or more out-of-school suspensions on males	"1,044"	69.5	305	20.3	5	0.3	36	2.4	56	3.7	638	42.5	DS	0.1	DS	0.1	50	3.3	468	38	2	4
One or more out-of-school suspensions on females	458	30.5	190	12.6	0	0	13	0.9	13	0.9	240	16	DS	0.1	0	0	24	1.6	468	38	2	4
One or more out-of-school suspensions total	"1,502"	100	495	33	5	0.3	49	3.3	69	4.6	878	58.5	4	0.3	DS	0.1	74	4.9	468	38	2	4
Expulsions with educational services on males	21	91.3	5	21.7	0	0	0	0	DS	8.7	14	60.9	0	0	0	0	0	0	468	38	2	4
Expulsions with educational services on females	DS	8.7	0	0	0	0	0	0	0	0	DS	8.7	0	0	0	0	0	0	468	38	2	4
Expulsions with educational services total	23	100	5	21.7	0	0	0	0	DS	8.7	16	69.6	0	0	0	0	0	0	468	38	2	4
Expulsions without educational services on males	30	81.1	9	24.3	0	0	0	0	DS	5.4	19	51.4	0	0	0	0	DS	5.4	468	38	2	4
Expulsions without educational services on females	7	18.9	5	13.5	0	0	0	0	0	0	DS	5.4	0	0	0	0	0	0	468	38	2	4
Expulsions without educational services total	37	100	14	37.8	0	0	0	0	DS	5.4	21	56.8	0	0	0	0	DS	5.4	468	38	2	4
Expulsions with or without educational services on males	49	81.7	14	23.3	0	0	0	0	DS	3.3	33	55	0	0	0	0	DS	3.3	468	38	2	4
Expulsions with or without educational services on females	11	18.3	5	8.3	0	0	0	0	0	0	6	10	0	0	0	0	0	0	468	38	2	4
Expulsions with or without educational services total	60	100	19	31.7	0	0	0	0	DS	3.3	39	65	0	0	0	0	DS	3.3	468	38	2	4
Expulsions under zero-tolerance policies on males	14	87.5	6	37.5	0	0	0	0	DS	12.5	6	37.5	0	0	0	0	DS	12.5	468	38	2	4
Expulsions under zero-tolerance policies on females	DS	12.5	DS	12.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	468	38	2	4
Expulsions under zero-tolerance policies total	16	100	8	50	0	0	0	0	DS	12.5	6	37.5	0	0	0	0	DS	12.5	468	38	2	4
Referral to law enforcement on males	285	74.2	54	14.1	DS	0.5	14	3.6	10	2.6	205	53.4	0	0	0	0	6	1.6	468	38	2	4
Referral to law enforcement on females	99	25.8	20	5.2	0	0	6	1.6	DS	0.5	69	18	DS	0.5	0	0	4	1	468	38	2	4
Referral to law enforcement total	384	100	74	19.3	DS	0.5	20	5.2	12	3.1	274	71.4	DS	0.5	0	0	10	2.6	468	38	2	4
School-related arrests on males	99	75.6	18	13.7	DS	1.5	4	3.1	4	3.1	71	54.2	0	0	0	0	DS	1.5	468	38	2	4
School-related arrests on females	32	24.4	10	7.6	0	0	DS	1.5	0	0	20	15.3	0	0	0	0	DS	1.5	468	38	2	4
School-related arrests total	131	100	28	21.4	DS	1.5	6	4.6	4	3.1	91	69.5	0	0	0	0	4	3.1	468	38	2	4
