County,2000 Age 15-19 Population,2000 Deaths,2000 Rate,2011 Age 15-19 Population,2011 Deaths,2011 Rate,2000-2011 Change,County_ID,State_ID,Region_ID,Division_ID,Nation_ID,IA_Region
Adair,602,C,N/A,454,0,0,-100.00%,19_001,19,2,4,,
Adams,283,0,0,256,0,0,0.00%,19_002,19,2,4,,
Allamakee,"1,043",C,N/A,920,0,0,-100.00%,19_003,19,2,4,,
Appanoose,945,0,0,822,0,0,0.00%,19_004,19,2,4,,
Audubon,459,0,0,423,C,N/A,N/A,19_005,19,2,4,,
Benton,"1,801",0,0,"1,864",0,0,0.00%,19_006,19,2,4,,
Black Hawk,"11,096",0,0,"10,139",C,N/A,N/A,19_007,19,2,4,,
Boone,"1,936",C,N/A,"1,897",C,N/A,N/A,19_008,19,2,4,,
Bremer,"2,175",0,0,"2,104",C,N/A,N/A,19_009,19,2,4,,
Buchanan,"1,736",C,N/A,"1,403",0,0,-100.00%,19_010,19,2,4,,
Buena Vista,"1,852",C,N/A,"1,734",C,N/A,N/A,19_011,19,2,4,,
Butler,"1,098",C,N/A,853,0,0,-100.00%,19_012,19,2,4,,
Calhoun,801,0,0,574,C,N/A,N/A,19_013,19,2,4,,
Carroll,"1,723",C,N/A,"1,393",0,0,-100.00%,19_014,19,2,4,,
Cass,"1,072",C,N/A,841,C,N/A,N/A,19_015,19,2,4,,
Cedar,"1,366",0,0,"1,240",C,N/A,N/A,19_016,19,2,4,,
Cerro Gordo,"3,526",C,N/A,"3,021",C,N/A,N/A,19_017,19,2,4,,
Cherokee,"1,000",0,0,722,C,N/A,N/A,19_018,19,2,4,,
Chickasaw,"1,011",0,0,837,C,N/A,N/A,19_019,19,2,4,,
Clarke,688,0,0,605,0,0,0.00%,19_020,19,2,4,,
Clay,"1,224",C,N/A,"1,039",0,0,-100.00%,19_021,19,2,4,,
Clayton,"1,399",C,N/A,"1,154",0,0,-100.00%,19_022,19,2,4,,
Clinton,"3,714",C,N/A,"3,321",C,N/A,N/A,19_023,19,2,4,,
Crawford,"1,421",0,0,"1,336",C,N/A,N/A,19_024,19,2,4,,
Dallas,"2,816",C,N/A,"3,622",C,N/A,N/A,19_025,19,2,4,,
Davis,643,0,0,623,C,N/A,N/A,19_026,19,2,4,,
Decatur,886,C,N/A,764,0,0,-100.00%,19_027,19,2,4,,
Delaware,"1,536",6,391,"1,265",0,0,-100.00%,19_028,19,2,4,,
Des Moines,"3,124",0,0,"2,546",C,N/A,N/A,19_029,19,2,4,,
Dickinson,"1,020",0,0,849,0,0,0.00%,19_030,19,2,4,,
Dubuque,"7,075",C,N/A,"6,911",0,0,-100.00%,19_031,19,2,4,,
Emmet,"1,039",0,0,876,0,0,0.00%,19_032,19,2,4,,
Fayette,"1,701",C,N/A,"1,582",0,0,-100.00%,19_033,19,2,4,,
Floyd,"1,200",0,0,"1,139",0,0,0.00%,19_034,19,2,4,,
Franklin,847,0,0,700,0,0,0.00%,19_035,19,2,4,,
Fremont,557,0,0,503,0,0,0.00%,19_036,19,2,4,,
Greene,779,C,N/A,608,C,N/A,N/A,19_037,19,2,4,,
Grundy,893,0,0,842,0,0,0.00%,19_038,19,2,4,,
Guthrie,761,0,0,708,0,0,0.00%,19_039,19,2,4,,
Hamilton,"1,128",C,N/A,975,C,N/A,N/A,19_040,19,2,4,,
Hancock,961,0,0,698,0,0,0.00%,19_041,19,2,4,,
Hardin,"1,737",0,0,"1,363",C,N/A,N/A,19_042,19,2,4,,
Harrison,"1,119",C,N/A,"1,047",C,N/A,N/A,19_043,19,2,4,,
Henry,"1,536",C,N/A,"1,376",0,0,-100.00%,19_044,19,2,4,,
Howard,741,C,N/A,629,0,0,-100.00%,19_045,19,2,4,,
Humboldt,832,0,0,588,0,0,0.00%,19_046,19,2,4,,
Ida,586,0,0,425,0,0,0.00%,19_047,19,2,4,,
Iowa,"1,070",0,0,"1,147",C,N/A,N/A,19_048,19,2,4,,
Jackson,"1,498",C,N/A,"1,353",C,N/A,N/A,19_049,19,2,4,,
Jasper,"2,442",C,N/A,"2,285",5,219,N/A,19_050,19,2,4,,
Jefferson,"1,213",0,0,944,0,0,0.00%,19_051,19,2,4,,
Johnson,"10,933",C,N/A,"10,920",C,N/A,N/A,19_052,19,2,4,,
Jones,"1,378",0,0,"1,303",0,0,0.00%,19_053,19,2,4,,
Keokuk,864,C,N/A,708,C,N/A,N/A,19_054,19,2,4,,
Kossuth,"1,390",C,N/A,"1,017",C,N/A,N/A,19_055,19,2,4,,
Lee,"2,638",C,N/A,"2,371",5,211,N/A,19_056,19,2,4,,
