Disciplinary Action,Number of Students With and Without Disabilities,Percent of Students With and Without Disabilities,Number of Students With Disabilities Served Only Under Section 504,Percent of Students With Disabilities Served Only Under Section 504,Number of Students Without Disabilities and With Disabilities Served Under IDEA,Percent of Students Without Disabilities and With Disabilities Served Under IDEA,"Number of American Indian or
Alaska Native","Percent of American Indian or
Alaska Native",Number of Asians,Percent of Asians,Number of Hispanic or Latino of any race,Percent of Hispanic or Latino of any race,Number of Black or African American,Percent of Black or African American,Number of Whites,Percent of Whites,Number of Native Hawaiian or Other Pacific Islander,Percent of Native Hawaiian or Other Pacific Islander,Number of Two or more races,Percent of Two or more races,Number of English Language Learners With and Without Disabilities,Percent of English Language Learners With and Without Disabilities,Number of Schools,State_ID,Region_ID,Division_ID
Corporal punishment for males,8,80,0,0,8,80,0,0,0,0,4,40,DS,20,DS,20,0,0,0,0,0,0,853,35,4,8
Corporal punishment for females,DS,20,0,0,DS,20,0,0,0,0,0,0,0,0,0,0,0,0,DS,20,0,0,853,35,4,8
Corporal punishment total,10,100,0,0,10,100,0,0,0,0,4,40,DS,20,DS,20,0,0,DS,20,0,0,853,35,4,8
One or more in-school suspensions for males,"2,710",75.8,33,0.9,"2,677",74.9,369,10.5,12,0.3,"1,632",46.3,103,2.9,507,14.4,0,0,54,1.5,557,15.6,853,35,4,8
One or more in-school suspensions for females,866,24.2,16,0.4,850,23.8,125,3.5,DS,0.1,544,15.4,32,0.9,133,3.8,0,0,14,0.4,159,4.4,853,35,4,8
One or more in-school suspensions total,"3,576",100,49,1.4,"3,527",98.6,494,14,14,0.4,"2,176",61.7,135,3.8,640,18.1,0,0,68,1.9,716,20,853,35,4,8
Only one out-of-school suspension for males,"1,810",76.9,20,0.8,"1,790",76,315,13.5,5,0.2,997,42.8,63,2.7,397,17.1,DS,0.1,11,0.5,357,15.2,853,35,4,8
Only one out-of-school suspension for females,544,23.1,7,0.3,537,22.8,97,4.2,DS,0.1,324,13.9,21,0.9,86,3.7,0,0,7,0.3,115,4.9,853,35,4,8
Only one out-of-school suspension total,"2,354",100,27,1.1,"2,327",98.9,412,17.7,7,0.3,"1,321",56.8,84,3.6,483,20.8,DS,0.1,18,0.8,472,20.1,853,35,4,8
More than one out-of-school suspension for males,"1,817",80.1,23,1,"1,794",79.1,177,7.9,10,0.4,"1,176",52.6,83,3.7,307,13.7,0,0,41,1.8,356,15.7,853,35,4,8
More than one out-of-school suspension for females,450,19.9,8,0.4,442,19.5,40,1.8,DS,0.1,318,14.2,21,0.9,53,2.4,0,0,8,0.4,71,3.1,853,35,4,8
More than one out-of-school suspension total,"2,267",100,31,1.4,"2,236",98.6,217,9.7,12,0.5,"1,494",66.8,104,4.7,360,16.1,0,0,49,2.2,427,18.8,853,35,4,8
One or more out-of-school suspensions for males,"3,628",78.4,43,0.9,"3,585",77.5,496,10.9,15,0.3,"2,168",47.5,145,3.2,707,15.5,DS,0,52,1.1,709,15.3,853,35,4,8
One or more out-of-school suspensions for females,997,21.6,15,0.3,982,21.2,138,3,4,0.1,645,14.1,40,0.9,140,3.1,0,0,15,0.3,185,4,853,35,4,8
One or more out-of-school suspensions total,"4,625",100,58,1.3,"4,567",98.7,634,13.9,19,0.4,"2,813",61.6,185,4.1,847,18.5,DS,0,67,1.5,894,19.3,853,35,4,8
Expulsions with educational services for males,78,87.6,DS,2.2,76,85.4,18,20.7,DS,2.3,34,39.1,DS,2.3,18,20.7,0,0,DS,2.3,20,22.5,853,35,4,8
Expulsions with educational services for females,11,12.4,0,0,11,12.4,DS,2.3,0,0,7,8,DS,2.3,0,0,0,0,0,0,DS,2.2,853,35,4,8
Expulsions with educational services total,89,100,DS,2.2,87,97.8,20,23,DS,2.3,41,47.1,4,4.6,18,20.7,0,0,DS,2.3,22,24.7,853,35,4,8
Expulsions without educational services for males,57,83.8,0,0,57,83.8,DS,2.9,0,0,44,64.7,DS,2.9,7,10.3,0,0,DS,2.9,8,11.8,853,35,4,8
Expulsions without educational services for females,11,16.2,0,0,11,16.2,0,0,0,0,7,10.3,DS,2.9,DS,2.9,0,0,0,0,0,0,853,35,4,8
Expulsions without educational services total,68,100,0,0,68,100,DS,2.9,0,0,51,75,4,5.9,9,13.2,0,0,DS,2.9,8,11.8,853,35,4,8
Expulsions with or without educational services for males,137,87.3,DS,1.3,135,86,22,14.2,DS,1.3,79,51,5,3.2,25,16.1,0,0,DS,1.3,28,17.8,853,35,4,8
Expulsions with or without educational services for females,20,12.7,0,0,20,12.7,DS,1.3,0,0,14,9,DS,1.3,DS,1.3,0,0,0,0,DS,1.3,853,35,4,8
Expulsions with or without educational services total,157,100,DS,1.3,155,98.7,24,15.5,DS,1.3,93,60,7,4.5,27,17.4,0,0,DS,1.3,30,19.1,853,35,4,8
Expulsions under zero-tolerance policies for males,15,78.9,0,0,15,78.9,DS,10.5,0,0,9,47.4,0,0,DS,10.5,0,0,DS,10.5,DS,10.5,853,35,4,8
Expulsions under zero-tolerance policies for females,4,21.1,0,0,4,21.1,0,0,0,0,DS,10.5,0,0,0,0,DS,10.5,0,0,0,0,853,35,4,8
Expulsions under zero-tolerance policies total,19,100,0,0,19,100,DS,10.5,0,0,11,57.9,0,0,DS,10.5,DS,10.5,DS,10.5,DS,10.5,853,35,4,8
Referral to law enforcement for males,324,77.3,0,0,324,77.3,125,29.8,0,0,123,29.4,DS,0.5,74,17.7,0,0,0,0,75,17.9,853,35,4,8
Referral to law enforcement for females,95,22.7,0,0,95,22.7,29,6.9,0,0,45,10.7,0,0,19,4.5,0,0,DS,0.5,17,4.1,853,35,4,8
Referral to law enforcement total,419,100,0,0,419,100,154,36.8,0,0,168,40.1,DS,0.5,93,22.2,0,0,DS,0.5,92,22,853,35,4,8
School-related arrests for males,78,79.6,0,0,78,79.6,27,27.6,DS,2,32,32.7,0,0,17,17.3,0,0,0,0,12,12.2,853,35,4,8
School-related arrests for females,20,20.4,0,0,20,20.4,8,8.2,0,0,8,8.2,0,0,4,4.1,0,0,0,0,DS,2,853,35,4,8
School-related arrests total,98,100,0,0,98,100,35,35.7,DS,2,40,40.8,0,0,21,21.4,0,0,0,0,14,14.3,853,35,4,8
