Advanced Placement Course by gender	Number of Total Students	Percent of Total Students	Number of American Indian or Alaska Native 	Percent of American Indian or Alaska Native 	Number of Asians 	Percent of Asians 	Number of Hispanic or Latino of any race 	Percent of Hispanic or Latino of any race 	Number of Black or African American 	Percent of Black or African American 	Number of Whites	Percent of Whites	Number of Native Hawaiian or Other Pacific Islander	Percent of Native Hawaiian or Other Pacific Islander	Number of Two or more races	Percent of Two or more races	Number of Students With Disabilities Served Under IDEA	Percent of Students With Disabilities Served Under IDEA	Number of English Language Learners	Percent of English Language Learners	Number of Schools	State_ID	Region_ID	Division_ID
At least one AP course males	"10,803"	45	96	0.4	"1,013"	4.2	"1,368"	5.7	183	0.8	"7,630"	31.8	58	0.2	455	1.9	208	0.9	97	0.4	157	41	4	9
At least one AP course females	"13,191"	55	151	0.6	"1,094"	4.6	"1,575"	6.6	255	1.1	"9,523"	39.7	67	0.3	526	2.2	141	0.6	97	0.4	157	41	4	9
At least one AP course total	"23,994"	100	247	1	"2,107"	8.8	"2,943"	12.3	438	1.8	"17,153"	71.5	125	0.5	981	4.1	349	1.5	194	0.8	157	41	4	9
AP mathematics males	"2,248"	51.1	17	0.4	212	4.8	162	3.7	25	0.6	"1,726"	39.2	10	0.2	96	2.2	21	0.5	12	0.3	157	41	4	9
AP mathematics females	"2,153"	48.9	19	0.4	203	4.6	172	3.9	17	0.4	"1,644"	37.4	9	0.2	89	2	7	0.2	9	0.2	157	41	4	9
AP mathematics total	"4,401"	100	36	0.8	415	9.4	334	7.6	42	1	"3,370"	76.6	19	0.4	185	4.2	28	0.6	21	0.5	157	41	4	9
AP science males	"1,875"	49	15	0.4	196	5.1	132	3.5	22	0.6	"1,432"	37.5	7	0.2	71	1.9	33	0.9	7	0.2	157	41	4	9
AP science females	"1,948"	51	20	0.5	183	4.8	140	3.7	24	0.6	"1,488"	38.9	9	0.2	84	2.2	16	0.4	6	0.2	157	41	4	9
AP science total	"3,823"	100	35	0.9	379	9.9	272	7.1	46	1.2	"2,920"	76.4	16	0.4	155	4.1	49	1.3	13	0.3	157	41	4	9
AP foreign language males	438	40	DS	0.2	32	2.9	181	16.5	DS	0.2	208	19	DS	0.2	11	1	5	0.5	24	2.2	157	41	4	9
AP foreign language females	658	60	4	0.4	41	3.7	236	21.5	DS	0.2	352	32.1	0	0	23	2.1	8	0.7	30	2.7	157	41	4	9
AP foreign language total	"1,096"	100	6	0.5	73	6.7	417	38	4	0.4	560	51.1	DS	0.2	34	3.1	13	1.2	54	4.9	157	41	4	9
Other AP subjects males	"8,236"	43.9	69	0.4	823	4.4	"1,015"	5.4	150	0.8	"5,768"	30.8	41	0.2	370	2	158	0.8	41	0.2	157	41	4	9
Other AP subjects females	"10,519"	56.1	109	0.6	918	4.9	"1,172"	6.2	235	1.3	"7,603"	40.5	56	0.3	426	2.3	103	0.5	43	0.2	157	41	4	9
Other AP subjects total	"18,755"	100	178	0.9	"1,741"	9.3	"2,187"	11.7	385	2.1	"13,371"	71.3	97	0.5	796	4.2	261	1.4	84	0.4	157	41	4	9
