Discipline by gender	Number of Students With and Without Disabilities	Percent of Students With and Without Disabilities	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of Students Without Disabilities and With Disabilities Served Under IDEA\	Percent of Students Without Disabilities and With Disabilities Served Under IDEA	Number of American Indian or Alaska Native Students Without Disabilities and With Disabilities Served Under IDEA	Percent of American Indian or Alaska Native Students Without Disabilities and With Disabilities Served Under IDEA	Number of Asian Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Asian Students Without Disabilities and With Disabilities Served Under IDEA	Number of Hispanic or Latino of any race Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Hispanic or Latino of any race Students Without Disabilities and With Disabilities Served Under IDEA	Number of Black or African American Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Black or African American Students Without Disabilities and With Disabilities Served Under IDEA	Number of White Students Without Disabilities and With Disabilities Served Under IDEA	Percent of White Students Without Disabilities and With Disabilities Served Under IDEA	Number of Native Hawaiian or Other Pacific Islander Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Native Hawaiian or Other Pacific Islander Students Without Disabilities and With Disabilities Served Under IDEA	Number of Two or more races Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Two or more races Students Without Disabilities and With Disabilities Served Under IDEA	Number of English Language Learners With and Without Disabilities	Percent of English Language Learners With and Without Disabilities	Number of Schools	State_ID	Region_ID	Division_ID
Corporal punishment on males	413	67.8	DS	0.3	411	67.5	4	0.7	7	1.2	28	4.6	80	13.2	286	47.1	DS	0.3	4	0.7	DS	0.3	"4,864"	36	1	2
Corporal punishment on females	196	32.2	0	0	196	32.2	0	0	4	0.7	16	2.6	36	5.9	138	22.7	DS	0.3	0	0	DS	0.3	"4,864"	36	1	2
Corporal punishment total	609	100	DS	0.3	607	99.7	4	0.7	11	1.8	44	7.2	116	19.1	424	69.9	4	0.7	4	0.7	4	0.7	"4,864"	36	1	2
One or more in-school suspensions on males	"89,773"	68.4	"1,332"	1	"88,441"	67.3	714	0.6	"2,172"	1.7	"17,619"	13.6	"26,277"	20.3	"40,834"	31.5	89	0.1	736	0.6	"4,727"	3.6	"4,864"	36	1	2
One or more in-school suspensions on females	"41,569"	31.6	361	0.3	"41,208"	31.4	409	0.3	606	0.5	"8,465"	6.5	"14,887"	11.5	"16,464"	12.7	28	0	349	0.3	"1,402"	1.1	"4,864"	36	1	2
One or more in-school suspensions total	"131,342"	100	"1,693"	1.3	"129,649"	98.7	"1,123"	0.9	"2,778"	2.1	"26,084"	20.1	"41,164"	31.8	"57,298"	44.2	117	0.1	"1,085"	0.8	"6,129"	4.7	"4,864"	36	1	2
Only one out-of-school suspension on males	"38,337"	68.3	609	1.1	"37,728"	67.3	270	0.5	705	1.3	"6,982"	12.6	"12,701"	23	"16,656"	30.1	26	0	388	0.7	"1,729"	3.1	"4,864"	36	1	2
Only one out-of-school suspension on females	"17,762"	31.7	191	0.3	"17,571"	31.3	127	0.2	172	0.3	"3,240"	5.9	"7,160"	12.9	"6,636"	12	13	0	223	0.4	536	1	"4,864"	36	1	2
Only one out-of-school suspension total	"56,099"	100	800	1.4	"55,299"	98.6	397	0.7	877	1.6	"10,222"	18.5	"19,861"	35.9	"23,292"	42.1	39	0.1	611	1.1	"2,265"	4	"4,864"	36	1	2
More than one out-of-school suspension on males	"27,404"	72	487	1.3	"26,917"	70.7	198	0.5	271	0.7	"3,752"	10	"9,702"	25.9	"12,659"	33.8	12	0	323	0.9	731	1.9	"4,864"	36	1	2
