Types of crimes,2008,2009,2010,2011,2012,2013,2014,State_ID,Region_ID,Division_ID
Total Arrests,"41,676","37,833","35,387","32,168","29,225","25,877","23,814",51,3,5
Violent Crime Index,"1,133",881,934,911,626,N/A,N/A,51,3,5
Murder/nonneg. mans.,20,18,17,12,7,10,11,51,3,5
Rape,53,45,46,49,32,N/A,N/A,51,3,5
Robbery,522,342,384,409,265,279,287,51,3,5
Aggravated assault,538,476,487,441,322,289,346,51,3,5
Property Crime Index,"6,884","7,280","6,350","6,241","5,210","4,591","4,210",51,3,5
Burglary,"1,186","1,089",864,937,827,661,532,51,3,5
Larceny-theft,"5,296","5,816","5,149","4,977","4,084","3,727","3,427",51,3,5
Motor vehicle theft,227,242,216,187,156,129,166,51,3,5
Arson,175,133,121,140,143,74,85,51,3,5
Other assaults,"5,054","4,805","5,132","4,809","4,262","3,680","3,490",51,3,5
Forgery and counterfeiting,56,63,46,50,41,29,26,51,3,5
Fraud,140,134,163,156,136,141,129,51,3,5
Embezzlement,100,56,21,26,27,16,32,51,3,5
Stolen property,195,161,166,157,134,130,105,51,3,5
Vandalism,"1,565","1,299","1,052","1,036",880,856,766,51,3,5
Weapons,577,448,442,399,343,307,285,51,3,5
Prostitution/<br>commercialized vice,4,1,3,4,1,3,2,51,3,5
Sex offenses (other),219,217,248,207,187,N/A,N/A,51,3,5
Drug abuse violations,"2,807","2,556","2,601","2,748","2,831","2,627","2,310",51,3,5
Gambling,4,5,1,1,6,2,0,51,3,5
Offenses against family,22,44,57,45,46,47,30,51,3,5
Driving under influence,191,206,163,178,142,108,86,51,3,5
Liquor laws,"2,339","2,127","2,142","1,846","1,671","1,345","1,028",51,3,5
Drunkenness,210,290,223,211,205,167,118,51,3,5
Disorderly conduct,"1,569","1,345","1,196",995,929,784,812,51,3,5
Vagrancy,0,0,0,0,0,0,0,51,3,5
All other offenses,"10,016","8,891","8,188","6,624","6,318","5,359","4,966",51,3,5
Curfew and loitering,"2,866","2,461","2,750","2,004","1,667","1,463","1,131",51,3,5
Runaways,"5,725","4,563","3,509","3,520","3,563","3,402","3,428",51,3,5
Population Ages 10 to 17,"826,900","827,100","829,500","829,200","828,200","835,800","842,400",51,3,5
