Discipline by gender	Number of Students With and Without Disabilities	Percent of Students With and Without Disabilities	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Students Without Disabilities and With Disabilities Served Under IDEA	Number of American Indian or Alaska Native Students Without Disabilities and With Disabilities Served Under IDEA	Percent of American Indian or Alaska Native Students Without Disabilities and With Disabilities Served Under IDEA	Number of Asian Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Asian Students Without Disabilities and With Disabilities Served Under IDEA	Number of Hispanic or Latino of any race Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Hispanic or Latino of any race Students Without Disabilities and With Disabilities Served Under IDEA	Number of Black or African American Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Black or African American Students Without Disabilities and With Disabilities Served Under IDEA	Number of White Students Without Disabilities and With Disabilities Served Under IDEA	Percent of White Students Without Disabilities and With Disabilities Served Under IDEA	Number of Native Hawaiian or Other Pacific Islander Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Native Hawaiian or Other Pacific Islander Students Without Disabilities and With Disabilities Served Under IDEA	Number of Two or more races Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Two or more races Students Without Disabilities and With Disabilities Served Under IDEA	Number of English Language Learners With and Without Disabilities	Percent of English Language Learners With and Without Disabilities	Number of Schools	State_ID	Region_ID	Division_ID
Corporal punishment on males	39	75	0	0	39	75	DS	3.8	0	0	29	55.8	4	7.7	4	7.7	0	0	0	0	0	0	853	35	4	8
Corporal punishment on females	13	25	0	0	13	25	DS	3.8	0	0	5	9.6	DS	3.8	DS	3.8	0	0	DS	3.8	0	0	853	35	4	8
Corporal punishment total	52	100	0	0	52	100	4	7.7	0	0	34	65.4	6	11.5	6	11.5	0	0	DS	3.8	0	0	853	35	4	8
One or more in-school suspensions on males	"12,517"	65.1	33	0.2	"12,484"	65	"1,623"	8.5	49	0.3	"7,794"	40.7	376	2	"2,464"	12.9	4	0	174	0.9	"1,839"	9.6	853	35	4	8
One or more in-school suspensions on females	"6,697"	34.9	16	0.1	"6,681"	34.8	954	5	22	0.1	"4,275"	22.3	204	1.1	"1,138"	5.9	DS	0	86	0.4	818	4.3	853	35	4	8
One or more in-school suspensions total	"19,214"	100	49	0.3	"19,165"	99.7	"2,577"	13.4	71	0.4	"12,069"	63	580	3	"3,602"	18.8	6	0	260	1.4	"2,657"	13.8	853	35	4	8
Only one out-of-school suspension on males	"8,697"	65.4	20	0.2	"8,677"	65.3	"1,188"	9	37	0.3	"5,315"	40.1	287	2.2	"1,777"	13.4	6	0	67	0.5	"1,269"	9.5	853	35	4	8
Only one out-of-school suspension on females	"4,600"	34.6	7	0.1	"4,593"	34.5	665	5	14	0.1	"2,975"	22.4	121	0.9	771	5.8	0	0	47	0.4	604	4.5	853	35	4	8
Only one out-of-school suspension total	"13,297"	100	27	0.2	"13,270"	99.8	"1,853"	14	51	0.4	"8,290"	62.5	408	3.1	"2,548"	19.2	6	0	114	0.9	"1,873"	14.1	853	35	4	8
More than one out-of-school suspension on males	"7,097"	69.2	23	0.2	"7,074"	69	647	6.3	36	0.4	"4,877"	47.7	229	2.2	"1,162"	11.4	DS	0	121	1.2	"1,056"	10.3	853	35	4	8
