Types of crimes,2008,2009,2010,2011,2012,2013,2014,State_ID,Region_ID,Division_ID
Total Arrests,"6,991","6,902","6,651","5,488","5,492","4,570","3,925",23,1,1
Violent Crime Index,84,73,72,73,68,N/A,N/A,23,1,1
Murder/nonneg. mans.,0,1,0,0,1,0,0,23,1,1
Rape,10,19,8,22,5,N/A,N/A,23,1,1
Robbery,22,18,19,19,17,20,5,23,1,1
Aggravated assault,52,35,45,32,45,40,41,23,1,1
Property Crime Index,"2,123","1,894","1,756","1,426","1,425","1,167",951,23,1,1
Burglary,376,323,346,257,225,183,145,23,1,1
Larceny-theft,"1,626","1,465","1,295","1,055","1,090",913,749,23,1,1
Motor vehicle theft,93,76,70,82,71,51,50,23,1,1
Arson,28,30,45,32,39,20,7,23,1,1
Other assaults,910,895,898,832,743,640,524,23,1,1
Forgery and counterfeiting,12,4,5,2,4,5,7,23,1,1
Fraud,22,27,25,15,13,9,9,23,1,1
Embezzlement,3,1,4,4,1,0,2,23,1,1
Stolen property,39,34,19,27,10,19,14,23,1,1
Vandalism,444,471,463,400,400,286,269,23,1,1
Weapons,45,47,58,39,32,17,15,23,1,1
Prostitution/<br>commercialized vice,0,0,1,0,2,0,2,23,1,1
Sex offenses (other),51,33,55,43,52,N/A,N/A,23,1,1
Drug abuse violations,560,626,574,513,518,501,472,23,1,1
Gambling,1,0,0,0,1,0,0,23,1,1
Offenses against family,1,4,6,1,1,4,3,23,1,1
Driving under influence,95,67,41,46,53,51,52,23,1,1
Liquor laws,"1,085","1,209","1,109",897,894,727,636,23,1,1
Drunkenness,9,14,10,5,2,2,3,23,1,1
Disorderly conduct,201,208,266,148,185,135,126,23,1,1
Vagrancy,0,0,0,0,0,0,0,23,1,1
All other offenses,"1,140","1,102","1,137",845,888,753,649,23,1,1
Curfew and loitering,64,90,59,35,68,50,22,23,1,1
Runaways,102,103,93,137,132,76,70,23,1,1
Population Ages 10 to 17,"134,600","132,200","130,500","128,300","125,900","125,800","126,000",23,1,1
