Extraction Date:,6/5/2014,,,,,,,
Updated:,,,,,,,,
Revised:,,,,,,,,
,,,,,,,,
Year,State,Personnel Type,"Teachers Highly Qualified/Paraprofessionals Qualified","Teachers Not Highly Qualified/Paraprofessionals Not Qualified",Teachers/Paraprofessionals Total,Fully Certified,Not Fully Certified,Fully Certified/Not Fully Certified Total
2012,Alabama,Audiologists,-,-,-,9.6,0,9.6
2012,Alabama,Counselors and Rehabilitation Counselors,-,-,-,286.2,0,286.2
2012,Alabama,Interpreters,-,-,-,94.5,0,94.5
2012,Alabama,Medical/Nursing Service Staff,-,-,-,640.8,0,640.8
2012,Alabama,Occupational Therapists,-,-,-,149.1,0,149.1
2012,Alabama,Orientation and Mobility Specialists,-,-,-,21.4,0,21.4
2012,Alabama,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,-,-,-,294.9,0,294.9
2012,Alabama,Physical Therapists,-,-,-,92.8,0,92.8
2012,Alabama,Psychologists,-,-,-,98,0,98
2012,Alabama,Social Workers,-,-,-,72.5,0,72.5
2012,Alabama,Special Education Paraprofessionals for Ages 3-5,290,21,311,-,-,-
2012,Alabama,Special Education Paraprofessionals for Ages 6-21,4200.2,323.5,4523.7,-,-,-
2012,Alabama,Special Education Teachers for Ages 3-5,268.88,15,283.88,-,-,-
2012,Alabama,Special Education Teachers for Ages 6-21,4929.05,341.5,5270.55,-,-,-
2012,Alabama,Speech-Language Pathologists,-,-,-,807.4,0,807.4
2012,Alabama,Total Special Education Paraprofessionals,4490.2,344.5,4834.7,-,-,-
2012,Alabama,Total Special Education Teachers,5197.93,356.5,5554.43,-,-,-
2012,Alaska,Audiologists,-,-,-,3.9,1,4.9
2012,Alaska,Counselors and Rehabilitation Counselors,-,-,-,4,0,4
2012,Alaska,Interpreters,-,-,-,20.33,0,20.33
2012,Alaska,Medical/Nursing Service Staff,-,-,-,14.51,0,14.51
2012,Alaska,Occupational Therapists,-,-,-,37.7,2,39.7
2012,Alaska,Orientation and Mobility Specialists,-,-,-,6.98,1.8,8.78
2012,Alaska,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,-,-,-,9,1.97,10.97
2012,Alaska,Physical Therapists,-,-,-,15.7,1,16.7
2012,Alaska,Psychologists,-,-,-,90.04,0,90.04
2012,Alaska,Social Workers,-,-,-,0,0,0
2012,Alaska,Special Education Paraprofessionals for Ages 3-5,170.9,1.75,172.65,-,-,-
2012,Alaska,Special Education Paraprofessionals for Ages 6-21,1301.79,23.67,1325.46,-,-,-
2012,Alaska,Special Education Teachers for Ages 3-5,65.53,16,81.53,-,-,-
2012,Alaska,Special Education Teachers for Ages 6-21,859.59,129.22,988.81,-,-,-
2012,Alaska,Speech-Language Pathologists,-,-,-,159.89,3,162.89
2012,Alaska,Total Special Education Paraprofessionals,1472.69,25.42,1498.11,-,-,-
2012,Alaska,Total Special Education Teachers,925.12,145.22,1070.34,-,-,-
2012,American Samoa,Audiologists,-,-,-,1,0,1
2012,American Samoa,Counselors and Rehabilitation Counselors,-,-,-,2,0,2
2012,American Samoa,Interpreters,-,-,-,-,-,-
2012,American Samoa,Medical/Nursing Service Staff,-,-,-,0,0,0
2012,American Samoa,Occupational Therapists,-,-,-,1,0,1
2012,American Samoa,Orientation and Mobility Specialists,-,-,-,1,0,1
2012,American Samoa,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,-,-,-,-,-,-
2012,American Samoa,Physical Therapists,-,-,-,1,0,1
2012,American Samoa,Psychologists,-,-,-,7,0,7
2012,American Samoa,Social Workers,-,-,-,1,0,1
2012,American Samoa,Special Education Paraprofessionals for Ages 3-5,0,4,4,-,-,-
2012,American Samoa,Special Education Paraprofessionals for Ages 6-21,0,0,0,-,-,-
2012,American Samoa,Special Education Teachers for Ages 3-5,2,10,12,-,-,-
2012,American Samoa,Special Education Teachers for Ages 6-21,77,95,172,-,-,-
2012,American Samoa,Speech-Language Pathologists,-,-,-,0,0,0
2012,American Samoa,Total Special Education Paraprofessionals,0,4,4,-,-,-
2012,American Samoa,Total Special Education Teachers,79,105,184,-,-,-
2012,Arizona,Audiologists,-,-,-,44.71,0.22,44.93
2012,Arizona,Counselors and Rehabilitation Counselors,-,-,-,377.03,20.25,397.28
2012,Arizona,Interpreters,-,-,-,188.68,26.96,215.64
2012,Arizona,Medical/Nursing Service Staff,-,-,-,515.11,58.1,573.21
2012,Arizona,Occupational Therapists,-,-,-,389.6,8.42,398.02
2012,Arizona,Orientation and Mobility Specialists,-,-,-,38.2,0,38.2
2012,Arizona,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,-,-,-,282.47,11.8,294.27
2012,Arizona,Physical Therapists,-,-,-,163,1.28,164.28
2012,Arizona,Psychologists,-,-,-,928.09,14.09,942.18
2012,Arizona,Social Workers,-,-,-,164.82,2,166.82
2012,Arizona,Special Education Paraprofessionals for Ages 3-5,863.57,123.97,987.54,-,-,-
2012,Arizona,Special Education Paraprofessionals for Ages 6-21,6572.51,926.12,7498.63,-,-,-
2012,Arizona,Special Education Teachers for Ages 3-5,709.96,43.83,753.79,-,-,-
2012,Arizona,Special Education Teachers for Ages 6-21,6237.46,282.93,6520.39,-,-,-
2012,Arizona,Speech-Language Pathologists,-,-,-,1262.78,42.29,1305.07
2012,Arizona,Total Special Education Paraprofessionals,7436.08,1050.09,8486.17,-,-,-
2012,Arizona,Total Special Education Teachers,6947.42,326.76,7274.18,-,-,-
2012,Arkansas,Audiologists,-,-,-,5.12,0,5.12
2012,Arkansas,Counselors and Rehabilitation Counselors,-,-,-,18.34,0,18.34
2012,Arkansas,Interpreters,-,-,-,43.2,0,43.2
2012,Arkansas,Medical/Nursing Service Staff,-,-,-,27.02,1.01,28.03
2012,Arkansas,Occupational Therapists,-,-,-,237.6,2.38,239.98
2012,Arkansas,Orientation and Mobility Specialists,-,-,-,5.58,1.2,6.78
2012,Arkansas,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,-,-,-,3,1,4
2012,Arkansas,Physical Therapists,-,-,-,116.71,0.1,116.81
2012,Arkansas,Psychologists,-,-,-,198.99,2,200.99
2012,Arkansas,Social Workers,-,-,-,6.81,2,8.81
2012,Arkansas,Special Education Paraprofessionals for Ages 3-5,337.65,54.69,392.34,-,-,-
2012,Arkansas,Special Education Paraprofessionals for Ages 6-21,2015.03,466.23,2481.26,-,-,-
2012,Arkansas,Special Education Teachers for Ages 3-5,387.48,44.34,431.82,-,-,-
2012,Arkansas,Special Education Teachers for Ages 6-21,3535.9,355.96,3891.86,-,-,-
2012,Arkansas,Speech-Language Pathologists,-,-,-,-,-,-
2012,Arkansas,Total Special Education Paraprofessionals,2352.68,520.92,2873.6,-,-,-
2012,Arkansas,Total Special Education Teachers,3923.38,400.3,4323.68,-,-,-
2012,Bureau of Indian Education,Audiologists,-,-,-,-,-,-
2012,Bureau of Indian Education,Counselors and Rehabilitation Counselors,-,-,-,-,-,-
2012,Bureau of Indian Education,Interpreters,-,-,-,-,-,-
2012,Bureau of Indian Education,Medical/Nursing Service Staff,-,-,-,-,-,-
2012,Bureau of Indian Education,Occupational Therapists,-,-,-,-,-,-
2012,Bureau of Indian Education,Orientation and Mobility Specialists,-,-,-,-,-,-
2012,Bureau of Indian Education,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,-,-,-,-,-,-
2012,Bureau of Indian Education,Physical Therapists,-,-,-,-,-,-
2012,Bureau of Indian Education,Psychologists,-,-,-,-,-,-
2012,Bureau of Indian Education,Social Workers,-,-,-,-,-,-
2012,Bureau of Indian Education,Special Education Paraprofessionals for Ages 3-5,-,-,-,-,-,-
