,"Number and percentage of public school male students retained in grade 8, by race/ethnicity, disability status, and English proficiency, by state: School Year 2013-14",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,State,Total Students,Race/Ethnicity,,,,,,,,,,,,,,Students With Disabilities Served Under IDEA,,Students With Disabilities Served Only Under Section 504,,English Language Learners,,Number of Schools,Percent of Schools Reporting 
,,,"American Indian or
Alaska Native",,Asian,,Hispanic or Latino of any race,,Black or African American,,White,,Native Hawaiian or Other Pacific Islander,,Two or more races,,,,,,,,,
,,,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent,Number,Percent,Number,Percent,,
Retained in grade 8,United States,"22,916 ",247 ,1.1 ,306 ,1.3 ,"4,617 ",20.1 ,"9,214 ",40.2 ,"7,973 ",34.8 ,87 ,0.4 ,472 ,2.1 ,"4,441 ",19.4 ,"1,222 ",5.3 ,"1,924 ",8.4 ,"7,509 ",100.0 
Retained in grade 8,Alabama,770 ,4 ,0.5 ,1 to 3,0.3 ,20 ,2.6 ,359 ,46.6 ,377 ,49.0 ,0 ,0.0 ,8 ,1.0 ,81 ,10.5 ,10 ,1.3 ,14 ,1.8 ,215 ,100.0 
Retained in grade 8,Alaska,33 ,25 ,75.8 ,0 ,0.0 ,0 ,0.0 ,1 to 3,6.1 ,6 ,18.2 ,0 ,0.0 ,0 ,0.0 ,1 to 3,6.1 ,1 to 3,6.1 ,15 ,45.5 ,52 ,100.0 
Retained in grade 8,Arizona,318 ,33 ,10.4 ,6 ,1.9 ,133 ,41.8 ,13 ,4.1 ,122 ,38.4 ,1 to 3,0.3 ,10 ,3.1 ,58 ,18.2 ,13 ,4.1 ,18 ,5.7 ,134 ,100.0 
Retained in grade 8,Arkansas,114 ,1 to 3,2.6 ,0 ,0.0 ,6 ,5.3 ,35 ,30.7 ,67 ,58.8 ,1 to 3,0.9 ,1 to 3,1.8 ,6 ,5.3 ,6 ,5.3 ,8 ,7.0 ,92 ,100.0 
Retained in grade 8,California,226 ,6 ,2.7 ,14 ,6.2 ,109 ,48.2 ,30 ,13.3 ,57 ,25.2 ,1 to 3,0.4 ,9 ,4.0 ,43 ,19.0 ,6 ,2.7 ,36 ,15.9 ,239 ,100.0 
Retained in grade 8,Colorado,156 ,1 to 3,1.3 ,1 to 3,1.3 ,60 ,38.5 ,14 ,9.0 ,72 ,46.2 ,0 ,0.0 ,6 ,3.8 ,27 ,17.3 ,1 to 3,1.9 ,28 ,17.9 ,116 ,100.0 
Retained in grade 8,Connecticut,134 ,0 ,0.0 ,4 ,3.0 ,37 ,27.6 ,61 ,45.5 ,29 ,21.6 ,0 ,0.0 ,1 to 3,2.2 ,25 ,18.7 ,5 ,3.7 ,10 ,7.5 ,66 ,100.0 
Retained in grade 8,Delaware,56 ,0 ,0.0 ,0 ,0.0 ,9 ,16.1 ,25 ,44.6 ,22 ,39.3 ,0 ,0.0 ,0 ,0.0 ,13 ,23.2 ,4 ,7.1 ,1 to 3,5.4 ,24 ,100.0 
