Discipline by gender	Number of Students Without Disabilities	Percent of Students Without Disabilities	Number of American Indian or Alaska Native Students Without Disabilities	Percent of American Indian or Alaska Native Students Without Disabilities	Number of Asian Students Without Disabilities	Percent of Asian Students Without Disabilities	Number of Hispanic or Latino of any race Students Without Disabilities	Percent of Hispanic or Latino of any race Students Without Disabilities	Number of Black or African American Students Without Disabilities	Percent of Black or African American Students Without Disabilities	Number of White Students Without Disabilities	Percent of White Students Without Disabilities	Number of Native Hawaiian or other Pacific Islander Students Without Disabilities	Percent of Native Hawaiian or other Pacific Islander Students Without Disabilities	Number of Two or more races Students Without Disabilities	Percent of Two or more races Students Without Disabilities	Number of English Language Learners Without Disabilities 	Percent of English Language Learners Without Disabilities 	Number of Schools	State_ID	Region_ID	Division_ID
Corporal punishment on males	85	65.9	5	3.9	0	0	17	13.2	8	6.2	55	42.6	0	0	0	0	5	3.9	"1,122"	9	1	1
Corporal punishment on females	44	34.1	DS	1.6	0	0	14	10.9	6	4.7	22	17.1	0	0	0	0	4	3.1	"1,122"	9	1	1
Corporal punishment total	129	100	7	5.4	0	0	31	24	14	10.9	77	59.7	0	0	0	0	9	7	"1,122"	9	1	1
One or more in-school suspensions on males	"17,969"	64.2	96	0.3	292	1	"4,655"	16.6	"4,748"	17	"7,803"	27.9	14	0	361	1.3	898	3.2	"1,122"	9	1	1
One or more in-school suspensions on females	"10,032"	35.8	74	0.3	114	0.4	"3,128"	11.2	"3,000"	10.7	"3,492"	12.5	11	0	213	0.8	554	2	"1,122"	9	1	1
One or more in-school suspensions total	"28,001"	100	170	0.6	406	1.4	"7,783"	27.8	"7,748"	27.7	"11,295"	40.3	25	0.1	574	2	"1,452"	5.2	"1,122"	9	1	1
Only one out-of-school suspension on males	"7,314"	61.9	38	0.3	106	0.9	"2,312"	19.6	"2,337"	19.8	"2,360"	20	7	0.1	154	1.3	390	3.3	"1,122"	9	1	1
Only one out-of-school suspension on females	"4,501"	38.1	31	0.3	29	0.2	"1,643"	13.9	"1,655"	14	"1,051"	8.9	4	0	88	0.7	288	2.4	"1,122"	9	1	1
Only one out-of-school suspension total	"11,815"	100	69	0.6	135	1.1	"3,955"	33.5	"3,992"	33.8	"3,411"	28.9	11	0.1	242	2	678	5.7	"1,122"	9	1	1
More than one out-of-school suspension on males	"4,595"	65	28	0.4	37	0.5	"1,510"	21.4	"1,735"	24.5	"1,194"	16.9	DS	0	89	1.3	246	3.5	"1,122"	9	1	1
More than one out-of-school suspension on females	"2,476"	35	15	0.2	10	0.1	870	12.3	"1,013"	14.3	514	7.3	DS	0	52	0.7	137	1.9	"1,122"	9	1	1
More than one out-of-school suspension total	"7,071"	100	43	0.6	47	0.7	"2,380"	33.7	"2,748"	38.9	"1,708"	24.2	4	0.1	141	2	383	5.4	"1,122"	9	1	1
One or more out-of-school suspensions on males	"11,908"	63	66	0.3	143	0.8	"3,816"	20.2	"4,074"	21.6	"3,557"	18.8	9	0	243	1.3	638	3.4	"1,122"	9	1	1
One or more out-of-school suspensions on females	"6,982"	37	46	0.2	39	0.2	"2,513"	13.3	"2,665"	14.1	"1,574"	8.3	5	0	140	0.7	425	2.2	"1,122"	9	1	1
One or more out-of-school suspensions total	"18,890"	100	112	0.6	182	1	"6,329"	33.5	"6,739"	35.7	"5,131"	27.2	14	0.1	383	2	"1,063"	5.6	"1,122"	9	1	1
Expulsions with educational services on males	733	74.6	DS	0.2	8	0.8	201	20.4	222	22.6	291	29.6	0	0	9	0.9	22	2.2	"1,122"	9	1	1
Expulsions with educational services on females	250	25.4	DS	0.2	DS	0.2	85	8.6	68	6.9	85	8.6	0	0	8	0.8	11	1.1	"1,122"	9	1	1
Expulsions with educational services total	983	100	4	0.4	10	1	286	29.1	290	29.5	376	38.3	0	0	17	1.7	33	3.4	"1,122"	9	1	1
Expulsions without educational services on males	68	71.6	0	0	0	0	20	21.1	23	24.2	23	24.2	0	0	DS	2.1	DS	2.1	"1,122"	9	1	1
Expulsions without educational services on females	27	28.4	0	0	0	0	9	9.5	11	11.6	7	7.4	0	0	0	0	DS	2.1	"1,122"	9	1	1
Expulsions without educational services total	95	100	0	0	0	0	29	30.5	34	35.8	30	31.6	0	0	DS	2.1	4	4.2	"1,122"	9	1	1
Expulsions with or without educational services on males	805	74.3	DS	0.2	8	0.7	219	20.2	249	23	317	29.2	0	0	10	0.9	26	2.4	"1,122"	9	1	1
Expulsions with or without educational services on females	279	25.7	DS	0.2	DS	0.2	94	8.7	80	7.4	93	8.6	0	0	8	0.7	13	1.2	"1,122"	9	1	1
Expulsions with or without educational services total	"1,084"	100	4	0.4	10	0.9	313	28.9	329	30.4	410	37.8	0	0	18	1.7	39	3.6	"1,122"	9	1	1
Expulsions under zero-tolerance policies on males 	361	80.6	DS	0.4	DS	0.4	93	20.8	111	24.8	147	32.8	0	0	6	1.3	10	2.2	"1,122"	9	1	1
Expulsions under zero-tolerance policies on females	87	19.4	0	0	DS	0.4	23	5.1	22	4.9	36	8	0	0	4	0.9	4	0.9	"1,122"	9	1	1
Expulsions under zero-tolerance policies total	448	100	DS	0.4	4	0.9	116	25.9	133	29.7	183	40.8	0	0	10	2.2	14	3.1	"1,122"	9	1	1
Referral to law enforcement on males	"1,187"	64.5	8	0.4	22	1.2	308	16.7	287	15.6	545	29.6	DS	0.1	15	0.8	57	3.1	"1,122"	9	1	1
Referral to law enforcement on females	652	35.5	7	0.4	5	0.3	209	11.4	194	10.5	224	12.2	DS	0.1	11	0.6	45	2.4	"1,122"	9	1	1
Referral to law enforcement total	"1,839"	100	15	0.8	27	1.5	517	28.1	481	26.2	769	41.8	4	0.2	26	1.4	102	5.5	"1,122"	9	1	1
School-related arrests on males	732	63.5	4	0.3	18	1.6	199	17.3	217	18.8	283	24.5	0	0	11	1	40	3.5	"1,122"	9	1	1
School-related arrests on females	421	36.5	DS	0.2	DS	0.2	145	12.6	132	11.4	129	11.2	0	0	11	1	38	3.3	"1,122"	9	1	1
School-related arrests total	"1,153"	100	6	0.5	20	1.7	344	29.8	349	30.3	412	35.7	0	0	22	1.9	78	6.8	"1,122"	9	1	1
